Category,Sub-Category,Year,Quarter,Value Column Name,Value
"Furniture","Bookcases","2014","Qtr 1","Sum of Sales","2716.5009999999997"
"Furniture","Bookcases","2014","Qtr 1","Sum of Profit","-468.0098"
"Furniture","Bookcases","2014","Qtr 1","Sum of Profit - Sum of Sales","-3184.5107999999996"
"Furniture","Bookcases","2014","Qtr 1","(Sum of Profit - Sum of Sales)%","-1.17228405216858"
"Furniture","Bookcases","2014","Qtr 2","Sum of Sales","1708.7035999999998"
"Furniture","Bookcases","2014","Qtr 2","Sum of Profit","-214.3451"
"Furniture","Bookcases","2014","Qtr 2","Sum of Profit - Sum of Sales","-1923.0486999999998"
"Furniture","Bookcases","2014","Qtr 2","(Sum of Profit - Sum of Sales)%","-1.1254431137149825"
"Furniture","Bookcases","2014","Qtr 3","Sum of Sales","4676.4188"
"Furniture","Bookcases","2014","Qtr 3","Sum of Profit","310.71799999999985"
"Furniture","Bookcases","2014","Qtr 3","Sum of Profit - Sum of Sales","-4365.7008000000005"
"Furniture","Bookcases","2014","Qtr 3","(Sum of Profit - Sum of Sales)%","-0.9335564214223072"
"Furniture","Bookcases","2014","Qtr 4","Sum of Sales","10935.0542"
"Furniture","Bookcases","2014","Qtr 4","Sum of Profit","25.466199999999446"
"Furniture","Bookcases","2014","Qtr 4","Sum of Profit - Sum of Sales","-10909.588000000002"
"Furniture","Bookcases","2014","Qtr 4","(Sum of Profit - Sum of Sales)%","-0.9976711409441392"
"Furniture","Bookcases","2015","Qtr 1","Sum of Sales","4714.1896"
"Furniture","Bookcases","2015","Qtr 1","Sum of Profit","-602.0130000000004"
"Furniture","Bookcases","2015","Qtr 1","Sum of Profit - Sum of Sales","-5316.2026000000005"
"Furniture","Bookcases","2015","Qtr 1","(Sum of Profit - Sum of Sales)%","-1.1277023308523697"
"Furniture","Bookcases","2015","Qtr 2","Sum of Sales","3275.4674999999997"
"Furniture","Bookcases","2015","Qtr 2","Sum of Profit","-279.89830000000006"
"Furniture","Bookcases","2015","Qtr 2","Sum of Profit - Sum of Sales","-3555.3657999999996"
"Furniture","Bookcases","2015","Qtr 2","(Sum of Profit - Sum of Sales)%","-1.0854529315280947"
