C13 : Small Multiples.City,C13 : Small Multiples.Year,Sum(C13 : Small Multiples.AC),Sum(C13 : Small Multiples.PL)
Albania,2014,14,14
Austria,2014,4,4
Basel,2014,69,69
Berlin,2014,344,344
Bordeaux,2014,70,70
Bulgaria,2014,10,10
Cologne,2014,38,38
Denmark,2014,-7,-7
Finland,2014,4,4
Frankfurt,2014,24,24
Greece,2014,10,10
Ireland,2014,9,9
Italy,2014,-8,-8
Lausanne,2014,66,66
Linz,2014,78,78
Lyon,2014,122,122
Munich,2014,55,55
Norway,2014,12,12
Paris,2014,69,69
Poland,2014,7,7
Salzburg,2014,15,15
San Mario,2014,5,5
Serbia,2014,10,10
Vienna,2014,51,51
Zurich,2014,95,95
Albania,2015,-5,-5
Austria,2015,8,8
Basel,2015,79,79
Berlin,2015,301,301
Bordeaux,2015,66,66
Bulgaria,2015,9,9
Cologne,2015,39,39
Denmark,2015,8,8
Finland,2015,7,7
Frankfurt,2015,25,25
Greece,2015,15,15
Ireland,2015,-6,-6
Italy,2015,8,8
Lausanne,2015,62,62
Linz,2015,89,89
Lyon,2015,89,89
Munich,2015,44,44
Norway,2015,9,9
Paris,2015,81,81
Poland,2015,8,8
Salzburg,2015,17,17
San Mario,2015,10,10
Serbia,2015,-6,-6
Vienna,2015,44,44
Zurich,2015,102,102
Albania,2011,13,13
Austria,2011,8,8
Basel,2011,41,41
Berlin,2011,168,168
Bordeaux,2011,63,63
Bulgaria,2011,-5,-5
Cologne,2011,21,21
Denmark,2011,6,6
Finland,2011,0,0
Frankfurt,2011,78,78
Greece,2011,4,4
Ireland,2011,6,6
Italy,2011,5,5
Lausanne,2011,66,66
Linz,2011,123,123
Lyon,2011,69,69
Munich,2011,88,88
Norway,2011,9,9
Paris,2011,80,80
Poland,2011,12,12
Salzburg,2011,-5,-5
San Mario,2011,6,6
Serbia,2011,9,9
Vienna,2011,93,93
Zurich,2011,97,97
Albania,2013,-6,-6
Austria,2013,8,8
Basel,2013,66,66
Berlin,2013,207,207
Bordeaux,2013,51,51
Bulgaria,2013,5,5
Cologne,2013,49,49
Denmark,2013,7,7
Finland,2013,2,2
Frankfurt,2013,30,30
Greece,2013,8,8
Ireland,2013,10,10
Italy,2013,5,5
Lausanne,2013,70,70
Linz,2013,98,98
Lyon,2013,84,84
Munich,2013,66,66
Norway,2013,8,8
Paris,2013,78,78
Poland,2013,-8,-8
Salzburg,2013,12,12
San Mario,2013,8,8
Serbia,2013,7,7
Vienna,2013,65,65
Zurich,2013,102,102
Albania,2012,10,10
Austria,2012,5,5
Basel,2012,52,52
Berlin,2012,190,190
Bordeaux,2012,72,72
Bulgaria,2012,6,6
Cologne,2012,48,48
Denmark,2012,-4,-4
Finland,2012,1,1
Frankfurt,2012,38,38
Greece,2012,15,15
Ireland,2012,6,6
Italy,2012,8,8
Lausanne,2012,73,73
Linz,2012,109,109
Lyon,2012,79,79
Munich,2012,77,77
Norway,2012,9,9
Paris,2012,59,59
Poland,2012,-7,-7
Salzburg,2012,9,9
San Mario,2012,10,10
Serbia,2012,8,8
Vienna,2012,88,88
Zurich,2012,34,34
Albania,2010,16,16
Austria,2010,12,12
Basel,2010,43,43
Berlin,2010,136,136
Bordeaux,2010,60,60
Bulgaria,2010,14,14
Cologne,2010,50,50
Denmark,2010,0,0
Finland,2010,-5,-5
Frankfurt,2010,89,89
Greece,2010,19,19
Ireland,2010,17,17
Italy,2010,15,15
Lausanne,2010,133,133
Linz,2010,45,45
Lyon,2010,52,52
Munich,2010,58,58
Norway,2010,20,20
Paris,2010,71,71
Poland,2010,-6,-6
Salzburg,2010,56,56
San Mario,2010,-5,-5
Serbia,2010,18,18
Vienna,2010,88,88
Zurich,2010,-5,-5
Albania,2006,12,12
Austria,2006,-7,-7
Basel,2006,88,88
Berlin,2006,66,66
Bordeaux,2006,68,68
Bulgaria,2006,7,7
Cologne,2006,79,79
Denmark,2006,-10,-10
Finland,2006,5,5
Frankfurt,2006,50,50
Greece,2006,7,7
Ireland,2006,6,6
Italy,2006,-5,-5
Lausanne,2006,98,98
Linz,2006,112,112
Lyon,2006,23,23
Munich,2006,25,25
Norway,2006,10,10
Paris,2006,78,78
Poland,2006,15,15
Salzburg,2006,-7,-7
San Mario,2006,4,4
Serbia,2006,7,7
Vienna,2006,90,90
Zurich,2006,67,67
Albania,2008,8,8
Austria,2008,5,5
Basel,2008,67,67
Berlin,2008,28,28
Bordeaux,2008,69,69
Bulgaria,2008,8,8
Cologne,2008,69,69
Denmark,2008,-4,-4
Finland,2008,1,1
Frankfurt,2008,40,40
Greece,2008,15,15
Ireland,2008,6,6
Italy,2008,8,8
Lausanne,2008,73,73
Linz,2008,134,134
Lyon,2008,36,36
Munich,2008,26,26
Norway,2008,9,9
Paris,2008,98,98
Poland,2008,-7,-7
Salzburg,2008,25,25
San Mario,2008,10,10
Serbia,2008,8,8
Vienna,2008,99,99
Zurich,2008,56,56
Albania,2009,6,6
Austria,2009,5,5
Basel,2009,56,56
Berlin,2009,65,65
Bordeaux,2009,84,84
Bulgaria,2009,8,8
Cologne,2009,53,53
Denmark,2009,6,6
Finland,2009,3,3
Frankfurt,2009,34,34
Greece,2009,8,8
Ireland,2009,6,6
Italy,2009,-8,-8
Lausanne,2009,79,79
Linz,2009,113,113
Lyon,2009,46,46
Munich,2009,45,45
Norway,2009,9,9
Paris,2009,81,81
Poland,2009,7,7
Salzburg,2009,27,27
San Mario,2009,8,8
Serbia,2009,10,10
Vienna,2009,34,34
Zurich,2009,84,84
Albania,2007,5,5
Austria,2007,8,8
Basel,2007,78,78
Berlin,2007,34,34
Bordeaux,2007,62,62
Bulgaria,2007,0,0
Cologne,2007,73,73
Denmark,2007,7,7
Finland,2007,-6,-6
Frankfurt,2007,48,48
Greece,2007,6,6
Ireland,2007,8,8
Italy,2007,10,10
Lausanne,2007,88,88
Linz,2007,104,104
Lyon,2007,34,34
Munich,2007,26,26
Norway,2007,8,8
Paris,2007,64,64
Poland,2007,-8,-8
Salzburg,2007,-5,-5
San Mario,2007,8,8
Serbia,2007,7,7
Vienna,2007,94,94
Zurich,2007,69,69
Albania,2016,,10
Austria,2016,,5
Basel,2016,,84
Berlin,2016,,309
Bordeaux,2016,,65
Bulgaria,2016,,3
Cologne,2016,,41
Denmark,2016,,6
Finland,2016,,10
Frankfurt,2016,,24
Greece,2016,,-4
Ireland,2016,,7
Italy,2016,,6
Lausanne,2016,,66
Linz,2016,,95
Lyon,2016,,94
Munich,2016,,48
Norway,2016,,9
Paris,2016,,86
Poland,2016,,12
Salzburg,2016,,18
San Mario,2016,,6
Serbia,2016,,10
Vienna,2016,,47
Zurich,2016,,105
Albania,2017,,9
Austria,2017,,6
Basel,2017,,86
Berlin,2017,,311
Bordeaux,2017,,67
Bulgaria,2017,,4
Cologne,2017,,41
Denmark,2017,,7
Finland,2017,,10
Frankfurt,2017,,26
Greece,2017,,9
Ireland,2017,,5
Italy,2017,,8
Lausanne,2017,,68
Linz,2017,,97
Lyon,2017,,96
Munich,2017,,50
Norway,2017,,-9
Paris,2017,,88
Poland,2017,,12
Salzburg,2017,,21
San Mario,2017,,9
Serbia,2017,,10
Vienna,2017,,49
Zurich,2017,,107
