Orders.Segment,Orders.Category,Orders.Sub-Category,Orders.Region,Sum(Orders.Sales),Sum(Orders.Quantity),CountNonNull(Orders.Row ID),Sum(Orders.Profit)
Consumer,Technology,Copiers,West,30459.611999999997,46,15,12158.871299999995
Corporate,Technology,Copiers,West,8069.842000000001,18,5,3190.4365999999995
Home Office,Technology,Copiers,West,11219.788,24,5,3977.927199999999
Consumer,Technology,Copiers,East,30399.706,43,12,8657.932499999995
Corporate,Technology,Copiers,East,4219.914,11,4,1134.9764999999998
Home Office,Technology,Copiers,East,18599.842,17,4,7229.9328
Consumer,Technology,Copiers,Central,4519.884,14,4,1482.9615999999999
Corporate,Technology,Copiers,Central,29679.741999999995,29,8,12789.904299999998
Home Office,Technology,Copiers,Central,3059.944,6,4,1335.9754
Consumer,Technology,Copiers,South,4439.868,14,4,1783.9451999999999
Corporate,Technology,Copiers,South,4859.888,12,3,1874.9615000000001
Home Office,Technology,Copiers,South,,,,
Consumer,Technology,Phones,Central,37108.78599999998,356,105,6416.019599999999
Corporate,Technology,Phones,Central,17180.795999999995,210,53,2391.2796999999996
Home Office,Technology,Phones,Central,18113.699999999997,147,42,3515.7274000000007
Consumer,Technology,Phones,East,51512.03800000004,514,140,7328.253600000001
Corporate,Technology,Phones,East,29865.618,304,87,3129.6182999999987
Home Office,Technology,Phones,East,19237.326,164,45,1856.814099999999
Consumer,Technology,Phones,South,30846.20399999999,269,68,5623.911800000001
Corporate,Technology,Phones,South,19274.232000000007,164,44,3680.2119999999995
Home Office,Technology,Phones,South,8184.002,93,28,1463.1515
Consumer,Technology,Phones,West,50465.73599999996,546,138,4468.929700000001
Corporate,Technology,Phones,West,24832.768,325,88,2565.1096000000016
Home Office,Technology,Phones,West,23385.848,197,51,2076.7033
Consumer,Technology,Accessories,West,33530.31400000001,567,130,8964.1511
Corporate,Technology,Accessories,West,20071.872,335,86,5225.477999999998
Home Office,Technology,Accessories,West,7511.9299999999985,130,42,2294.9692
Consumer,Technology,Accessories,East,22861.056,354,107,5240.0783
Corporate,Technology,Accessories,East,11747.997999999998,222,56,2933.591099999999
Home Office,Technology,Accessories,East,10424.318000000001,148,43,3022.1949999999997
