Orders.Ship Date.Variation.Date Hierarchy.Month,Orders.Ship Date.Variation.Date Hierarchy.Quarter,Orders.Region,Orders.City,Sum(Orders.Quantity),Sum(Orders.Profit)
January,Qtr 1,Central,Aberdeen,,
February,Qtr 1,Central,Aberdeen,,
March,Qtr 1,Central,Aberdeen,,
April,Qtr 2,Central,Aberdeen,,
May,Qtr 2,Central,Aberdeen,,
June,Qtr 2,Central,Aberdeen,,
July,Qtr 3,Central,Aberdeen,,
August,Qtr 3,Central,Aberdeen,,
September,Qtr 3,Central,Aberdeen,,
October,Qtr 4,Central,Aberdeen,,
November,Qtr 4,Central,Aberdeen,3,6.63
December,Qtr 4,Central,Aberdeen,,
January,Qtr 1,Central,Abilene,,
February,Qtr 1,Central,Abilene,,
March,Qtr 1,Central,Abilene,,
April,Qtr 2,Central,Abilene,,
May,Qtr 2,Central,Abilene,,
June,Qtr 2,Central,Abilene,,
July,Qtr 3,Central,Abilene,,
August,Qtr 3,Central,Abilene,,
September,Qtr 3,Central,Abilene,,
October,Qtr 4,Central,Abilene,,
November,Qtr 4,Central,Abilene,,
December,Qtr 4,Central,Abilene,2,-3.758400000000001
January,Qtr 1,Central,Allen,,
February,Qtr 1,Central,Allen,,
March,Qtr 1,Central,Allen,,
April,Qtr 2,Central,Allen,,
May,Qtr 2,Central,Allen,6,-25.993800000000007
June,Qtr 2,Central,Allen,,
July,Qtr 3,Central,Allen,,
August,Qtr 3,Central,Allen,,
September,Qtr 3,Central,Allen,,
October,Qtr 4,Central,Allen,,
November,Qtr 4,Central,Allen,7,-13.883700000000005
December,Qtr 4,Central,Allen,,
January,Qtr 1,Central,Amarillo,8,-1.8891000000000027
February,Qtr 1,Central,Amarillo,,
March,Qtr 1,Central,Amarillo,,
April,Qtr 2,Central,Amarillo,2,-36.235200000000006
May,Qtr 2,Central,Amarillo,4,-110.02320000000003
June,Qtr 2,Central,Amarillo,,
July,Qtr 3,Central,Amarillo,4,30.716800000000006
August,Qtr 3,Central,Amarillo,2,6.631199999999999
September,Qtr 3,Central,Amarillo,,
October,Qtr 4,Central,Amarillo,12,-277.1687999999999
November,Qtr 4,Central,Amarillo,,
December,Qtr 4,Central,Amarillo,,
January,Qtr 1,Central,Ann Arbor,,
February,Qtr 1,Central,Ann Arbor,,
March,Qtr 1,Central,Ann Arbor,,
April,Qtr 2,Central,Ann Arbor,,
May,Qtr 2,Central,Ann Arbor,,
June,Qtr 2,Central,Ann Arbor,,
July,Qtr 3,Central,Ann Arbor,,
August,Qtr 3,Central,Ann Arbor,,
September,Qtr 3,Central,Ann Arbor,,
October,Qtr 4,Central,Ann Arbor,18,152.51579999999996
November,Qtr 4,Central,Ann Arbor,,
December,Qtr 4,Central,Ann Arbor,5,76.39999999999999
January,Qtr 1,Central,Apple Valley,,
February,Qtr 1,Central,Apple Valley,,
March,Qtr 1,Central,Apple Valley,,
April,Qtr 2,Central,Apple Valley,2,6.464999999999989
May,Qtr 2,Central,Apple Valley,,
June,Qtr 2,Central,Apple Valley,3,2.5056
July,Qtr 3,Central,Apple Valley,,
August,Qtr 3,Central,Apple Valley,,
September,Qtr 3,Central,Apple Valley,,
October,Qtr 4,Central,Apple Valley,,
November,Qtr 4,Central,Apple Valley,,
December,Qtr 4,Central,Apple Valley,,
January,Qtr 1,Central,Appleton,,
February,Qtr 1,Central,Appleton,,
March,Qtr 1,Central,Appleton,,
April,Qtr 2,Central,Appleton,,
May,Qtr 2,Central,Appleton,7,10.348799999999999
June,Qtr 2,Central,Appleton,,
July,Qtr 3,Central,Appleton,,
August,Qtr 3,Central,Appleton,,
September,Qtr 3,Central,Appleton,,
October,Qtr 4,Central,Appleton,5,544.4174999999998
November,Qtr 4,Central,Appleton,,
December,Qtr 4,Central,Appleton,,
January,Qtr 1,Central,Arlington,,
February,Qtr 1,Central,Arlington,2,-2.524800000000002
March,Qtr 1,Central,Arlington,,
April,Qtr 2,Central,Arlington,5,-90.77400000000003
May,Qtr 2,Central,Arlington,,
June,Qtr 2,Central,Arlington,15,-24.893600000000006
July,Qtr 3,Central,Arlington,12,111.52619999999999
August,Qtr 3,Central,Arlington,29,-133.1877000000003
September,Qtr 3,Central,Arlington,29,8.860399999999991
October,Qtr 4,Central,Arlington,9,-17.469000000000005
November,Qtr 4,Central,Arlington,17,-117.86009999999993
December,Qtr 4,Central,Arlington,13,11.933999999999983
January,Qtr 1,Central,Arlington Heights,,
February,Qtr 1,Central,Arlington Heights,,
March,Qtr 1,Central,Arlington Heights,,
April,Qtr 2,Central,Arlington Heights,,
May,Qtr 2,Central,Arlington Heights,,
June,Qtr 2,Central,Arlington Heights,,
July,Qtr 3,Central,Arlington Heights,,
August,Qtr 3,Central,Arlington Heights,,
September,Qtr 3,Central,Arlington Heights,,
October,Qtr 4,Central,Arlington Heights,,
November,Qtr 4,Central,Arlington Heights,6,1.2348000000000008
December,Qtr 4,Central,Arlington Heights,,
January,Qtr 1,Central,Aurora,4,90.64439999999999
February,Qtr 1,Central,Aurora,11,209.1465999999998
March,Qtr 1,Central,Aurora,1,2.5973999999999995
April,Qtr 2,Central,Aurora,7,-76.643
May,Qtr 2,Central,Aurora,7,-187.9406
June,Qtr 2,Central,Aurora,10,-735.4098000000001
July,Qtr 3,Central,Aurora,55,-219.58360000000008
August,Qtr 3,Central,Aurora,,
September,Qtr 3,Central,Aurora,7,-143.8084
October,Qtr 4,Central,Aurora,11,-521.1414000000002
November,Qtr 4,Central,Aurora,,
December,Qtr 4,Central,Aurora,15,-312.58119999999997
January,Qtr 1,Central,Austin,21,-58.864600000000024
February,Qtr 1,Central,Austin,,
March,Qtr 1,Central,Austin,,
April,Qtr 2,Central,Austin,11,289.39590000000004
May,Qtr 2,Central,Austin,29,-65.18730000000016
June,Qtr 2,Central,Austin,,
July,Qtr 3,Central,Austin,,
August,Qtr 3,Central,Austin,13,-235.22630000000026
September,Qtr 3,Central,Austin,11,-15.44519999999999
October,Qtr 4,Central,Austin,9,-74.30619999999999
November,Qtr 4,Central,Austin,15,28.27109999999999
December,Qtr 4,Central,Austin,22,110.96879999999999
January,Qtr 1,Central,Baytown,2,3.6288
February,Qtr 1,Central,Baytown,,
March,Qtr 1,Central,Baytown,,
April,Qtr 2,Central,Baytown,,
May,Qtr 2,Central,Baytown,,
June,Qtr 2,Central,Baytown,,
