Category,SubCategory,Month,Value Column Name,Value
"Home Appliances","Air Conditioners","Jan","","16130"
"Home Appliances","Air Conditioners","Jan","Margin","8999"
"Home Appliances","Air Conditioners","Jan","Sales","16130"
"Home Appliances","Air Conditioners","Jan","YoY Sales %",
"Home Appliances","Air Conditioners","Jan","YoY Sales","16130"
"Home Appliances","Air Conditioners","Jan","YoY Margin","8999"
"Home Appliances","Air Conditioners","Jan","YoY Margin %",
"Home Appliances","Air Conditioners","Jan","Margin %","55.79045257284563"
"Home Appliances","Air Conditioners","Jan","Revenue","16130"
"Home Appliances","Air Conditioners","Jan","Total Customers","17"
"Home Appliances","Air Conditioners","Feb","","23004"
"Home Appliances","Air Conditioners","Feb","Margin","14802"
"Home Appliances","Air Conditioners","Feb","Sales","23004"
"Home Appliances","Air Conditioners","Feb","YoY Sales %",
"Home Appliances","Air Conditioners","Feb","YoY Sales","23004"
"Home Appliances","Air Conditioners","Feb","YoY Margin","14802"
"Home Appliances","Air Conditioners","Feb","YoY Margin %",
"Home Appliances","Air Conditioners","Feb","Margin %","64.3453312467397"
"Home Appliances","Air Conditioners","Feb","Revenue","23004"
"Home Appliances","Air Conditioners","Feb","Total Customers","15"
"Home Appliances","Air Conditioners","Mar","","9140"
"Home Appliances","Air Conditioners","Mar","Margin","4400"
"Home Appliances","Air Conditioners","Mar","Sales","9140"
"Home Appliances","Air Conditioners","Mar","YoY Sales %",
"Home Appliances","Air Conditioners","Mar","YoY Sales","9140"
"Home Appliances","Air Conditioners","Mar","YoY Margin","4400"
"Home Appliances","Air Conditioners","Mar","YoY Margin %",
"Home Appliances","Air Conditioners","Mar","Margin %","48.14004376367615"
"Home Appliances","Air Conditioners","Mar","Revenue","9140"
"Home Appliances","Air Conditioners","Mar","Total Customers","10"
"Home Appliances","Air Conditioners","Apr","","7362"
"Home Appliances","Air Conditioners","Apr","Margin","3750"
"Home Appliances","Air Conditioners","Apr","Sales","7362"
"Home Appliances","Air Conditioners","Apr","YoY Sales %",
"Home Appliances","Air Conditioners","Apr","YoY Sales","7362"
"Home Appliances","Air Conditioners","Apr","YoY Margin","3750"
"Home Appliances","Air Conditioners","Apr","YoY Margin %",
"Home Appliances","Air Conditioners","Apr","Margin %","50.93724531377343"
"Home Appliances","Air Conditioners","Apr","Revenue","7362"
"Home Appliances","Air Conditioners","Apr","Total Customers","8"
"Home Appliances","Air Conditioners","May","","8250"
"Home Appliances","Air Conditioners","May","Margin","2766"
"Home Appliances","Air Conditioners","May","Sales","8250"
"Home Appliances","Air Conditioners","May","YoY Sales %",
"Home Appliances","Air Conditioners","May","YoY Sales","8250"
"Home Appliances","Air Conditioners","May","YoY Margin","2766"
"Home Appliances","Air Conditioners","May","YoY Margin %",
"Home Appliances","Air Conditioners","May","Margin %","33.527272727272724"
"Home Appliances","Air Conditioners","May","Revenue","8250"
"Home Appliances","Air Conditioners","May","Total Customers","10"
"Home Appliances","Air Conditioners","Jun","","28654"
"Home Appliances","Air Conditioners","Jun","Margin","17776"
"Home Appliances","Air Conditioners","Jun","Sales","28654"
"Home Appliances","Air Conditioners","Jun","YoY Sales %",
"Home Appliances","Air Conditioners","Jun","YoY Sales","28654"
"Home Appliances","Air Conditioners","Jun","YoY Margin","17776"
"Home Appliances","Air Conditioners","Jun","YoY Margin %",
"Home Appliances","Air Conditioners","Jun","Margin %","62.03671389683814"
"Home Appliances","Air Conditioners","Jun","Revenue","28654"
"Home Appliances","Air Conditioners","Jun","Total Customers","20"
"Home Appliances","Air Conditioners","Jul","","21872"
"Home Appliances","Air Conditioners","Jul","Margin","11468"
"Home Appliances","Air Conditioners","Jul","Sales","21872"
"Home Appliances","Air Conditioners","Jul","YoY Sales %",
"Home Appliances","Air Conditioners","Jul","YoY Sales","21872"
"Home Appliances","Air Conditioners","Jul","YoY Margin","11468"
"Home Appliances","Air Conditioners","Jul","YoY Margin %",
"Home Appliances","Air Conditioners","Jul","Margin %","52.4323335771763"
"Home Appliances","Air Conditioners","Jul","Revenue","21872"
"Home Appliances","Air Conditioners","Jul","Total Customers","21"
"Home Appliances","Air Conditioners","Aug","","27442"
"Home Appliances","Air Conditioners","Aug","Margin","15553"
"Home Appliances","Air Conditioners","Aug","Sales","27442"
"Home Appliances","Air Conditioners","Aug","YoY Sales %",
"Home Appliances","Air Conditioners","Aug","YoY Sales","27442"
"Home Appliances","Air Conditioners","Aug","YoY Margin","15553"
"Home Appliances","Air Conditioners","Aug","YoY Margin %",
"Home Appliances","Air Conditioners","Aug","Margin %","56.67589825814445"
"Home Appliances","Air Conditioners","Aug","Revenue","27442"
"Home Appliances","Air Conditioners","Aug","Total Customers","25"
"Home Appliances","Air Conditioners","Sep","","38998"
"Home Appliances","Air Conditioners","Sep","Margin","22276"
"Home Appliances","Air Conditioners","Sep","Sales","38998"
"Home Appliances","Air Conditioners","Sep","YoY Sales %",
"Home Appliances","Air Conditioners","Sep","YoY Sales","38998"
"Home Appliances","Air Conditioners","Sep","YoY Margin","22276"
"Home Appliances","Air Conditioners","Sep","YoY Margin %",
"Home Appliances","Air Conditioners","Sep","Margin %","57.12087799374327"
"Home Appliances","Air Conditioners","Sep","Revenue","38998"
"Home Appliances","Air Conditioners","Sep","Total Customers","34"
"Home Appliances","Air Conditioners","Oct","","39486"
"Home Appliances","Air Conditioners","Oct","Margin","21162"
"Home Appliances","Air Conditioners","Oct","Sales","39486"
"Home Appliances","Air Conditioners","Oct","YoY Sales %","8.356872037914693"
"Home Appliances","Air Conditioners","Oct","YoY Sales","35266"
"Home Appliances","Air Conditioners","Oct","YoY Margin","18202"
"Home Appliances","Air Conditioners","Oct","YoY Margin %","6.149324324324325"
"Home Appliances","Air Conditioners","Oct","Margin %","53.593678772223065"
"Home Appliances","Air Conditioners","Oct","Revenue","39486"
"Home Appliances","Air Conditioners","Oct","Total Customers","36"
"Home Appliances","Air Conditioners","Nov","","62410"
"Home Appliances","Air Conditioners","Nov","Margin","36157"
"Home Appliances","Air Conditioners","Nov","Sales","62410"
"Home Appliances","Air Conditioners","Nov","YoY Sales %","8.456060606060607"
"Home Appliances","Air Conditioners","Nov","YoY Sales","55810"
"Home Appliances","Air Conditioners","Nov","YoY Margin","32407"
"Home Appliances","Air Conditioners","Nov","YoY Margin %","8.641866666666667"
"Home Appliances","Air Conditioners","Nov","Margin %","57.934625861240185"
"Home Appliances","Air Conditioners","Nov","Revenue","62410"
"Home Appliances","Air Conditioners","Nov","Total Customers","49"
"Home Appliances","Air Conditioners","Dec","","45594"
"Home Appliances","Air Conditioners","Dec","Margin","22743"
"Home Appliances","Air Conditioners","Dec","Sales","45594"
"Home Appliances","Air Conditioners","Dec","YoY Sales %","4.619176731575055"
"Home Appliances","Air Conditioners","Dec","YoY Sales","37480"
"Home Appliances","Air Conditioners","Dec","YoY Margin","18397"
"Home Appliances","Air Conditioners","Dec","YoY Margin %","4.233087896916705"
"Home Appliances","Air Conditioners","Dec","Margin %","49.88156336360047"
"Home Appliances","Air Conditioners","Dec","Revenue","45594"
"Home Appliances","Air Conditioners","Dec","Total Customers","44"
"Home Appliances","Coffee Machines","Jan","","18304"
"Home Appliances","Coffee Machines","Jan","Margin","1174"
"Home Appliances","Coffee Machines","Jan","Sales","18304"
"Home Appliances","Coffee Machines","Jan","YoY Sales %",
"Home Appliances","Coffee Machines","Jan","YoY Sales","18304"
"Home Appliances","Coffee Machines","Jan","YoY Margin","1174"
"Home Appliances","Coffee Machines","Jan","YoY Margin %",
"Home Appliances","Coffee Machines","Jan","Margin %","6.413898601398602"
"Home Appliances","Coffee Machines","Jan","Revenue","18304"
"Home Appliances","Coffee Machines","Jan","Total Customers","12"
"Home Appliances","Coffee Machines","Feb","","38094"
"Home Appliances","Coffee Machines","Feb","Margin","5986.5"
"Home Appliances","Coffee Machines","Feb","Sales","38094"
"Home Appliances","Coffee Machines","Feb","YoY Sales %",
"Home Appliances","Coffee Machines","Feb","YoY Sales","38094"
"Home Appliances","Coffee Machines","Feb","YoY Margin","5986.5"
"Home Appliances","Coffee Machines","Feb","YoY Margin %",
"Home Appliances","Coffee Machines","Feb","Margin %","15.715073239880295"
"Home Appliances","Coffee Machines","Feb","Revenue","38094"
"Home Appliances","Coffee Machines","Feb","Total Customers","21"
"Home Appliances","Coffee Machines","Mar","","24183"
"Home Appliances","Coffee Machines","Mar","Margin","-10534.5"
"Home Appliances","Coffee Machines","Mar","Sales","24183"
"Home Appliances","Coffee Machines","Mar","YoY Sales %",
"Home Appliances","Coffee Machines","Mar","YoY Sales","24183"
"Home Appliances","Coffee Machines","Mar","YoY Margin","-10534.5"
"Home Appliances","Coffee Machines","Mar","YoY Margin %",
"Home Appliances","Coffee Machines","Mar","Margin %","-43.56159285448456"
"Home Appliances","Coffee Machines","Mar","Revenue","24183"
"Home Appliances","Coffee Machines","Mar","Total Customers","17"
"Home Appliances","Coffee Machines","Apr","","13800"
"Home Appliances","Coffee Machines","Apr","Margin","-1530"
"Home Appliances","Coffee Machines","Apr","Sales","13800"
"Home Appliances","Coffee Machines","Apr","YoY Sales %",
"Home Appliances","Coffee Machines","Apr","YoY Sales","13800"
"Home Appliances","Coffee Machines","Apr","YoY Margin","-1530"
"Home Appliances","Coffee Machines","Apr","YoY Margin %",
"Home Appliances","Coffee Machines","Apr","Margin %","-11.08695652173913"
"Home Appliances","Coffee Machines","Apr","Revenue","13800"
"Home Appliances","Coffee Machines","Apr","Total Customers","12"
"Home Appliances","Coffee Machines","May","","17832"
"Home Appliances","Coffee Machines","May","Margin","-6220.5"
"Home Appliances","Coffee Machines","May","Sales","17832"
"Home Appliances","Coffee Machines","May","YoY Sales %",
"Home Appliances","Coffee Machines","May","YoY Sales","17832"
"Home Appliances","Coffee Machines","May","YoY Margin","-6220.5"
"Home Appliances","Coffee Machines","May","YoY Margin %",
"Home Appliances","Coffee Machines","May","Margin %","-34.88391655450875"
"Home Appliances","Coffee Machines","May","Revenue","17832"
"Home Appliances","Coffee Machines","May","Total Customers","14"
"Home Appliances","Coffee Machines","Jun","","25794"
"Home Appliances","Coffee Machines","Jun","Margin","676.5"
"Home Appliances","Coffee Machines","Jun","Sales","25794"
"Home Appliances","Coffee Machines","Jun","YoY Sales %",
"Home Appliances","Coffee Machines","Jun","YoY Sales","25794"
"Home Appliances","Coffee Machines","Jun","YoY Margin","676.5"
"Home Appliances","Coffee Machines","Jun","YoY Margin %",
"Home Appliances","Coffee Machines","Jun","Margin %","2.6227029541753897"
"Home Appliances","Coffee Machines","Jun","Revenue","25794"
"Home Appliances","Coffee Machines","Jun","Total Customers","18"
"Home Appliances","Coffee Machines","Jul","","34329"
"Home Appliances","Coffee Machines","Jul","Margin","2589"
"Home Appliances","Coffee Machines","Jul","Sales","34329"
"Home Appliances","Coffee Machines","Jul","YoY Sales %",
"Home Appliances","Coffee Machines","Jul","YoY Sales","34329"
"Home Appliances","Coffee Machines","Jul","YoY Margin","2589"
"Home Appliances","Coffee Machines","Jul","YoY Margin %",
"Home Appliances","Coffee Machines","Jul","Margin %","7.5417285676832995"
"Home Appliances","Coffee Machines","Jul","Revenue","34329"
"Home Appliances","Coffee Machines","Jul","Total Customers","22"
"Home Appliances","Coffee Machines","Aug","","51802"
"Home Appliances","Coffee Machines","Aug","Margin","4094.5"
"Home Appliances","Coffee Machines","Aug","Sales","51802"
"Home Appliances","Coffee Machines","Aug","YoY Sales %",
"Home Appliances","Coffee Machines","Aug","YoY Sales","51802"
"Home Appliances","Coffee Machines","Aug","YoY Margin","4094.5"
"Home Appliances","Coffee Machines","Aug","YoY Margin %",
"Home Appliances","Coffee Machines","Aug","Margin %","7.904134975483572"
"Home Appliances","Coffee Machines","Aug","Revenue","51802"
"Home Appliances","Coffee Machines","Aug","Total Customers","30"
"Home Appliances","Coffee Machines","Sep","","71783"
