Country,Category,Subcategory,Model,Fiscal Year,Value Column Name,Value
"Germany","Clothing","Socks","Racing Socks","FY2019","Order Quantity","1"
"Germany","Clothing","Socks","Racing Socks","FY2019","Sales Amount","8.99"
"Germany","Clothing","Socks","Racing Socks","FY2019","Sales Amount - Order Quantity","7.99"
"Germany","Clothing","Socks","Racing Socks","FY2019","(Sales Amount - Order Quantity)%","7.99"
"Germany","Clothing","Socks","Racing Socks","FY2020","Order Quantity","124"
"Germany","Clothing","Socks","Racing Socks","FY2020","Sales Amount","777.1855"
"Germany","Clothing","Socks","Racing Socks","FY2020","Sales Amount - Order Quantity","653.1855"
"Germany","Clothing","Socks","Racing Socks","FY2020","(Sales Amount - Order Quantity)%","5.267625000000001"
"Germany","Clothing","Caps","Cycling Cap","FY2019","Order Quantity","6"
"Germany","Clothing","Caps","Cycling Cap","FY2019","Sales Amount","53.94"
"Germany","Clothing","Caps","Cycling Cap","FY2019","Sales Amount - Order Quantity","47.94"
"Germany","Clothing","Caps","Cycling Cap","FY2019","(Sales Amount - Order Quantity)%","7.989999999999998"
"Germany","Clothing","Caps","Cycling Cap","FY2020","Order Quantity","549"
"Germany","Clothing","Caps","Cycling Cap","FY2020","Sales Amount","3866.029"
"Germany","Clothing","Caps","Cycling Cap","FY2020","Sales Amount - Order Quantity","3317.029"
"Germany","Clothing","Caps","Cycling Cap","FY2020","(Sales Amount - Order Quantity)%","6.041947176684881"
"Germany","Clothing","Shorts","Women's Mountain Shorts","FY2019","Order Quantity",
"Germany","Clothing","Shorts","Women's Mountain Shorts","FY2019","Sales Amount",
"Germany","Clothing","Shorts","Women's Mountain Shorts","FY2019","Sales Amount - Order Quantity",
"Germany","Clothing","Shorts","Women's Mountain Shorts","FY2019","(Sales Amount - Order Quantity)%",
"Germany","Clothing","Shorts","Women's Mountain Shorts","FY2020","Order Quantity","182"
"Germany","Clothing","Shorts","Women's Mountain Shorts","FY2020","Sales Amount","7657.368"
"Germany","Clothing","Shorts","Women's Mountain Shorts","FY2020","Sales Amount - Order Quantity","7475.368"
"Germany","Clothing","Shorts","Women's Mountain Shorts","FY2020","(Sales Amount - Order Quantity)%","41.07345054945054"
"Germany","Clothing","Gloves","Half-Finger Gloves","FY2019","Order Quantity","3"
"Germany","Clothing","Gloves","Half-Finger Gloves","FY2019","Sales Amount","73.47"
"Germany","Clothing","Gloves","Half-Finger Gloves","FY2019","Sales Amount - Order Quantity","70.47"
"Germany","Clothing","Gloves","Half-Finger Gloves","FY2019","(Sales Amount - Order Quantity)%","23.49"
"Germany","Clothing","Gloves","Half-Finger Gloves","FY2020","Order Quantity","464"
"Germany","Clothing","Gloves","Half-Finger Gloves","FY2020","Sales Amount","7622.2872"
"Germany","Clothing","Gloves","Half-Finger Gloves","FY2020","Sales Amount - Order Quantity","7158.2872"
"Germany","Clothing","Gloves","Half-Finger Gloves","FY2020","(Sales Amount - Order Quantity)%","15.427343103448276"
"Germany","Clothing","Vests","Classic Vest","FY2019","Order Quantity","3"
"Germany","Clothing","Vests","Classic Vest","FY2019","Sales Amount","190.5"
"Germany","Clothing","Vests","Classic Vest","FY2019","Sales Amount - Order Quantity","187.5"
"Germany","Clothing","Vests","Classic Vest","FY2019","(Sales Amount - Order Quantity)%","62.5"
"Germany","Clothing","Vests","Classic Vest","FY2020","Order Quantity","615"
"Germany","Clothing","Vests","Classic Vest","FY2020","Sales Amount","22859.924"
"Germany","Clothing","Vests","Classic Vest","FY2020","Sales Amount - Order Quantity","22244.924"
"Germany","Clothing","Vests","Classic Vest","FY2020","(Sales Amount - Order Quantity)%","36.1706081300813"
"Germany","Clothing","Jerseys","Long-Sleeve Logo Jersey","FY2019","Order Quantity","9"
"Germany","Clothing","Jerseys","Long-Sleeve Logo Jersey","FY2019","Sales Amount","449.91"
"Germany","Clothing","Jerseys","Long-Sleeve Logo Jersey","FY2019","Sales Amount - Order Quantity","440.91"
"Germany","Clothing","Jerseys","Long-Sleeve Logo Jersey","FY2019","(Sales Amount - Order Quantity)%","48.99"
"Germany","Clothing","Jerseys","Long-Sleeve Logo Jersey","FY2020","Order Quantity","722"
"Germany","Clothing","Jerseys","Long-Sleeve Logo Jersey","FY2020","Sales Amount","24809.9421"
"Germany","Clothing","Jerseys","Long-Sleeve Logo Jersey","FY2020","Sales Amount - Order Quantity","24087.9421"
"Germany","Clothing","Jerseys","Long-Sleeve Logo Jersey","FY2020","(Sales Amount - Order Quantity)%","33.36280069252078"
"Germany","Clothing","Jerseys","Short-Sleeve Classic Jersey","FY2019","Order Quantity","6"
"Germany","Clothing","Jerseys","Short-Sleeve Classic Jersey","FY2019","Sales Amount","323.94"
"Germany","Clothing","Jerseys","Short-Sleeve Classic Jersey","FY2019","Sales Amount - Order Quantity","317.94"
"Germany","Clothing","Jerseys","Short-Sleeve Classic Jersey","FY2019","(Sales Amount - Order Quantity)%","52.99"
"Germany","Clothing","Jerseys","Short-Sleeve Classic Jersey","FY2020","Order Quantity","768"
"Germany","Clothing","Jerseys","Short-Sleeve Classic Jersey","FY2020","Sales Amount","26491.349"
"Germany","Clothing","Jerseys","Short-Sleeve Classic Jersey","FY2020","Sales Amount - Order Quantity","25723.349"
"Germany","Clothing","Jerseys","Short-Sleeve Classic Jersey","FY2020","(Sales Amount - Order Quantity)%","33.49394401041666"
"Germany","Accessories","Cleaners","Bike Wash","FY2019","Order Quantity",
"Germany","Accessories","Cleaners","Bike Wash","FY2019","Sales Amount",
"Germany","Accessories","Cleaners","Bike Wash","FY2019","Sales Amount - Order Quantity",
"Germany","Accessories","Cleaners","Bike Wash","FY2019","(Sales Amount - Order Quantity)%",
"Germany","Accessories","Cleaners","Bike Wash","FY2020","Order Quantity","249"
"Germany","Accessories","Cleaners","Bike Wash","FY2020","Sales Amount","1378.689"
"Germany","Accessories","Cleaners","Bike Wash","FY2020","Sales Amount - Order Quantity","1129.689"
"Germany","Accessories","Cleaners","Bike Wash","FY2020","(Sales Amount - Order Quantity)%","4.536903614457832"
"Germany","Accessories","Bike Stands","All-Purpose Bike Stand","FY2019","Order Quantity",
"Germany","Accessories","Bike Stands","All-Purpose Bike Stand","FY2019","Sales Amount",
"Germany","Accessories","Bike Stands","All-Purpose Bike Stand","FY2019","Sales Amount - Order Quantity",
"Germany","Accessories","Bike Stands","All-Purpose Bike Stand","FY2019","(Sales Amount - Order Quantity)%",
"Germany","Accessories","Bike Stands","All-Purpose Bike Stand","FY2020","Order Quantity","20"
"Germany","Accessories","Bike Stands","All-Purpose Bike Stand","FY2020","Sales Amount","3180"
"Germany","Accessories","Bike Stands","All-Purpose Bike Stand","FY2020","Sales Amount - Order Quantity","3160"
"Germany","Accessories","Bike Stands","All-Purpose Bike Stand","FY2020","(Sales Amount - Order Quantity)%","158"
"Germany","Accessories","Fenders","Fender Set - Mountain","FY2019","Order Quantity","3"
"Germany","Accessories","Fenders","Fender Set - Mountain","FY2019","Sales Amount","65.94"
"Germany","Accessories","Fenders","Fender Set - Mountain","FY2019","Sales Amount - Order Quantity","62.94"
"Germany","Accessories","Fenders","Fender Set - Mountain","FY2019","(Sales Amount - Order Quantity)%","20.98"
"Germany","Accessories","Fenders","Fender Set - Mountain","FY2020","Order Quantity","158"
"Germany","Accessories","Fenders","Fender Set - Mountain","FY2020","Sales Amount","3472.84"
"Germany","Accessories","Fenders","Fender Set - Mountain","FY2020","Sales Amount - Order Quantity","3314.84"
"Germany","Accessories","Fenders","Fender Set - Mountain","FY2020","(Sales Amount - Order Quantity)%","20.98"
"Germany","Accessories","Bottles and Cages","Road Bottle Cage","FY2019","Order Quantity","12"
"Germany","Accessories","Bottles and Cages","Road Bottle Cage","FY2019","Sales Amount","107.88"
"Germany","Accessories","Bottles and Cages","Road Bottle Cage","FY2019","Sales Amount - Order Quantity","95.88"
"Germany","Accessories","Bottles and Cages","Road Bottle Cage","FY2019","(Sales Amount - Order Quantity)%","7.989999999999998"
"Germany","Accessories","Bottles and Cages","Road Bottle Cage","FY2020","Order Quantity","164"
"Germany","Accessories","Bottles and Cages","Road Bottle Cage","FY2020","Sales Amount","1474.36"
"Germany","Accessories","Bottles and Cages","Road Bottle Cage","FY2020","Sales Amount - Order Quantity","1310.36"
"Germany","Accessories","Bottles and Cages","Road Bottle Cage","FY2020","(Sales Amount - Order Quantity)%","7.989999999999998"
"Germany","Accessories","Bottles and Cages","Mountain Bottle Cage","FY2019","Order Quantity","9"
"Germany","Accessories","Bottles and Cages","Mountain Bottle Cage","FY2019","Sales Amount","89.91"
"Germany","Accessories","Bottles and Cages","Mountain Bottle Cage","FY2019","Sales Amount - Order Quantity","80.91"
"Germany","Accessories","Bottles and Cages","Mountain Bottle Cage","FY2019","(Sales Amount - Order Quantity)%","8.99"
"Germany","Accessories","Bottles and Cages","Mountain Bottle Cage","FY2020","Order Quantity","178"
"Germany","Accessories","Bottles and Cages","Mountain Bottle Cage","FY2020","Sales Amount","1778.22"
"Germany","Accessories","Bottles and Cages","Mountain Bottle Cage","FY2020","Sales Amount - Order Quantity","1600.22"
"Germany","Accessories","Bottles and Cages","Mountain Bottle Cage","FY2020","(Sales Amount - Order Quantity)%","8.99"
"Germany","Accessories","Bottles and Cages","Water Bottle","FY2019","Order Quantity","18"
"Germany","Accessories","Bottles and Cages","Water Bottle","FY2019","Sales Amount","89.82"
"Germany","Accessories","Bottles and Cages","Water Bottle","FY2019","Sales Amount - Order Quantity","71.82"
"Germany","Accessories","Bottles and Cages","Water Bottle","FY2019","(Sales Amount - Order Quantity)%","3.99"
"Germany","Accessories","Bottles and Cages","Water Bottle","FY2020","Order Quantity","659"
"Germany","Accessories","Bottles and Cages","Water Bottle","FY2020","Sales Amount","2675.9644"
"Germany","Accessories","Bottles and Cages","Water Bottle","FY2020","Sales Amount - Order Quantity","2016.9643999999998"
"Germany","Accessories","Bottles and Cages","Water Bottle","FY2020","(Sales Amount - Order Quantity)%","3.0606440060698024"
"Germany","Accessories","Hydration Packs","Hydration Pack","FY2019","Order Quantity","2"
"Germany","Accessories","Hydration Packs","Hydration Pack","FY2019","Sales Amount","109.98"
"Germany","Accessories","Hydration Packs","Hydration Pack","FY2019","Sales Amount - Order Quantity","107.98"
"Germany","Accessories","Hydration Packs","Hydration Pack","FY2019","(Sales Amount - Order Quantity)%","53.99"
"Germany","Accessories","Hydration Packs","Hydration Pack","FY2020","Order Quantity","257"
"Germany","Accessories","Hydration Packs","Hydration Pack","FY2020","Sales Amount","9030.5127"
"Germany","Accessories","Hydration Packs","Hydration Pack","FY2020","Sales Amount - Order Quantity","8773.5127"
"Germany","Accessories","Hydration Packs","Hydration Pack","FY2020","(Sales Amount - Order Quantity)%","34.138181712062256"
"Germany","Accessories","Bike Racks","Hitch Rack - 4-Bike","FY2019","Order Quantity","1"
"Germany","Accessories","Bike Racks","Hitch Rack - 4-Bike","FY2019","Sales Amount","120"
"Germany","Accessories","Bike Racks","Hitch Rack - 4-Bike","FY2019","Sales Amount - Order Quantity","119"
"Germany","Accessories","Bike Racks","Hitch Rack - 4-Bike","FY2019","(Sales Amount - Order Quantity)%","119"
"Germany","Accessories","Bike Racks","Hitch Rack - 4-Bike","FY2020","Order Quantity","245"
"Germany","Accessories","Bike Racks","Hitch Rack - 4-Bike","FY2020","Sales Amount","17985.984"
"Germany","Accessories","Bike Racks","Hitch Rack - 4-Bike","FY2020","Sales Amount - Order Quantity","17740.984"
"Germany","Accessories","Bike Racks","Hitch Rack - 4-Bike","FY2020","(Sales Amount - Order Quantity)%","72.41217959183673"
"Germany","Accessories","Tires and Tubes","Patch kit","FY2019","Order Quantity","5"
"Germany","Accessories","Tires and Tubes","Patch kit","FY2019","Sales Amount","11.45"
"Germany","Accessories","Tires and Tubes","Patch kit","FY2019","Sales Amount - Order Quantity","6.449999999999999"
"Germany","Accessories","Tires and Tubes","Patch kit","FY2019","(Sales Amount - Order Quantity)%","1.2899999999999998"
"Germany","Accessories","Tires and Tubes","Patch kit","FY2020","Order Quantity","306"
"Germany","Accessories","Tires and Tubes","Patch kit","FY2020","Sales Amount","638.4996"
"Germany","Accessories","Tires and Tubes","Patch kit","FY2020","Sales Amount - Order Quantity","332.4996"
"Germany","Accessories","Tires and Tubes","Patch kit","FY2020","(Sales Amount - Order Quantity)%","1.0866"
"Germany","Accessories","Tires and Tubes","Touring Tire Tube","FY2019","Order Quantity","2"
"Germany","Accessories","Tires and Tubes","Touring Tire Tube","FY2019","Sales Amount","9.98"
"Germany","Accessories","Tires and Tubes","Touring Tire Tube","FY2019","Sales Amount - Order Quantity","7.98"
"Germany","Accessories","Tires and Tubes","Touring Tire Tube","FY2019","(Sales Amount - Order Quantity)%","3.99"
"Germany","Accessories","Tires and Tubes","Touring Tire Tube","FY2020","Order Quantity","183"
"Germany","Accessories","Tires and Tubes","Touring Tire Tube","FY2020","Sales Amount","913.17"
"Germany","Accessories","Tires and Tubes","Touring Tire Tube","FY2020","Sales Amount - Order Quantity","730.17"
"Germany","Accessories","Tires and Tubes","Touring Tire Tube","FY2020","(Sales Amount - Order Quantity)%","3.99"
"Germany","Accessories","Tires and Tubes","Mountain Tire Tube","FY2019","Order Quantity",
"Germany","Accessories","Tires and Tubes","Mountain Tire Tube","FY2019","Sales Amount",
"Germany","Accessories","Tires and Tubes","Mountain Tire Tube","FY2019","Sales Amount - Order Quantity",
"Germany","Accessories","Tires and Tubes","Mountain Tire Tube","FY2019","(Sales Amount - Order Quantity)%",
"Germany","Accessories","Tires and Tubes","Mountain Tire Tube","FY2020","Order Quantity","188"
"Germany","Accessories","Tires and Tubes","Mountain Tire Tube","FY2020","Sales Amount","938.12"
"Germany","Accessories","Tires and Tubes","Mountain Tire Tube","FY2020","Sales Amount - Order Quantity","750.12"
"Germany","Accessories","Tires and Tubes","Mountain Tire Tube","FY2020","(Sales Amount - Order Quantity)%","3.99"
"Germany","Accessories","Tires and Tubes","Road Tire Tube","FY2019","Order Quantity","7"
"Germany","Accessories","Tires and Tubes","Road Tire Tube","FY2019","Sales Amount","27.93"
"Germany","Accessories","Tires and Tubes","Road Tire Tube","FY2019","Sales Amount - Order Quantity","20.93"
"Germany","Accessories","Tires and Tubes","Road Tire Tube","FY2019","(Sales Amount - Order Quantity)%","2.99"
"Germany","Accessories","Tires and Tubes","Road Tire Tube","FY2020","Order Quantity","270"
"Germany","Accessories","Tires and Tubes","Road Tire Tube","FY2020","Sales Amount","1077.3"
"Germany","Accessories","Tires and Tubes","Road Tire Tube","FY2020","Sales Amount - Order Quantity","807.3"
"Germany","Accessories","Tires and Tubes","Road Tire Tube","FY2020","(Sales Amount - Order Quantity)%","2.99"
"Germany","Accessories","Tires and Tubes","HL Road Tire","FY2019","Order Quantity","7"
"Germany","Accessories","Tires and Tubes","HL Road Tire","FY2019","Sales Amount","228.2"
"Germany","Accessories","Tires and Tubes","HL Road Tire","FY2019","Sales Amount - Order Quantity","221.2"
"Germany","Accessories","Tires and Tubes","HL Road Tire","FY2019","(Sales Amount - Order Quantity)%","31.6"
"Germany","Accessories","Tires and Tubes","HL Road Tire","FY2020","Order Quantity","30"
"Germany","Accessories","Tires and Tubes","HL Road Tire","FY2020","Sales Amount","978"
"Germany","Accessories","Tires and Tubes","HL Road Tire","FY2020","Sales Amount - Order Quantity","948"
"Germany","Accessories","Tires and Tubes","HL Road Tire","FY2020","(Sales Amount - Order Quantity)%","31.6"
"Germany","Accessories","Tires and Tubes","LL Mountain Tire","FY2019","Order Quantity",
"Germany","Accessories","Tires and Tubes","LL Mountain Tire","FY2019","Sales Amount",
"Germany","Accessories","Tires and Tubes","LL Mountain Tire","FY2019","Sales Amount - Order Quantity",
"Germany","Accessories","Tires and Tubes","LL Mountain Tire","FY2019","(Sales Amount - Order Quantity)%",
"Germany","Accessories","Tires and Tubes","LL Mountain Tire","FY2020","Order Quantity","72"
"Germany","Accessories","Tires and Tubes","LL Mountain Tire","FY2020","Sales Amount","1799.28"
"Germany","Accessories","Tires and Tubes","LL Mountain Tire","FY2020","Sales Amount - Order Quantity","1727.28"
"Germany","Accessories","Tires and Tubes","LL Mountain Tire","FY2020","(Sales Amount - Order Quantity)%","23.99"
"Germany","Accessories","Tires and Tubes","ML Road Tire","FY2019","Order Quantity",
"Germany","Accessories","Tires and Tubes","ML Road Tire","FY2019","Sales Amount",
"Germany","Accessories","Tires and Tubes","ML Road Tire","FY2019","Sales Amount - Order Quantity",
"Germany","Accessories","Tires and Tubes","ML Road Tire","FY2019","(Sales Amount - Order Quantity)%",
