With Actual budget.Period_MON,With Actual budget.Account,With Actual budget.Product,Sum(With Actual budget.Additional 3),Sum(With Actual budget.Additional 2)
FEB,Gross Sales,Tea & Coffee,70044243.21,140088486.42
JAN,Gross Sales,Tea & Coffee,57492179.879999995,114984359.75999999
OCT,Gross Sales,Tea & Coffee,36928129.739999995,73856259.47999999
SEP,Gross Sales,Tea & Coffee,74403008.30999999,148806016.61999997
FEB,Gross Sales,Juices,18612720.096,37225440.192
JAN,Gross Sales,Juices,7859437.278,15718874.556
OCT,Gross Sales,Juices,31098869.429999996,62197738.85999999
SEP,Gross Sales,Juices,16571491.152,33142982.304
FEB,Gross Sales,Mineral Water,9520976.739,19041953.478
JAN,Gross Sales,Mineral Water,4826116.425,9652232.85
OCT,Gross Sales,Mineral Water,16104370.589999998,32208741.179999996
SEP,Gross Sales,Mineral Water,9646815.462,19293630.924
FEB,Raw Materials,Tea & Coffee,20170143.984,40340287.968
JAN,Raw Materials,Tea & Coffee,15565283.297999999,31130566.595999997
OCT,Raw Materials,Tea & Coffee,8570342.484,17140684.968
SEP,Raw Materials,Tea & Coffee,23537892.552,47075785.104
FEB,Raw Materials,Juices,2548013.5109999995,5096027.021999999
JAN,Raw Materials,Juices,2940299.445,5880598.89
OCT,Raw Materials,Juices,8523614.283,17047228.566
SEP,Raw Materials,Juices,3134604.7739999997,6269209.5479999995
FEB,Raw Materials,Mineral Water,1567357.2299999997,3134714.4599999995
JAN,Raw Materials,Mineral Water,1694833.584,3389667.168
OCT,Raw Materials,Mineral Water,4299920.466,8599840.932
SEP,Raw Materials,Mineral Water,1879717.8090000001,3759435.6180000002
FEB,Labor,Tea & Coffee,10860846.764999999,21721693.529999997
JAN,Labor,Tea & Coffee,8381306.393999999,16762612.787999999
OCT,Labor,Tea & Coffee,4614799.794,9229599.588
SEP,Labor,Tea & Coffee,12674249.831999999,25348499.663999997
FEB,Labor,Juices,1372007.271,2744014.542
JAN,Labor,Juices,1583238.1649999998,3166476.3299999996
OCT,Labor,Juices,4589638.458,9179276.916
SEP,Labor,Juices,1687864.107,3375728.214
FEB,Labor,Mineral Water,843961.581,1687923.162
JAN,Labor,Mineral Water,912602.7,1825205.4
OCT,Labor,Mineral Water,2315341.7879999997,4630683.575999999
SEP,Labor,Mineral Water,1012155.744,2024311.488
FEB,Sales Markdowns,Juices,3788045.565,7576091.13
JAN,Sales Markdowns,Juices,27160.802999999996,54321.60599999999
OCT,Sales Markdowns,Juices,96.17699999999999,192.35399999999998
SEP,Sales Markdowns,Juices,1600285.3409999998,3200570.6819999996
FEB,Sales Markdowns,Mineral Water,1901209.821,3802419.642
JAN,Sales Markdowns,Mineral Water,13516.217999999999,27032.435999999998
OCT,Sales Markdowns,Mineral Water,49.284,98.568
SEP,Sales Markdowns,Mineral Water,822025.032,1644050.064
FEB,Sales Markdowns,Tea & Coffee,1238082.768,2476165.536
JAN,Sales Markdowns,Tea & Coffee,394531.01999999996,789062.0399999999
OCT,Sales Markdowns,Tea & Coffee,5325.216,10650.432
SEP,Sales Markdowns,Tea & Coffee,211132.155,422264.31
FEB,Sale Allowances,Tea & Coffee,235145.748,470291.496
JAN,Sale Allowances,Tea & Coffee,1073039.784,2146079.568
OCT,Sale Allowances,Tea & Coffee,515151.94499999995,1030303.8899999999
SEP,Sale Allowances,Tea & Coffee,437977.908,875955.816
FEB,Sale Allowances,Mineral Water,15138.204,30276.408
JAN,Sale Allowances,Mineral Water,7839.0599999999995,15678.119999999999
OCT,Sale Allowances,Mineral Water,5588.4839999999995,11176.967999999999
SEP,Sale Allowances,Mineral Water,20874.414,41748.828
FEB,Sale Allowances,Juices,25.851,51.702
JAN,Sale Allowances,Juices,2271.117,4542.234
OCT,Sale Allowances,Juices,255.86399999999998,511.72799999999995
SEP,Sale Allowances,Juices,159.27599999999998,318.55199999999996
FEB,Merchandise Returns,Tea & Coffee,395475.42899999995,790950.8579999999
JAN,Merchandise Returns,Tea & Coffee,438339.222,876678.444
OCT,Merchandise Returns,Tea & Coffee,355452.816,710905.632
SEP,Merchandise Returns,Tea & Coffee,511417.506,1022835.012
FEB,Merchandise Returns,Juices,88575.195,177150.39
JAN,Merchandise Returns,Juices,45130.287000000004,90260.57400000001
OCT,Merchandise Returns,Juices,93798.669,187597.338
SEP,Merchandise Returns,Juices,50909.307,101818.614
FEB,Merchandise Returns,Mineral Water,42161.316,84322.632
JAN,Merchandise Returns,Mineral Water,23566.59,47133.18
OCT,Merchandise Returns,Mineral Water,42927.846,85855.692
SEP,Merchandise Returns,Mineral Water,23650.857,47301.714
FEB,Freight,Tea & Coffee,77231.046,154462.092
JAN,Freight,Tea & Coffee,35368.767,70737.534
OCT,Freight,Tea & Coffee,71567.337,143134.674
SEP,Freight,Tea & Coffee,15451.686,30903.372
FEB,Freight,Mineral Water,10905.864,21811.728
JAN,Freight,Mineral Water,5028.003,10056.006
OCT,Freight,Mineral Water,49442.985,98885.97
SEP,Freight,Mineral Water,69218.235,138436.47
FEB,Freight,Juices,6693.558,13387.116
JAN,Freight,Juices,3758.508,7517.016
OCT,Freight,Juices,97528.66799999999,195057.33599999998
SEP,Freight,Juices,2634.4199999999996,5268.839999999999
