Level1Name,Level2Name,Level3Name,Level4Name,Level5Name,Level6Name,Level7Name,Level8Name,Value Column Name,Value
"Net Income","EBIT","EBITDA","Contribution","Net Revenue","Discounts","Cash Over/Short","Over/Short Cash & Check","Code Balance Net Amount (Base)","-175858.0500000124"
"Net Income","EBIT","EBITDA","Contribution","Net Revenue","Discounts","Cash Over/Short","Over/Short Credit Card","Code Balance Net Amount (Base)","-135024.23999999277"
"Net Income","EBIT","EBITDA","Contribution","Net Revenue","Discounts","Cash Over/Short","Over/Short-Sales Audit","Code Balance Net Amount (Base)","22300.28000000005"
"Net Income","EBIT","EBITDA","Contribution","Net Revenue","Discounts","Disc - Courtesy","Client Discounts","Code Balance Net Amount (Base)","-244664607.21000072"
"Net Income","EBIT","EBITDA","Contribution","Net Revenue","Discounts","Disc - Manufacturer","Non-Banfield Coupons","Code Balance Net Amount (Base)","-79846060.38999897"
"Net Income","EBIT","EBITDA","Contribution","Net Revenue","Discounts","Disc - Wellness","WP Discounts","Code Balance Net Amount (Base)","-111503944.88000153"
"Net Income","EBIT","EBITDA","Contribution","Net Revenue","Discounts","Revenue Adjustments","Client Adjustments","Code Balance Net Amount (Base)","-2133399.280000009"
"Net Income","EBIT","EBITDA","Contribution","Net Revenue","Discounts","Revenue Adjustments","Client Refund","Code Balance Net Amount (Base)","-247.48000000000008"
"Net Income","EBIT","EBITDA","Contribution","Net Revenue","Gross Revenue","Other Revenue","Franchise Initiation Fee","Code Balance Net Amount (Base)","-5768.17"
"Net Income","EBIT","EBITDA","Contribution","Net Revenue","Gross Revenue","Other Revenue","Revenue Clearing","Code Balance Net Amount (Base)","-874647.5299934149"
"Net Income","EBIT","EBITDA","Contribution","Net Revenue","Gross Revenue","Other Revenue","Wellness Plan Enrollment Fees","Code Balance Net Amount (Base)","11349735.620000001"
"Net Income","EBIT","EBITDA","Contribution","Net Revenue","Gross Revenue","Other Revenue","Wellness Plan Service Rendered","Code Balance Net Amount (Base)","843800"
"Net Income","EBIT","EBITDA","Contribution","Net Revenue","Gross Revenue","Pet Food Revenue","Pet Food - Prescription Diet","Code Balance Net Amount (Base)","401818646.6999985"
"Net Income","EBIT","EBITDA","Contribution","Net Revenue","Gross Revenue","Professional Revenue","Animal Cremations Revenue","Code Balance Net Amount (Base)","111591013.80999975"
"Net Income","EBIT","EBITDA","Contribution","Net Revenue","Gross Revenue","Professional Revenue","Lab In-house Revenue","Code Balance Net Amount (Base)","1988189453.5200016"
"Net Income","EBIT","EBITDA","Contribution","Net Revenue","Gross Revenue","Professional Revenue","Other Professional Services","Code Balance Net Amount (Base)","3516795654.3900285"
"Net Income","EBIT","EBITDA","Contribution","Net Revenue","Gross Revenue","Professional Revenue","Pharmacy Rx - Antiparasites","Code Balance Net Amount (Base)","339719237.83000106"
"Net Income","EBIT","EBITDA","Contribution","Net Revenue","Gross Revenue","Professional Revenue","Pharmacy Rx - Other","Code Balance Net Amount (Base)","1240023484.1899936"
"Net Income","EBIT","EBITDA","Contribution","Net Revenue","Gross Revenue","Retail Revenue","Other Retail Revenue","Code Balance Net Amount (Base)","173607457.0500021"
"Net Income","EBIT","EBITDA","Contribution","Net Revenue","Gross Revenue","Unutilized Wellness Revenue","Wellness Plan Service Undelivered Expired P","Code Balance Net Amount (Base)","101045153.90000023"
"Net Income","EBIT","EBITDA","Contribution","Total Expenses","COGS","Animal Cremations","COGS - Cremation","Code Balance Net Amount (Base)","62812088.29999985"
"Net Income","EBIT","EBITDA","Contribution","Total Expenses","COGS","Antiparasite","Antiparasite Rx","Code Balance Net Amount (Base)","67985325.50999995"
"Net Income","EBIT","EBITDA","Contribution","Total Expenses","COGS","Lab Outside Costs","COGS - Diagnostic","Code Balance Net Amount (Base)","20162876.149999972"
"Net Income","EBIT","EBITDA","Contribution","Total Expenses","COGS","Lab Outside Costs","COGS - External lab","Code Balance Net Amount (Base)","184633130.7200026"
"Net Income","EBIT","EBITDA","Contribution","Total Expenses","COGS","Medical Supplies","Other Medical Supplies","Code Balance Net Amount (Base)","651301957.0200012"
"Net Income","EBIT","EBITDA","Contribution","Total Expenses","COGS","Other COGS","COGS - Supplies","Code Balance Net Amount (Base)","984309.6799999945"
"Net Income","EBIT","EBITDA","Contribution","Total Expenses","COGS","Other COGS","Cost of Goods - Shop Goods Purchases","Code Balance Net Amount (Base)","72564193.94000065"
"Net Income","EBIT","EBITDA","Contribution","Total Expenses","COGS","Other COGS","Cost of Goods - Supplier Discounts","Code Balance Net Amount (Base)","-3868113.6300000083"
"Net Income","EBIT","EBITDA","Contribution","Total Expenses","COGS","Other COGS","Cost of Goods-Freight","Code Balance Net Amount (Base)","3689977.4800000056"
"Net Income","EBIT","EBITDA","Contribution","Total Expenses","COGS","Other COGS","Cost of Goods-Other","Code Balance Net Amount (Base)","2515501.070000006"
"Net Income","EBIT","EBITDA","Contribution","Total Expenses","COGS","Other COGS","Cost of Goods-Sales Tax Hosp","Code Balance Net Amount (Base)","124.39"
"Net Income","EBIT","EBITDA","Contribution","Total Expenses","COGS","Other COGS","Cost of Goods-Use Tax","Code Balance Net Amount (Base)","21308109.420000114"
"Net Income","EBIT","EBITDA","Contribution","Total Expenses","COGS","Pet Food","Prescription Diet","Code Balance Net Amount (Base)","337420765.7499999"
"Net Income","EBIT","EBITDA","Contribution","Total Expenses","Labor","Benefits","401K and Retirement Plan","Code Balance Net Amount (Base)","14032183.77000001"
"Net Income","EBIT","EBITDA","Contribution","Total Expenses","Labor","Benefits","CE and Conferences","Code Balance Net Amount (Base)","8342507.660000155"
"Net Income","EBIT","EBITDA","Contribution","Total Expenses","Labor","Benefits","Other Benefits","Code Balance Net Amount (Base)","429897826.79999906"
"Net Income","EBIT","EBITDA","Contribution","Total Expenses","Labor","Non-DVM Compensation","Admin (CSR, HM, Other)","Code Balance Net Amount (Base)","80912390.92000015"
"Net Income","EBIT","EBITDA","Contribution","Total Expenses","Labor","Non-DVM Compensation","Non DVM - Other Compensation","Code Balance Net Amount (Base)","22392528.89"
"Net Income","EBIT","EBITDA","Contribution","Total Expenses","Labor","Non-DVM Compensation","Non-DVM - Non-Productive","Code Balance Net Amount (Base)","140642951.2100025"
"Net Income","EBIT","EBITDA","Contribution","Total Expenses","Labor","Non-DVM Compensation","Other Staff (includes grooming & kennel)","Code Balance Net Amount (Base)","1302060203.7499928"
"Net Income","EBIT","EBITDA","Contribution","Total Expenses","Labor","Professional Compensation","DVM - CE Pay","Code Balance Net Amount (Base)","15350461.96"
"Net Income","EBIT","EBITDA","Contribution","Total Expenses","Labor","Professional Compensation","DVM - Consultant","Code Balance Net Amount (Base)","30687122.359999966"
"Net Income","EBIT","EBITDA","Contribution","Total Expenses","Labor","Professional Compensation","DVM - Contractor","Code Balance Net Amount (Base)","177715826.52000162"
"Net Income","EBIT","EBITDA","Contribution","Total Expenses","Labor","Professional Compensation","DVM - Staff Compensation","Code Balance Net Amount (Base)","1449138359.0600295"
"Net Income","EBIT","EBITDA","Contribution","Total Expenses","Labor","Professional Compensation","DVM - Vacation, Sick, Holiday","Code Balance Net Amount (Base)","89833427.47000107"
"Net Income","EBIT","EBITDA","Contribution","Total Expenses","Other Operating","Bad Debt","Bad Debt Expense","Code Balance Net Amount (Base)","8808439.99999993"
"Net Income","EBIT","EBITDA","Contribution","Total Expenses","Other Operating","Bad Debt","Wellness Plans Bad Debt","Code Balance Net Amount (Base)","5141887.650000075"
"Net Income","EBIT","EBITDA","Contribution","Total Expenses","Other Operating","Local Marketing","Mktg - Miscellaneous","Code Balance Net Amount (Base)","1529751.8800000371"
"Net Income","EBIT","EBITDA","Contribution","Total Expenses","Other Operating","National Marketing","Advertising - General","Code Balance Net Amount (Base)","20472438.249999918"
"Net Income","EBIT","EBITDA","Contribution","Total Expenses","Other Operating","National Marketing","Mktg - Agency Fees/Outsourced","Code Balance Net Amount (Base)","1769272.6700000372"
"Net Income","EBIT","EBITDA","Contribution","Total Expenses","Other Operating","National Marketing","Mktg - Bag Stuffers","Code Balance Net Amount (Base)","12993162.509999942"
"Net Income","EBIT","EBITDA","Contribution","Total Expenses","Other Operating","National Marketing","Mktg - Digital Media","Code Balance Net Amount (Base)","6151036.020000039"
"Net Income","EBIT","EBITDA","Contribution","Total Expenses","Other Operating","National Marketing","Mktg - Direct Mail","Code Balance Net Amount (Base)","305467.4399999998"
"Net Income","EBIT","EBITDA","Contribution","Total Expenses","Other Operating","National Marketing","Mktg - Events","Code Balance Net Amount (Base)","237198.02000000048"
"Net Income","EBIT","EBITDA","Contribution","Total Expenses","Other Operating","National Marketing","Mktg - Internet","Code Balance Net Amount (Base)","6229975.280000009"
"Net Income","EBIT","EBITDA","Contribution","Total Expenses","Other Operating","National Marketing","Mktg - Newspaper & Magazine","Code Balance Net Amount (Base)","1244516.0399999963"
"Net Income","EBIT","EBITDA","Contribution","Total Expenses","Other Operating","National Marketing","Mktg - Print","Code Balance Net Amount (Base)","6757697.020000042"
"Net Income","EBIT","EBITDA","Contribution","Total Expenses","Other Operating","National Marketing","Mktg - Research","Code Balance Net Amount (Base)","5715893.809999961"
"Net Income","EBIT","EBITDA","Contribution","Total Expenses","Other Operating","Occupancy","Grounds Maintenance","Code Balance Net Amount (Base)","44154422.909999944"
"Net Income","EBIT","EBITDA","Contribution","Total Expenses","Other Operating","Occupancy","Housekeeping","Code Balance Net Amount (Base)","20929166.57000019"
"Net Income","EBIT","EBITDA","Contribution","Total Expenses","Other Operating","Occupancy","Other Occupancy","Code Balance Net Amount (Base)","21462087.140000004"
"Net Income","EBIT","EBITDA","Contribution","Total Expenses","Other Operating","Occupancy","Property Taxes","Code Balance Net Amount (Base)","43668647.68999936"
"Net Income","EBIT","EBITDA","Contribution","Total Expenses","Other Operating","Occupancy","Repairs & Maintenance","Code Balance Net Amount (Base)","66001832.870000154"
"Net Income","EBIT","EBITDA","Contribution","Total Expenses","Other Operating","Occupancy","Security Services","Code Balance Net Amount (Base)","3065265.6100000557"
"Net Income","EBIT","EBITDA","Contribution","Total Expenses","Other Operating","Occupancy","Telephone","Code Balance Net Amount (Base)","24996649.810000613"
"Net Income","EBIT","EBITDA","Contribution","Total Expenses","Other Operating","Occupancy","Utilities","Code Balance Net Amount (Base)","62708897.33000074"
"Net Income","EBIT","EBITDA","Contribution","Total Expenses","Other Operating","Occupancy","Waste Removal","Code Balance Net Amount (Base)","5527372.640000057"
"Net Income","EBIT","EBITDA","Contribution","Total Expenses","Other Operating","Office & Admin","Bank Charges","Code Balance Net Amount (Base)","3886087.8299999866"
"Net Income","EBIT","EBITDA","Contribution","Total Expenses","Other Operating","Office & Admin","Credit Card Fees","Code Balance Net Amount (Base)","129200379.75999813"
"Net Income","EBIT","EBITDA","Contribution","Total Expenses","Other Operating","Office & Admin","IT Equipment Expense","Code Balance Net Amount (Base)","20894695.94000062"
"Net Income","EBIT","EBITDA","Contribution","Total Expenses","Other Operating","Office & Admin","Other Office & Admin","Code Balance Net Amount (Base)","39034093.570000246"
"Net Income","EBIT","EBITDA","Contribution","Total Expenses","Other Operating","Other Direct Operating","All Other Direct Costs","Code Balance Net Amount (Base)","26741509.779999822"
"Net Income","EBIT","EBITDA","Contribution","Total Expenses","Other Operating","Other Direct Operating","Equipment Supplies","Code Balance Net Amount (Base)","14880848.440000158"
