Category,Sub-Category,Value Column Name,Value
"Technology","Phones","Row ID","889"
"Technology","Phones","Profit","44515.7306"
"Technology","Phones","Sales","330007.054"
"Technology","Machines","Row ID","115"
"Technology","Machines","Profit","3384.7569"
"Technology","Machines","Sales","189238.631"
"Technology","Accessories","Row ID","775"
"Technology","Accessories","Profit","41936.6357"
"Technology","Accessories","Sales","167380.318"
"Technology","Copiers","Row ID","68"
"Technology","Copiers","Profit","55617.8249"
"Technology","Copiers","Sales","149528.03"
"Furniture","Chairs","Row ID","617"
"Furniture","Chairs","Profit","26590.1663"
"Furniture","Chairs","Sales","328449.103"
"Furniture","Tables","Row ID","319"
"Furniture","Tables","Profit","-17725.4811"
"Furniture","Tables","Sales","206965.532"
"Furniture","Bookcases","Row ID","228"
"Furniture","Bookcases","Profit","-3472.556"
"Furniture","Bookcases","Sales","114879.9963"
"Furniture","Furnishings","Row ID","957"
"Furniture","Furnishings","Profit","13059.1436"
"Furniture","Furnishings","Sales","91705.164"
"Office Supplies","Storage","Row ID","846"
"Office Supplies","Storage","Profit","21278.8264"
"Office Supplies","Storage","Sales","223843.608"
"Office Supplies","Binders","Row ID","1523"
"Office Supplies","Binders","Profit","30221.7633"
"Office Supplies","Binders","Sales","203412.733"
"Office Supplies","Appliances","Row ID","466"
"Office Supplies","Appliances","Profit","18138.0054"
"Office Supplies","Appliances","Sales","107532.161"
"Office Supplies","Paper","Row ID","1370"
"Office Supplies","Paper","Profit","34053.5693"
"Office Supplies","Paper","Sales","78479.206"
"Office Supplies","Supplies","Row ID","190"
"Office Supplies","Supplies","Profit","-1189.0995"
"Office Supplies","Supplies","Sales","46673.538"
"Office Supplies","Art","Row ID","796"
"Office Supplies","Art","Profit","6527.787"
"Office Supplies","Art","Sales","27118.792"
"Office Supplies","Envelopes","Row ID","254"
"Office Supplies","Envelopes","Profit","6964.1767"
"Office Supplies","Envelopes","Sales","16476.402"
"Office Supplies","Labels","Row ID","364"
"Office Supplies","Labels","Profit","5546.254"
"Office Supplies","Labels","Sales","12486.312"
"Office Supplies","Fasteners","Row ID","217"
"Office Supplies","Fasteners","Profit","949.5182"
"Office Supplies","Fasteners","Sales","3024.28"
