Table5.Year,Sum(Table5.PY),Sum(Table5.AC),Table5.Region,Table5.Country
2017,293000,359000,Americas,USA
2018,341000,275000,Americas,USA
2019,286000,321000,Americas,USA
2017,297000,233000,Americas,Brazil
2018,-44000,280000,Americas,Brazil
2019,238000,367000,Americas,Brazil
2017,208000,239000,Americas,Canada
2018,-18000,279000,Americas,Canada
2019,232000,236000,Americas,Canada
2017,111000,97000,Americas,Other
2018,93000,67000,Americas,Other
2019,85000,125000,Americas,Other
2017,0,103000,Europe,Poland
2018,182000,180000,Europe,Poland
2019,272000,239000,Europe,Poland
2017,276000,176000,Europe,Sweden
2018,345000,,Europe,Sweden
2019,319000,340000,Europe,Sweden
2017,118000,88000,Europe,Belgium
2018,173000,198000,Europe,Belgium
2019,240000,227000,Europe,Belgium
2017,0,107000,Europe,Germany
2018,100000,91000,Europe,Germany
2019,190000,219000,Europe,Germany
2017,196000,118000,Europe,France
2018,0,0,Europe,France
2019,152000,175000,Europe,France
2017,77000,142000,Europe,Other
2018,0,41000,Europe,Other
2019,50000,83000,Europe,Other
2017,329000,304000,Asia-Pacific,Australia
2018,180000,335000,Asia-Pacific,Australia
2019,217000,80000,Asia-Pacific,Australia
2017,264000,206000,Asia-Pacific,Japan
2018,187000,249000,Asia-Pacific,Japan
2019,279000,229000,Asia-Pacific,Japan
2017,308000,244000,Asia-Pacific,China
2018,318000,287000,Asia-Pacific,China
2019,321000,145000,Asia-Pacific,China
2017,134000,50000,Asia-Pacific,Other
2018,78000,78000,Asia-Pacific,Other
2019,66000,69000,Asia-Pacific,Other
