Orders.Ship Mode,Orders.Segment,Orders.Category,Orders.Sub-Category,Sum(Orders.Profit)
First Class,Consumer,Technology,Copiers,7386.969099999999
First Class,Corporate,Technology,Copiers,2033.4531999999995
First Class,Home Office,Technology,Copiers,5377.9569999999985
Same Day,Consumer,Technology,Copiers,1154.9795
Same Day,Corporate,Technology,Copiers,839.9860000000001
Same Day,Home Office,Technology,Copiers,585.9894
Second Class,Consumer,Technology,Copiers,3433.9333
Second Class,Corporate,Technology,Copiers,2999.946
Second Class,Home Office,Technology,Copiers,449.991
Standard Class,Consumer,Technology,Copiers,12107.828699999996
Standard Class,Corporate,Technology,Copiers,13116.893699999995
Standard Class,Home Office,Technology,Copiers,6129.897999999999
First Class,Consumer,Technology,Phones,3991.698599999999
First Class,Corporate,Technology,Phones,2233.1228999999994
First Class,Home Office,Technology,Phones,2175.4485000000004
Same Day,Consumer,Technology,Phones,924.5854999999996
Same Day,Corporate,Technology,Phones,136.77350000000013
Same Day,Home Office,Technology,Phones,723.1156
Second Class,Consumer,Technology,Phones,4266.2632
Second Class,Corporate,Technology,Phones,2072.1325999999995
Second Class,Home Office,Technology,Phones,2039.2395999999999
Standard Class,Consumer,Technology,Phones,14654.5674
Standard Class,Corporate,Technology,Phones,7324.1906000000035
Standard Class,Home Office,Technology,Phones,3974.5926
First Class,Consumer,Technology,Accessories,3846.8691000000003
First Class,Corporate,Technology,Accessories,1300.1628999999998
First Class,Home Office,Technology,Accessories,760.3810999999998
Same Day,Consumer,Technology,Accessories,2518.0355000000004
Same Day,Corporate,Technology,Accessories,461.4578999999999
Same Day,Home Office,Technology,Accessories,887.1976
Second Class,Consumer,Technology,Accessories,3353.403499999998
Second Class,Corporate,Technology,Accessories,3149.8453999999992
Second Class,Home Office,Technology,Accessories,2230.4218999999994
Standard Class,Consumer,Technology,Accessories,11017.6144
Standard Class,Corporate,Technology,Accessories,7796.0143
Standard Class,Home Office,Technology,Accessories,4615.232099999997
First Class,Consumer,Technology,Machines,-3664.7874
First Class,Corporate,Technology,Machines,1668.495199999999
First Class,Home Office,Technology,Machines,392.79319999999933
Same Day,Consumer,Technology,Machines,1665.0440999999998
Same Day,Corporate,Technology,Machines,-1444.8526999999995
Same Day,Home Office,Technology,Machines,218.57940000000002
Second Class,Consumer,Technology,Machines,3376.5764999999988
Second Class,Corporate,Technology,Machines,-1401.9372000000005
Second Class,Home Office,Technology,Machines,182.3906
Standard Class,Consumer,Technology,Machines,764.2285999999924
Standard Class,Corporate,Technology,Machines,1881.3136999999997
Standard Class,Home Office,Technology,Machines,-253.08710000000391
First Class,Consumer,Office Supplies,Paper,2109.1357
First Class,Corporate,Office Supplies,Paper,1998.0164999999993
First Class,Home Office,Office Supplies,Paper,812.1469
Same Day,Consumer,Office Supplies,Paper,937.5067999999995
Same Day,Corporate,Office Supplies,Paper,192.8368
Same Day,Home Office,Office Supplies,Paper,958.0793000000001
Second Class,Consumer,Office Supplies,Paper,3159.595500000002
Second Class,Corporate,Office Supplies,Paper,1949.4214000000004
Second Class,Home Office,Office Supplies,Paper,2458.0118999999995
Standard Class,Consumer,Office Supplies,Paper,9328.405599999995
Standard Class,Corporate,Office Supplies,Paper,6221.272099999997
Standard Class,Home Office,Office Supplies,Paper,3929.140800000001
First Class,Consumer,Office Supplies,Binders,685.5684999999958
First Class,Corporate,Office Supplies,Binders,1134.582899999999
First Class,Home Office,Office Supplies,Binders,2307.991099999999
Same Day,Consumer,Office Supplies,Binders,953.7576999999992
Same Day,Corporate,Office Supplies,Binders,146.34969999999993
Same Day,Home Office,Office Supplies,Binders,40.1747
Second Class,Consumer,Office Supplies,Binders,2475.871700000003
Second Class,Corporate,Office Supplies,Binders,503.29669999999953
Second Class,Home Office,Office Supplies,Binders,2482.1736
Standard Class,Consumer,Office Supplies,Binders,13880.399300000001
Standard Class,Corporate,Office Supplies,Binders,4593.090799999998
Standard Class,Home Office,Office Supplies,Binders,1018.5066000000052
First Class,Consumer,Office Supplies,Storage,1095.8140999999996
First Class,Corporate,Office Supplies,Storage,1455.5375999999999
First Class,Home Office,Office Supplies,Storage,460.83200000000005
Same Day,Consumer,Office Supplies,Storage,283.37799999999993
Same Day,Corporate,Office Supplies,Storage,314.06110000000007
Same Day,Home Office,Office Supplies,Storage,382.8369999999999
Second Class,Consumer,Office Supplies,Storage,2094.0141000000003
Second Class,Corporate,Office Supplies,Storage,2792.384
Second Class,Home Office,Office Supplies,Storage,547.9151000000002
Standard Class,Consumer,Office Supplies,Storage,3630.9941999999987
Standard Class,Corporate,Office Supplies,Storage,4569.041999999998
Standard Class,Home Office,Office Supplies,Storage,3652.0172000000007
First Class,Consumer,Office Supplies,Appliances,2318.5741
First Class,Corporate,Office Supplies,Appliances,1077.557
First Class,Home Office,Office Supplies,Appliances,147.7299999999999
Same Day,Consumer,Office Supplies,Appliances,805.4432999999998
Same Day,Corporate,Office Supplies,Appliances,363.823
Same Day,Home Office,Office Supplies,Appliances,-77.60860000000014
Second Class,Consumer,Office Supplies,Appliances,705.7446000000006
Second Class,Corporate,Office Supplies,Appliances,2576.5246999999995
Second Class,Home Office,Office Supplies,Appliances,1624.4263999999998
Standard Class,Consumer,Office Supplies,Appliances,3152.1661999999997
Standard Class,Corporate,Office Supplies,Appliances,3411.9904999999994
