0,1,Sum(financials. Sales),Sum(financials.Profit)
[object Object],[object Object],11140926.28,866326.78
[object Object],[object Object],8657237.66,911261.16
[object Object],[object Object],5865834.735,535982.735
[object Object],[object Object],4878794.36,424957.36
[object Object],[object Object],6829693.69,650338.69
[object Object],[object Object],6273404.135,1147004.135
[object Object],[object Object],6537899.37,1140580.37
[object Object],[object Object],5913163.185,1061776.185
[object Object],[object Object],10316608.08,1847355.08
[object Object],[object Object],5588703.93,992141.93
[object Object],[object Object],7168350.75,912328.75
[object Object],[object Object],7865428.355,1093780.855
[object Object],[object Object],10057889.36,1619256.86
[object Object],[object Object],5824029.88,823095.88
[object Object],[object Object],7864732.49,1131060.49
[object Object],[object Object],447149,69881
[object Object],[object Object],1827089.5,383606.5
[object Object],[object Object],2517285,564005
[object Object],[object Object],2485908.5,584980.5
[object Object],[object Object],666222,133982
