Country,Group 1,Year,Value Column Name,Value
"Japan","DemoGroup","2017","BU","306000"
"Japan","DemoGroup","2018","BU","408000"
"Japan","Custom Group All","2019","BU","315000"
"Australia","DemoGroup","2017","BU","316000"
"Australia","DemoGroup","2018","BU","300000"
"Australia","Custom Group All","2019","BU","390000"
"Brazil","DemoGroup","2017","BU","379000"
"Brazil","DemoGroup","2018","BU","323000"
"Brazil","Custom Group All","2019","BU","276000"
"China","DemoGroup","2017","BU","317000"
"China","DemoGroup","2018","BU","290000"
"China","Custom Group All","2019","BU","305000"
"Other","DemoGroup","2017","BU","348000"
"Other","DemoGroup","2018","BU","306000"
"Other","Custom Group All","2019","BU","246000"
"USA","DemoGroup","2017","BU","362000"
"USA","DemoGroup","2018","BU","317000"
"USA","Custom Group All","2019","BU","208000"
"Sweden","DemoGroup","2017","BU","328000"
"Sweden","DemoGroup","2018","BU","180000"
"Sweden","Custom Group All","2019","BU","298000"
"Canada","DemoGroup","2017","BU","242000"
"Canada","DemoGroup","2018","BU","237000"
"Canada","Custom Group All","2019","BU","277000"
"France","DemoGroup","2017","BU","221000"
"France","DemoGroup","2018","BU","153000"
"France","Custom Group All","2019","BU","242000"
"Belgium","DemoGroup","2017","BU","176000"
"Belgium","DemoGroup","2018","BU","147000"
"Belgium","Custom Group All","2019","BU","203000"
"Germany","DemoGroup","2017","BU","194000"
"Germany","DemoGroup","2018","BU","118000"
"Germany","Custom Group All","2019","BU","199000"
"Poland","DemoGroup","2017","BU","144000"
"Poland","DemoGroup","2018","BU","136000"
"Poland","Custom Group All","2019","BU","228000"
