Superstore 2023.Region,Superstore 2023.Category,Superstore 2023.Sub-Category,Min(Superstore 2023.Ship Date),Sum(Superstore 2023.Sales),Min(Superstore 2023.Order Date)
Central,Office Supplies,Art,2018-01-12T18:30:00.000Z,5765.34,2020-01-08T18:30:00.000Z
East,Office Supplies,Art,2018-01-11T18:30:00.000Z,7485.764,2020-01-04T18:30:00.000Z
South,Office Supplies,Art,2018-01-06T18:30:00.000Z,4655.622,2020-01-05T18:30:00.000Z
West,Office Supplies,Art,2018-01-17T18:30:00.000Z,9212.066,2020-01-12T18:30:00.000Z
Central,Office Supplies,Paper,2018-01-06T18:30:00.000Z,17491.902,2020-01-02T18:30:00.000Z
East,Office Supplies,Paper,2018-01-17T18:30:00.000Z,20172.602,2020-01-12T18:30:00.000Z
South,Office Supplies,Paper,2018-01-09T18:30:00.000Z,14150.984,2020-01-05T18:30:00.000Z
West,Office Supplies,Paper,2018-01-07T18:30:00.000Z,26663.718,2020-01-05T18:30:00.000Z
Central,Office Supplies,Binders,2018-01-07T18:30:00.000Z,56923.282,2020-01-03T18:30:00.000Z
East,Office Supplies,Binders,2018-01-17T18:30:00.000Z,53497.997,2020-01-12T18:30:00.000Z
South,Office Supplies,Binders,2018-01-09T18:30:00.000Z,37030.341,2020-01-05T18:30:00.000Z
West,Office Supplies,Binders,2018-01-19T18:30:00.000Z,55961.113,2020-01-18T18:30:00.000Z
Central,Office Supplies,Labels,2018-01-07T18:30:00.000Z,2451.472,2020-01-03T18:30:00.000Z
East,Office Supplies,Labels,2018-01-17T18:30:00.000Z,2602.934,2020-01-15T18:30:00.000Z
South,Office Supplies,Labels,2018-01-14T18:30:00.000Z,2353.18,2020-01-09T18:30:00.000Z
West,Office Supplies,Labels,2018-03-29T18:30:00.000Z,5078.726,2020-03-25T18:30:00.000Z
Central,Office Supplies,Storage,2018-01-07T18:30:00.000Z,45930.112,2020-01-03T18:30:00.000Z
East,Office Supplies,Storage,2018-02-09T18:30:00.000Z,71612.584,2020-02-06T18:30:00.000Z
South,Office Supplies,Storage,2018-01-14T18:30:00.000Z,35768.06,2020-01-12T18:30:00.000Z
West,Office Supplies,Storage,2018-01-17T18:30:00.000Z,70532.852,2020-01-12T18:30:00.000Z
Central,Office Supplies,Fasteners,2018-01-26T18:30:00.000Z,778.03,2020-01-22T18:30:00.000Z
East,Office Supplies,Fasteners,2018-03-15T18:30:00.000Z,819.718,2020-03-10T18:30:00.000Z
South,Office Supplies,Fasteners,2018-01-09T18:30:00.000Z,503.316,2020-01-05T18:30:00.000Z
West,Office Supplies,Fasteners,2018-02-05T18:30:00.000Z,923.216,2020-02-01T18:30:00.000Z
Central,Office Supplies,Envelopes,2018-03-31T18:30:00.000Z,4636.872,2020-03-27T18:30:00.000Z
East,Office Supplies,Envelopes,2018-03-07T18:30:00.000Z,4375.874,2020-03-01T18:30:00.000Z
South,Office Supplies,Envelopes,2018-01-14T18:30:00.000Z,3345.556,2020-01-12T18:30:00.000Z
West,Office Supplies,Envelopes,2018-01-19T18:30:00.000Z,4118.1,2020-01-18T18:30:00.000Z
Central,Office Supplies,Appliances,2018-01-25T18:30:00.000Z,23582.033,2020-01-19T18:30:00.000Z
East,Office Supplies,Appliances,2018-05-01T18:30:00.000Z,34188.466,2020-05-01T18:30:00.000Z
South,Office Supplies,Appliances,2018-03-12T18:30:00.000Z,19525.326,2020-03-10T18:30:00.000Z
West,Office Supplies,Appliances,2018-01-20T18:30:00.000Z,30236.336,2020-01-17T18:30:00.000Z
Central,Office Supplies,Supplies,2018-09-18T18:30:00.000Z,9467.372,2020-09-11T18:30:00.000Z
East,Office Supplies,Supplies,2018-03-07T18:30:00.000Z,10760.116,2020-03-04T18:30:00.000Z
South,Office Supplies,Supplies,2018-04-08T18:30:00.000Z,8318.928,2020-04-04T18:30:00.000Z
