Acme - Accounts Master.Level 3 Description,Acme - Accounts Master.Level 2 Description,Acme - Accounts Master.Level 1 Description,Acme - Accounts Master.Level 0 Description,Acme - Category Master.Category,Acme - Values.2019 Actuals,Acme - Values.2020 Actuals
Raw Materials,Cost of Goods Sold,Gross Profit,Operating Profit,Beverages,-1928641130.6699998,-1967378070.5300004
Labor,Cost of Goods Sold,Gross Profit,Operating Profit,Beverages,-1039958169.3400002,-1050655511.3300005
Purchase Price Variance,Cost of Goods Sold,Gross Profit,Operating Profit,Beverages,-251988.94999999998,-514842.85000000003
Other Direct Costs,Cost of Goods Sold,Gross Profit,Operating Profit,Beverages,-2890882.729999997,-1921066.929999999
Freight,Cost of Goods Sold,Gross Profit,Operating Profit,Beverages,-5486947.15,-5774506.040000006
Gross Revenue,Net Revenue,Gross Profit,Operating Profit,Beverages,5929468476.3899975,6055478047.4699955
Discounts,Net Revenue,Gross Profit,Operating Profit,Beverages,-508749357.4800003,-525534049.82999986
(Blank),IT Expenses,Operating Expenses,Operating Profit,Beverages,-137332012.53,-138934356.22
(Blank),Other Expenses,Operating Expenses,Operating Profit,Beverages,-187090390.85999995,-191363954.0800001
Salaries,Personnel Costs,Operating Expenses,Operating Profit,Beverages,-365260055.5600002,-373413163.8699997
Wages,Personnel Costs,Operating Expenses,Operating Profit,Beverages,-218437488.41000006,-227544973.11
Bonus,Personnel Costs,Operating Expenses,Operating Profit,Beverages,-66061877.72000003,-65022300.459999986
Benefits,Personnel Costs,Operating Expenses,Operating Profit,Beverages,-27213987.769999962,-27027928.05999999
Training,Personnel Costs,Operating Expenses,Operating Profit,Beverages,-43936602.21000001,-37627977.43999999
Recruiting,Personnel Costs,Operating Expenses,Operating Profit,Beverages,-36507673.070000015,-31324159.959999997
Equipment,Personnel Costs,Operating Expenses,Operating Profit,Beverages,-27048142.32000001,-23227162.42000001
Computer,Personnel Costs,Operating Expenses,Operating Profit,Beverages,-20039995.220000006,-17463738.199999984
Tuition,Personnel Costs,Operating Expenses,Operating Profit,Beverages,-15779477,-15626045.640000014
Marketing Expenses,Sales and Marketing,Operating Expenses,Operating Profit,Beverages,-273611910.91,-282932815.61
Sales Expenses,Sales and Marketing,Operating Expenses,Operating Profit,Beverages,-249781843.98999986,-270289241.8400001
Raw Materials,Cost of Goods Sold,Gross Profit,Operating Profit,Water,-196454365.8299999,-191308086.31000003
Labor,Cost of Goods Sold,Gross Profit,Operating Profit,Water,-176359495.2599999,-168502352.26999998
Purchase Price Variance,Cost of Goods Sold,Gross Profit,Operating Profit,Water,-108440.46999999958,46431.66000000003
Other Direct Costs,Cost of Goods Sold,Gross Profit,Operating Profit,Water,-174697.22999999998,-218756.51
Freight,Cost of Goods Sold,Gross Profit,Operating Profit,Water,-235148.09999999992,-299217.46000000025
Gross Revenue,Net Revenue,Gross Profit,Operating Profit,Water,943005669.5399996,930406042.8000008
Discounts,Net Revenue,Gross Profit,Operating Profit,Water,-65513522.71000005,-62074062.06
(Blank),IT Expenses,Operating Expenses,Operating Profit,Water,-16004761.199999992,-15611185.74
(Blank),Other Expenses,Operating Expenses,Operating Profit,Water,-17256161.499999993,-16845259.02
Salaries,Personnel Costs,Operating Expenses,Operating Profit,Water,-57155851.76999998,-56285610.11999997
Wages,Personnel Costs,Operating Expenses,Operating Profit,Water,-33593889.620000005,-32405661.470000003
Bonus,Personnel Costs,Operating Expenses,Operating Profit,Water,-7671948.26,-7505301.800000001
Benefits,Personnel Costs,Operating Expenses,Operating Profit,Water,-1974929.0500000003,-1914117.9300000004
Training,Personnel Costs,Operating Expenses,Operating Profit,Water,-5957248.369999998,-4885677.109999998
Recruiting,Personnel Costs,Operating Expenses,Operating Profit,Water,-5058687.410000001,-4180427.1100000003
Equipment,Personnel Costs,Operating Expenses,Operating Profit,Water,-3920787.839999997,-3250743.4999999986
Computer,Personnel Costs,Operating Expenses,Operating Profit,Water,-3207035.7900000005,-2736028.8100000005
Tuition,Personnel Costs,Operating Expenses,Operating Profit,Water,-1429279.040000001,-1367669.7300000002
Marketing Expenses,Sales and Marketing,Operating Expenses,Operating Profit,Water,-38887152.75000003,-38560478.190000005
Sales Expenses,Sales and Marketing,Operating Expenses,Operating Profit,Water,-20792966.560000002,-23063162.229999993
