Orders.Order Date.Variation.Date Hierarchy.Year,Orders.Segment,Orders.Category,Orders.Sub-Category,Sum(Orders.Profit),Sum(Orders.Quantity),Sum(Orders.Sales)
2014,Consumer,Furniture,Bookcases,-654.3065,74,10154.1301
2015,Consumer,Furniture,Bookcases,-3301.0421,146,23022.8888
2016,Consumer,Furniture,Bookcases,-159.8028,116,17150.0812
2017,Consumer,Furniture,Bookcases,-320.4868,160,18305.6289
2014,Consumer,Furniture,Chairs,3488.9716,280,44205.439
2015,Consumer,Furniture,Chairs,3873.0676,289,37882.881
2016,Consumer,Furniture,Chairs,2673.3309,332,40157.441
2017,Consumer,Furniture,Chairs,3199.9618,333,50616.981
2014,Consumer,Furniture,Furnishings,820.8868,360,7778.208
2015,Consumer,Furniture,Furnishings,1560.1336,369,10762.532
2016,Consumer,Furniture,Furnishings,3375.1844,542,17460.06
2017,Consumer,Furniture,Furnishings,2163.2179,563,13619.246
2014,Consumer,Furniture,Tables,-2019.7348,148,23923.1965
2015,Consumer,Furniture,Tables,-3454.2743,139,22741.6265
2016,Consumer,Furniture,Tables,-1283.6556,152,25593.3
2017,Consumer,Furniture,Tables,-2970.3731,163,27675.672
2014,Consumer,Office Supplies,Appliances,454.4117,161,6671.572
2015,Consumer,Office Supplies,Appliances,527.7272,205,13426.144
2016,Consumer,Office Supplies,Appliances,2556.5046,167,10840.815
2017,Consumer,Office Supplies,Appliances,3443.2847,375,21881.05
2014,Consumer,Office Supplies,Art,698.2742,342,2829.398
2015,Consumer,Office Supplies,Art,726.6954,311,3006.248
2016,Consumer,Office Supplies,Art,807.6007,356,3586.424
2017,Consumer,Office Supplies,Art,1221.7308,616,4829.86
2014,Consumer,Office Supplies,Binders,2320.7134,598,30153.234
2015,Consumer,Office Supplies,Binders,5387.5955,634,24886.48
2016,Consumer,Office Supplies,Binders,5297.0996,807,25712.32
2017,Consumer,Office Supplies,Binders,4990.1887,976,37408.975
2014,Consumer,Office Supplies,Envelopes,828.2824,115,2171.074
2015,Consumer,Office Supplies,Envelopes,813.601,100,1794.222
2016,Consumer,Office Supplies,Envelopes,960.4106,130,2241.792
2017,Consumer,Office Supplies,Envelopes,662.1186,97,1564.058
2014,Consumer,Office Supplies,Fasteners,100.8166,99,314.89
2015,Consumer,Office Supplies,Fasteners,128.3949,98,358.76
2016,Consumer,Office Supplies,Fasteners,140.9618,130,486.604
2017,Consumer,Office Supplies,Fasteners,206.6275,146,520.688
2014,Consumer,Office Supplies,Labels,466.3034,136,1020.884
2015,Consumer,Office Supplies,Labels,807.2525,140,1707.088
2016,Consumer,Office Supplies,Labels,621.8903,193,1374.804
2017,Consumer,Office Supplies,Labels,1180.5422,246,2606.486
2014,Consumer,Office Supplies,Paper,2886.0968,527,7114.968
2015,Consumer,Office Supplies,Paper,3191.0959,544,7455.252
2016,Consumer,Office Supplies,Paper,4097.7945,634,9267.642
2017,Consumer,Office Supplies,Paper,5359.6564,897,12486.506
2014,Consumer,Office Supplies,Storage,1492.5353,361,25226.216
2015,Consumer,Office Supplies,Storage,1275.6261,374,25509.884
2016,Consumer,Office Supplies,Storage,2735.2196,430,26422.486
2017,Consumer,Office Supplies,Storage,1600.8194,454,23333.816
2014,Consumer,Office Supplies,Supplies,347.0746,78,8924.508
2015,Consumer,Office Supplies,Supplies,-65.4833,71,1591.73
2016,Consumer,Office Supplies,Supplies,-867.6264,95,6336.442
2017,Consumer,Office Supplies,Supplies,-1071.5162,115,8888.816
2014,Consumer,Technology,Accessories,3056.8097,336,14298.612
2015,Consumer,Technology,Accessories,6609.3057,367,26398.866
2016,Consumer,Technology,Accessories,5305.1464,327,23461.296
2017,Consumer,Technology,Accessories,5764.6607,548,22946.464
2014,Consumer,Technology,Copiers,2502.9528,25,9579.816
2015,Consumer,Technology,Copiers,3417.9165,33,10599.732
2016,Consumer,Technology,Copiers,4745.9083,35,19719.724
2017,Consumer,Technology,Copiers,13416.933,24,29919.798
2014,Consumer,Technology,Machines,753.1883,54,25339.603
2015,Consumer,Technology,Machines,424.4205,62,16711.369
2016,Consumer,Technology,Machines,697.9973,70,33714.176
2017,Consumer,Technology,Machines,265.4557,31,3777.677
2014,Consumer,Technology,Phones,6776.5741,359,46391.064
2015,Consumer,Technology,Phones,6538.1338,390,38680.23
2016,Consumer,Technology,Phones,4066.989,398,33338.492
2017,Consumer,Technology,Phones,6455.4178,538,51522.978
2014,Corporate,Furniture,Bookcases,234.466,54,7021.6677
2015,Corporate,Furniture,Bookcases,603.1327,64,11145.5229
2016,Corporate,Furniture,Bookcases,235.4828,57,7287.2963
2017,Corporate,Furniture,Bookcases,-434.6313,96,8551.4374
2014,Corporate,Furniture,Chairs,1464.3076,158,17994.979
2015,Corporate,Furniture,Chairs,821.2735,136,18331.227
2016,Corporate,Furniture,Chairs,2501.274,218,34446.231
2017,Corporate,Furniture,Chairs,3557.8014,207,28368.441
2014,Corporate,Furniture,Furnishings,671.9907,182,4182.498
2015,Corporate,Furniture,Furnishings,1204.1292,277,6708.414
2016,Corporate,Furniture,Furnishings,642.9664,300,6100.132
2017,Corporate,Furniture,Furnishings,989.1214,327,8010.222
2014,Corporate,Furniture,Tables,-2009.4643,93,15901.13
2015,Corporate,Furniture,Tables,337.7725,56,9775.922
2016,Corporate,Furniture,Tables,-210.1193,157,29427.6815
2017,Corporate,Furniture,Tables,-3024.6875,113,15766.984
2014,Corporate,Office Supplies,Appliances,1122.7072,107,5598.986
2015,Corporate,Office Supplies,Appliances,1049.8988,85,4343.767
2016,Corporate,Office Supplies,Appliances,1328.3422,163,8396.302
2017,Corporate,Office Supplies,Appliances,3928.947,214,18249.628
2014,Corporate,Office Supplies,Art,516.8922,186,2430.342
2015,Corporate,Office Supplies,Art,476.2578,180,2096.928
2016,Corporate,Office Supplies,Art,392.1102,205,1533.258
2017,Corporate,Office Supplies,Art,619.3875,279,2529.92
2014,Corporate,Office Supplies,Binders,1849.1155,323,9812.921
2015,Corporate,Office Supplies,Binders,-198.659,381,6643.09
2016,Corporate,Office Supplies,Binders,1798.7978,498,9719.207
2017,Corporate,Office Supplies,Binders,2928.0658,646,25385.095
2014,Corporate,Office Supplies,Envelopes,460.9262,65,1150.682
2015,Corporate,Office Supplies,Envelopes,829.1291,97,1934.016
2016,Corporate,Office Supplies,Envelopes,713.6066,63,1574.068
2017,Corporate,Office Supplies,Envelopes,567.5671,98,1283.904
2014,Corporate,Office Supplies,Fasteners,66.9539,67,195.708
2015,Corporate,Office Supplies,Fasteners,26.8451,57,132.836
2016,Corporate,Office Supplies,Fasteners,87.9109,87,244.34
2017,Corporate,Office Supplies,Fasteners,70.1931,62,210.406
2014,Corporate,Office Supplies,Labels,664.364,121,1441.896
2015,Corporate,Office Supplies,Labels,409.2418,96,976.588
2016,Corporate,Office Supplies,Labels,361.1175,74,952.462
2017,Corporate,Office Supplies,Labels,326.104,107,730.7
2014,Corporate,Office Supplies,Paper,2540.9588,319,5617.796
2015,Corporate,Office Supplies,Paper,2107.482,331,4869.076
2016,Corporate,Office Supplies,Paper,2237.9754,412,5213.752
2017,Corporate,Office Supplies,Paper,3475.1306,493,8182.506
2014,Corporate,Office Supplies,Storage,1663.9596,233,17624.338
2015,Corporate,Office Supplies,Storage,1830.0293,207,13692.678
2016,Corporate,Office Supplies,Storage,1724.5605,236,19242.26
2017,Corporate,Office Supplies,Storage,3912.4753,324,29231.722
2014,Corporate,Office Supplies,Supplies,132.215,38,5065.596
2015,Corporate,Office Supplies,Supplies,34.2245,21,212.184
2016,Corporate,Office Supplies,Supplies,92.7701,83,7355.6
2017,Corporate,Office Supplies,Supplies,79.7168,60,6801.904
2014,Corporate,Technology,Accessories,1659.5959,159,5241.546
2015,Corporate,Technology,Accessories,1653.4917,149,6159.01
2016,Corporate,Technology,Accessories,3473.833,219,12668.638
2017,Corporate,Technology,Accessories,5920.5599,354,24121.37
2014,Corporate,Technology,Copiers,134.9955,3,719.976
2015,Corporate,Technology,Copiers,5537.4013,25,13229.764
2016,Corporate,Technology,Copiers,9954.9425,20,22979.826
2017,Corporate,Technology,Copiers,3362.9396,22,9899.82
2014,Corporate,Technology,Machines,-1154.6373,23,7307.142
2015,Corporate,Technology,Machines,1301.2891,28,8129.898
2016,Corporate,Technology,Machines,2724.7441,45,17020.386
2017,Corporate,Technology,Machines,-2168.3769,45,27819.329
2014,Corporate,Technology,Phones,3493.9304,200,21127.67
2015,Corporate,Technology,Phones,2665.3854,223,20376.386
2016,Corporate,Technology,Phones,2934.8543,269,22944.922
2017,Corporate,Technology,Phones,2672.0495,311,26704.436
2014,Home Office,Furniture,Bookcases,73.6698,25,2860.8798
2015,Home Office,Furniture,Bookcases,-57.3208,32,4375.1608
2016,Home Office,Furniture,Bookcases,136.791,24,1838.089
2017,Home Office,Furniture,Bookcases,171.492,20,3167.2134
2014,Home Office,Furniture,Chairs,2001.7678,102,15041.158
2015,Home Office,Furniture,Chairs,1534.075,103,15520.421
2016,Home Office,Furniture,Chairs,588.549,64,9314.973
