Table5.Year,Table5.Country,Sum(Table5.AC)
2017,USA,359000
2018,USA,275000
2019,USA,321000
2017,Brazil,233000
2018,Brazil,280000
2019,Brazil,367000
2017,Canada,239000
2018,Canada,279000
2019,Canada,236000
2017,Other,289000
2018,Other,186000
2019,Other,277000
2017,Australia,304000
2018,Australia,335000
2019,Australia,80000
2017,Japan,206000
2018,Japan,249000
2019,Japan,229000
2017,China,244000
2018,China,287000
2019,China,145000
2017,Poland,103000
2018,Poland,180000
2019,Poland,239000
2017,Sweden,176000
2018,Sweden,
2019,Sweden,340000
2017,Belgium,88000
2018,Belgium,198000
2019,Belgium,227000
2017,Germany,107000
2018,Germany,91000
2019,Germany,219000
2017,France,118000
2018,France,0
2019,France,175000
