Quarter,Year,Brand Name,Color,YoY Sales,Units
Q1,2013,Contoso,Black,41654,333
Q2,2013,Contoso,Black,34676,327
Q3,2013,Contoso,Black,97243,537
Q4,2013,Contoso,Black,131236,839
Q1,2014,Contoso,Black,82481,586
Q2,2014,Contoso,Black,41347,455
Q3,2014,Contoso,Black,50798,993
Q4,2014,Contoso,Black,22734,1116
Q1,2015,Contoso,Black,-17934,646
Q2,2015,Contoso,Black,-45162,325
Q3,2015,Contoso,Black,-88882,597
Q4,2015,Contoso,Black,-114079,728
Q1,2013,Contoso,Silver,91169,229
Q2,2013,Contoso,Silver,16236,136
Q3,2013,Contoso,Silver,89720,304
Q4,2013,Contoso,Silver,132176,460
Q1,2014,Contoso,Silver,55155,371
Q2,2014,Contoso,Silver,70300,303
Q3,2014,Contoso,Silver,53033,558
Q4,2014,Contoso,Silver,103660,768
Q1,2015,Contoso,Silver,-33867,362
Q2,2015,Contoso,Silver,-55727,188
Q3,2015,Contoso,Silver,-12053,499
Q4,2015,Contoso,Silver,-140830,482
Q1,2013,Contoso,Blue,2198,71
Q2,2013,Contoso,Blue,2458,70
Q3,2013,Contoso,Blue,5900,149
Q4,2013,Contoso,Blue,36923,198
Q1,2014,Contoso,Blue,28564,183
Q2,2014,Contoso,Blue,37892,116
Q3,2014,Contoso,Blue,54542,238
Q4,2014,Contoso,Blue,59651,281
Q1,2015,Contoso,Blue,31741,174
Q2,2015,Contoso,Blue,-14091,58
Q3,2015,Contoso,Blue,-3960,163
Q4,2015,Contoso,Blue,-33206,201
Q1,2013,Contoso,Red,1910,11
Q2,2013,Contoso,Red,3520,25
Q3,2013,Contoso,Red,2168,17
Q4,2013,Contoso,Red,13954,67
Q1,2014,Contoso,Red,28420,91
Q2,2014,Contoso,Red,32140,63
Q3,2014,Contoso,Red,66012,163
Q4,2014,Contoso,Red,90087,200
Q1,2015,Contoso,Red,28588,138
Q2,2015,Contoso,Red,10655,71
Q3,2015,Contoso,Red,2304,95
Q4,2015,Contoso,Red,-25091,182
Q1,2013,Contoso,Brown,20544,60
Q2,2013,Contoso,Brown,7590,48
Q3,2013,Contoso,Brown,38796,134
Q4,2013,Contoso,Brown,44990,149
Q1,2014,Contoso,Brown,9250,85
Q2,2014,Contoso,Brown,2220,48
Q3,2014,Contoso,Brown,-23036,56
Q4,2014,Contoso,Brown,-15084,128
Q1,2015,Contoso,Brown,-9943,57
Q2,2015,Contoso,Brown,-12928,27
Q3,2015,Contoso,Brown,1035,44
Q4,2015,Contoso,Brown,-16947,77
Q1,2013,Contoso,Silver Grey,,
Q2,2013,Contoso,Silver Grey,,
Q3,2013,Contoso,Silver Grey,,
Q4,2013,Contoso,Silver Grey,,
Q1,2014,Contoso,Silver Grey,6397,12
Q2,2014,Contoso,Silver Grey,5758,13
Q3,2014,Contoso,Silver Grey,9340,20
Q4,2014,Contoso,Silver Grey,5182,10
Q1,2015,Contoso,Silver Grey,-3024,7
Q2,2015,Contoso,Silver Grey,-1066,12
Q3,2015,Contoso,Silver Grey,-3136,13
Q4,2015,Contoso,Silver Grey,2184,15
Q1,2013,Adventure Works,Black,71085,170
Q2,2013,Adventure Works,Black,72639,140
Q3,2013,Adventure Works,Black,104717,308
Q4,2013,Adventure Works,Black,166947,486
Q1,2014,Adventure Works,Black,52377,278
Q2,2014,Adventure Works,Black,-15098,146
Q3,2014,Adventure Works,Black,-25280,295
Q4,2014,Adventure Works,Black,-20582,469
Q1,2015,Adventure Works,Black,-30594,226
Q2,2015,Adventure Works,Black,-27469,83
Q3,2015,Adventure Works,Black,-31704,218
