Orders.Ship Mode,Orders.Segment,Orders.Category,Orders.Region,Sum(Orders.Profit),CountNonNull(Orders.Row ID),Sum(Orders.Sales)
First Class,Consumer,Technology,East,698.2641999999993,52,22843.346
Same Day,Consumer,Technology,East,3000.7087,17,9788.284
Second Class,Consumer,Technology,East,2459.3775,58,15939.067999999997
Standard Class,Consumer,Technology,East,13771.828999999996,151,86870.53100000003
First Class,Corporate,Technology,East,504.51859999999994,18,6121.297
Same Day,Corporate,Technology,East,2511.7070999999996,11,10490.381000000001
Second Class,Corporate,Technology,East,955.3315999999999,20,7477.968000000001
Standard Class,Corporate,Technology,East,5851.230899999997,110,45635.920000000006
First Class,Home Office,Technology,East,6036.2875,21,18728.670000000002
Same Day,Home Office,Technology,East,322.15639999999996,3,1070.8000000000002
Second Class,Home Office,Technology,East,968.9622000000002,16,5887.454
Standard Class,Home Office,Technology,East,10381.661400000003,58,34120.26199999998
First Class,Consumer,Technology,West,8768.763300000002,46,27251.099000000006
Same Day,Consumer,Technology,West,2219.3432,15,7911.084000000002
Second Class,Consumer,Technology,West,5106.633,57,24914.024
Standard Class,Consumer,Technology,West,11690.8286,184,72915.53900000005
First Class,Corporate,Technology,West,3221.309899999999,35,17640.4
Same Day,Corporate,Technology,West,1195.6606,4,5545.192000000001
Second Class,Corporate,Technology,West,1572.0102999999997,42,9500.932000000003
Standard Class,Corporate,Technology,West,5952.082399999998,110,32954.787999999986
First Class,Home Office,Technology,West,1822.9977999999999,26,16216.490000000002
Same Day,Home Office,Technology,West,1144.0503,12,5761.778000000001
Second Class,Home Office,Technology,West,555.898,13,4196.024
Standard Class,Home Office,Technology,West,1054.0722000000005,55,27184.482000000007
First Class,Consumer,Technology,Central,1313.2515999999996,29,7258.822000000002
Same Day,Consumer,Technology,Central,620.4937999999997,14,3110.1560000000004
Second Class,Consumer,Technology,Central,1792.1987000000004,40,12179.954000000002
Standard Class,Consumer,Technology,Central,6249.394999999994,135,50141.80399999999
First Class,Corporate,Technology,Central,1431.377899999999,21,7622.236000000002
Same Day,Corporate,Technology,Central,,,
Second Class,Corporate,Technology,Central,374.8217999999988,35,12918.799999999997
Standard Class,Corporate,Technology,Central,14476.413599999998,63,44231.47400000002
First Class,Home Office,Technology,Central,693.4754,11,3438.0280000000002
Same Day,Home Office,Technology,Central,712.0715,4,2644.25
Second Class,Home Office,Technology,Central,2428.4595,25,12956.875000000002
Standard Class,Home Office,Technology,Central,3605.4731999999985,43,13913.912999999997
First Class,Consumer,Technology,South,780.4703,22,3736.167000000001
Same Day,Consumer,Technology,South,422.09889999999996,12,4455.372
Second Class,Consumer,Technology,South,5071.9673,26,19909.558
Standard Class,Consumer,Technology,South,6832.1865,93,37175.089
First Class,Corporate,Technology,South,2078.0278000000003,16,7817.729999999998
Same Day,Corporate,Technology,South,-3714.002999999999,2,8299.949999999999
Second Class,Corporate,Technology,South,3917.8230999999996,19,12014.861999999997
Standard Class,Corporate,Technology,South,3838.6853999999994,48,18178.189
First Class,Home Office,Technology,South,153.8191,4,691.306
Same Day,Home Office,Technology,South,236.6038,4,1046.6180000000002
Second Class,Home Office,Technology,South,948.7233999999999,15,4326.023000000001
Standard Class,Home Office,Technology,South,-574.5712000000026,32,31121.044
First Class,Consumer,Furniture,West,80.5809999999993,53,14891.392999999998
Same Day,Consumer,Furniture,West,452.1625999999998,19,4637.009
Second Class,Consumer,Furniture,West,1575.4008000000003,77,29787.329499999996
Standard Class,Consumer,Furniture,West,2222.523599999995,226,70492.35549999998
First Class,Corporate,Furniture,West,630.2280999999997,39,16165.127499999999
Same Day,Corporate,Furniture,West,-13.03600000000013,12,5673.023999999999
Second Class,Corporate,Furniture,West,848.2787999999996,39,10859.757000000001
Standard Class,Corporate,Furniture,West,2503.1949999999983,120,50382.19799999998
First Class,Home Office,Furniture,West,278.74170000000004,23,8962.309
Same Day,Home Office,Furniture,West,369.03949999999975,12,4217.945000000001
Second Class,Home Office,Furniture,West,1720.769199999999,23,13508.569000000001
