financials.Product,financials.Discount Band,financials.Country,Sum(financials.Gross Sales),Sum(financials. Sales),Sum(financials.COGS)
Amarilla,High,United States of America,1565635.5,1389351.7049999998,1301472
Amarilla,Low,United States of America,58653,57517.32,25037
Amarilla,Medium,United States of America,1436889,1323894.38,1097835
Amarilla,None,United States of America,66354,66354,24147
Carretera,High,United States of America,832656.5,733882.4199999999,725198
Carretera,Low,United States of America,200513,195163.59000000003,134900
Carretera,Medium,United States of America,972281,910793.54,741250
Montana,High,United States of America,1435434,1280259.7899999998,1113190
Montana,Low,United States of America,1567599,1551472.77,1298396
Montana,Medium,United States of America,861316,803169.24,791869
Montana,None,United States of America,9225,9225,6150
Paseo,High,United States of America,2310862.5,2002018.145,1770074.5
Paseo,Low,United States of America,3299621.5,3199430.3549999995,2602952
Paseo,Medium,United States of America,1836810,1723932.27,1542245
Paseo,None,United States of America,18945,18945,8451
Velo,High,United States of America,3082688,2683116.5,2589142
Velo,Low,United States of America,146495,143747.85,106975
Velo,Medium,United States of America,1191863,1119338.65,998790
Velo,None,United States of America,352625,352625,338520
VTT,High,United States of America,3455995,3052297.72,2775523
VTT,Low,United States of America,1159325,1126072.25,958140
VTT,Medium,United States of America,1407572,1287222.67,1084033
Amarilla,High,Canada,1625886,1444328.95,1237244.5
Amarilla,Low,Canada,1197100,1160712,941280
Amarilla,Medium,Canada,1341697.5,1250724.925,1030380
Carretera,High,Canada,1195329,1039459.46,975201
Carretera,Low,Canada,1171365.5,1147437.29,864129
Carretera,Medium,Canada,426789,390937.58999999997,318584
Carretera,None,Canada,32370,32370,16185
Montana,High,Canada,930959,801257.2999999999,682250
Montana,Low,Canada,62272,60165.42,43075
Montana,Medium,Canada,1582355,1443967.81,1295913
Montana,None,Canada,406528.5,406528.5,368814
Paseo,High,Canada,3123072,2741974.6700000004,2345779
Paseo,Low,Canada,2512492,2456023.2700000005,2073650
Paseo,Medium,Canada,1828622,1705097.05,1428410
Paseo,None,Canada,708426,708426,498664
Velo,High,Canada,1259816,1102786.24,994370
Velo,Low,Canada,511074,497812.96,427265
Velo,Medium,Canada,1846372,1685766.1400000001,1495887
Velo,None,Canada,43125,43125,41400
VTT,High,Canada,1755593,1527431.04,1511132
VTT,Low,Canada,1242832,1215748.43,1047920
VTT,Medium,Canada,1491448,1388934.8399999999,1202473.5
VTT,None,Canada,636640,636640,518420
Amarilla,High,France,1299418.5,1127490.17,1067996.5
Amarilla,Low,France,23635,23210.449999999997,12620
Amarilla,Medium,France,1995130.5,1865246.51,1533953
Amarilla,None,France,1000480,1000480,733990
Carretera,High,France,1456306,1275224.29,1228609
Carretera,Low,France,1331754.5,1307678.055,1088258
Carretera,Medium,France,867099,807749.55,695810
Carretera,None,France,32670,32670,21780
Montana,High,France,920831,810911.86,761935
Montana,Low,France,215005,209105.05,176618
Montana,Medium,France,2669400,2469385.46,2108601
Montana,None,France,37980,37980,18990
Paseo,High,France,1722081,1506131.11,1301064.5
Paseo,Low,France,2552822,2493695.79,2090533
Paseo,Medium,France,1701629,1589689.1600000001,1361915
Paseo,None,France,8235,8235,5490
Velo,High,France,729207.5,647413.725,561185
Velo,Low,France,856363,824814.27,611020
Velo,Medium,France,2433364,2280368.24,1881481
Velo,None,France,225500,225500,216480
VTT,High,France,576077.5,498663.57999999996,409062
VTT,Low,France,1088717,1054659.57,872338
VTT,Medium,France,1125549,1045450.4400000001,856872.5
VTT,None,France,1212420,1212420,956550
Amarilla,High,Germany,453417,403425.21,394248
Amarilla,Low,Germany,2067750,2013046,1604850
Amarilla,Medium,Germany,1062798,1004539.55,834245
Amarilla,None,Germany,539239.5,539239.5,514770
Carretera,High,Germany,1635495,1435414.1,1391860
Carretera,Low,Germany,937992,904615.0800000001,759098
Carretera,Medium,Germany,163599,153021.5,126238
Carretera,None,Germany,569290,569290,415470
Montana,High,Germany,747590,652765.6,540820
Montana,Low,Germany,2019906,1947668.8199999998,1651730
Montana,Medium,Germany,983482,918232.9500000001,789481
Montana,None,Germany,47377,47377,24575
Paseo,High,Germany,1116926,973880.32,868389
Paseo,Low,Germany,1809022,1756117.28,1572693
Paseo,Medium,Germany,1743836,1613763.1400000001,1388275
