Time.Month Shortname,Category Master.Category Hierarchy.Sub Category,Values.2019 Actuals,Values.2020 Plan,Values.2020 Actuals,Values.US,Values.International
Jan,Juices,216697765.6,208460891.82,213618308.25000003,136672244.70000002,76946063.55000001
Feb,Juices,219050113.90000004,216336224.94999996,220159229.45999998,143859035.79999998,76300193.66
Mar,Juices,233833475.35,224592979.79999995,252114695.79999998,163019954.23,89094741.57
Apr,Juices,247505504.91999996,243009204.22999996,259841326.8,167707987.14000002,92133339.66
May,Juices,265459549.52999997,255116966.24000004,260170592.65,166511221.85000002,93659370.8
Jun,Juices,272387375.97999996,264509299.61999997,268673088.53000003,178640455.09000003,90032633.44
Jul,Juices,279573674.49,281885266.79,276828721.87,179185696.05,97643025.82
Aug,Juices,280914987.88,276581110.19,263159780.56,174417612.34,88742168.22
Sep,Juices,269341204.9099999,265922811.52999997,247178992.24000004,164239746.67000002,82939245.57
Oct,Juices,255549594.78000003,252695542.74999997,237444648.28000003,156418216.34,81026431.94
Nov,Juices,233414595.92,232897796.35,225550939.35000002,148022290.71,77528648.64
Dec,Juices,218988515.85999998,213569997.17000002,219438834.49000004,142685806.15,76753028.33999999
Jan,Mineral Water,53200207.96,53695841.480000004,55858015.36,36271524.870000005,19586490.49
Feb,Mineral Water,59135528.12,55435283.660000004,59744480.04000001,37862704.01,21881776.03
Mar,Mineral Water,61870935.08,61900980.260000005,65171159.27000001,42829796.22,22341363.05
Apr,Mineral Water,65126631.59,64749186.99000002,69966877.72,45292294.339999996,24674583.38
May,Mineral Water,70261421.77,67283563.45000002,69364460.44,44618892.86,24745567.58
Jun,Mineral Water,73698755.21,74354415.53999999,74119417.11999999,47862800.03,26256617.089999996
Jul,Mineral Water,75289413.41000001,77028703.07,73172547.89,46808325.46,26364222.430000003
Aug,Mineral Water,73147753.39,72665992.74,70550090.6,44527884.17,26022206.43
Sep,Mineral Water,72468779.27,69750697.82000001,63948929.72,39891933.12,24056996.6
Oct,Mineral Water,67467732.65,66851230.52,64345350.79999999,41027807.54,23317543.259999998
Nov,Mineral Water,61242237.13,62646186.04999999,59303564.83,36522254.63,22781310.200000003
Dec,Mineral Water,55985338.8,55375526.08,56109435.72,36513294.07000001,19596141.650000002
Jan,Soda,162317516.28999996,164875704.04000002,173324231.43,105995984.64999999,67328246.78
Feb,Soda,169422137.86,166120851.93999997,182698599.11,109673296.11,73025303
Mar,Soda,182485771.4,181771333.95,202052791.75000003,122496038.05,79556753.7
Apr,Soda,191948906.71,194624334.54,211297464.59,127423123.15999998,83874341.42999999
May,Soda,206796107.17999998,203587342.78,219931039.19000003,134086634.78,85844404.41
Jun,Soda,213447017.66,212369839.21,218254879.08,129706179.94,88548699.14
Jul,Soda,223119386.42999998,214408087.15,225366458.85999998,135947854.24,89418604.62
Aug,Soda,217691024.65999997,213473928.23,219632594.07999998,129598401.17999999,90034192.89999999
Sep,Soda,205807031.17000002,203889587.51,205602244.75,121847883.72,83754361.02999999
Oct,Soda,193640938.39,193619154.01000002,196672839.14,115516244.82,81156594.32
Nov,Soda,180043637.21999997,178459027.51999998,189095587.17999998,113686065.30000001,75409521.88
Dec,Soda,165893131.2,164144189.82,179289459.17,108294173.33999999,70995285.83
Jan,Sparkling Water,11526211.479999999,11517845.36,12157702.649999999,7321757.46,4835945.1899999995
Feb,Sparkling Water,11369778.11,11562606.68,12448943.09,7404781.87,5044161.220000001
Mar,Sparkling Water,11201729.1,11092746.82,12598390.77,7550768.35,5047622.42
Apr,Sparkling Water,11718276.55,11607254.93,12704678.430000002,7730794.41,4973884.02
May,Sparkling Water,12035376.350000001,11898428.3,12886056.340000002,7777614.37,5108441.97
Jun,Sparkling Water,11805776.430000002,11829634.829999998,12178039.469999999,7357347.22,4820692.249999999
Jul,Sparkling Water,11637614.4,11718768.720000003,12086604.440000001,7301821.890000001,4784782.55
Aug,Sparkling Water,12237102.2,12243851.36,12627592.570000002,7645128.440000001,4982464.13
Sep,Sparkling Water,12508086.7,12559989.050000003,12648157.379999999,7742246.87,4905910.510000001
Oct,Sparkling Water,12139873.22,12079755.370000001,12279451.109999998,7549104.0600000005,4730347.05
Nov,Sparkling Water,11687895.29,11676467.88,12206162.559999999,7512643.84,4693518.72
Dec,Sparkling Water,11643588.59,11703335.620000001,11957343.300000003,7504988.090000001,4452355.21
Jan,Tea & Coffee,55612941.49,54830172.38,59791148.65999999,36696654.57999999,23094494.080000002
Feb,Tea & Coffee,56149750.260000005,54921396.43999999,60675128.31000001,37096572.010000005,23578556.300000004
Mar,Tea & Coffee,58898791.28999999,57708277.17,67134307.57,41109178.71999999,26025128.85
Apr,Tea & Coffee,60826719.32,60542506.26,68714289.47000001,41954155.76,26760133.71
May,Tea & Coffee,65473105.09999999,65143458.330000006,69934407.65999998,42732971.24999999,27201436.410000004
Jun,Tea & Coffee,67905182.03000002,68331326.83999999,71232069.84000002,43934334.95000001,27297734.89
Jul,Tea & Coffee,70213726.08,69097383.27,73086395.72,44864136.21,28222259.51
Aug,Tea & Coffee,71272018.28,70201590.24,70821183.94,42953963.82,27867220.12
Sep,Tea & Coffee,66040074.949999996,65315548.43000001,68317072.52,41068844.22,27248228.3
Oct,Tea & Coffee,62156941.7,61594215.74,64605598.01,39279796.03,25325801.98
Nov,Tea & Coffee,59226329.53999999,57935545.720000006,62532474.37,37757260.44,24775213.93
Dec,Tea & Coffee,56373502.14000001,55994489.88999999,61185465.61000001,37275524.400000006,23909941.209999997
