Date.Month,Product.Products.Category,Product.Products.Subcategory,Product.Products.Model,Sum(Sales.Sales Amount)
2019 Jul,Accessories,Bike Stands,All-Purpose Bike Stand,
2019 Aug,Accessories,Bike Stands,All-Purpose Bike Stand,
2019 Sep,Accessories,Bike Stands,All-Purpose Bike Stand,159
2019 Oct,Accessories,Bike Stands,All-Purpose Bike Stand,
2019 Nov,Accessories,Bike Stands,All-Purpose Bike Stand,159
2019 Dec,Accessories,Bike Stands,All-Purpose Bike Stand,
2020 Jan,Accessories,Bike Stands,All-Purpose Bike Stand,
2020 Feb,Accessories,Bike Stands,All-Purpose Bike Stand,
2020 Mar,Accessories,Bike Stands,All-Purpose Bike Stand,
2020 Apr,Accessories,Bike Stands,All-Purpose Bike Stand,
2020 May,Accessories,Bike Stands,All-Purpose Bike Stand,
2020 Jun,Accessories,Bike Stands,All-Purpose Bike Stand,159
2019 Jul,Accessories,Bottles and Cages,Mountain Bottle Cage,9.99
2019 Aug,Accessories,Bottles and Cages,Mountain Bottle Cage,29.97
2019 Sep,Accessories,Bottles and Cages,Mountain Bottle Cage,19.98
2019 Oct,Accessories,Bottles and Cages,Mountain Bottle Cage,
2019 Nov,Accessories,Bottles and Cages,Mountain Bottle Cage,9.99
2019 Dec,Accessories,Bottles and Cages,Mountain Bottle Cage,29.97
2020 Jan,Accessories,Bottles and Cages,Mountain Bottle Cage,9.99
2020 Feb,Accessories,Bottles and Cages,Mountain Bottle Cage,39.96
2020 Mar,Accessories,Bottles and Cages,Mountain Bottle Cage,9.99
2020 Apr,Accessories,Bottles and Cages,Mountain Bottle Cage,49.95
2020 May,Accessories,Bottles and Cages,Mountain Bottle Cage,29.97
2020 Jun,Accessories,Bottles and Cages,Mountain Bottle Cage,
2019 Jul,Accessories,Bottles and Cages,Road Bottle Cage,17.98
2019 Aug,Accessories,Bottles and Cages,Road Bottle Cage,
2019 Sep,Accessories,Bottles and Cages,Road Bottle Cage,17.98
2019 Oct,Accessories,Bottles and Cages,Road Bottle Cage,
2019 Nov,Accessories,Bottles and Cages,Road Bottle Cage,
2019 Dec,Accessories,Bottles and Cages,Road Bottle Cage,
2020 Jan,Accessories,Bottles and Cages,Road Bottle Cage,8.99
2020 Feb,Accessories,Bottles and Cages,Road Bottle Cage,17.98
2020 Mar,Accessories,Bottles and Cages,Road Bottle Cage,17.98
2020 Apr,Accessories,Bottles and Cages,Road Bottle Cage,53.94
2020 May,Accessories,Bottles and Cages,Road Bottle Cage,26.97
2020 Jun,Accessories,Bottles and Cages,Road Bottle Cage,
2019 Jul,Accessories,Bottles and Cages,Water Bottle,9.98
2019 Aug,Accessories,Bottles and Cages,Water Bottle,14.97
2019 Sep,Accessories,Bottles and Cages,Water Bottle,29.94
2019 Oct,Accessories,Bottles and Cages,Water Bottle,
2019 Nov,Accessories,Bottles and Cages,Water Bottle,9.98
2019 Dec,Accessories,Bottles and Cages,Water Bottle,19.96
2020 Jan,Accessories,Bottles and Cages,Water Bottle,4.99
2020 Feb,Accessories,Bottles and Cages,Water Bottle,29.94
2020 Mar,Accessories,Bottles and Cages,Water Bottle,19.96
2020 Apr,Accessories,Bottles and Cages,Water Bottle,54.89
2020 May,Accessories,Bottles and Cages,Water Bottle,24.95
2020 Jun,Accessories,Bottles and Cages,Water Bottle,4.99
2019 Jul,Accessories,Cleaners,Bike Wash,7.95
2019 Aug,Accessories,Cleaners,Bike Wash,7.95
2019 Sep,Accessories,Cleaners,Bike Wash,
2019 Oct,Accessories,Cleaners,Bike Wash,
2019 Nov,Accessories,Cleaners,Bike Wash,23.85
2019 Dec,Accessories,Cleaners,Bike Wash,7.95
2020 Jan,Accessories,Cleaners,Bike Wash,7.95
2020 Feb,Accessories,Cleaners,Bike Wash,7.95
2020 Mar,Accessories,Cleaners,Bike Wash,23.85
2020 Apr,Accessories,Cleaners,Bike Wash,15.9
2020 May,Accessories,Cleaners,Bike Wash,15.9
2020 Jun,Accessories,Cleaners,Bike Wash,
2019 Jul,Accessories,Fenders,Fender Set - Mountain,
2019 Aug,Accessories,Fenders,Fender Set - Mountain,21.98
2019 Sep,Accessories,Fenders,Fender Set - Mountain,87.92
2019 Oct,Accessories,Fenders,Fender Set - Mountain,
2019 Nov,Accessories,Fenders,Fender Set - Mountain,21.98
2019 Dec,Accessories,Fenders,Fender Set - Mountain,43.96
2020 Jan,Accessories,Fenders,Fender Set - Mountain,109.9
2020 Feb,Accessories,Fenders,Fender Set - Mountain,21.98
2020 Mar,Accessories,Fenders,Fender Set - Mountain,21.98
2020 Apr,Accessories,Fenders,Fender Set - Mountain,43.96
2020 May,Accessories,Fenders,Fender Set - Mountain,87.92
2020 Jun,Accessories,Fenders,Fender Set - Mountain,
2019 Jul,Accessories,Helmets,Sport-100,209.94
2019 Aug,Accessories,Helmets,Sport-100,209.94
2019 Sep,Accessories,Helmets,Sport-100,209.94
2019 Oct,Accessories,Helmets,Sport-100,104.97
2019 Nov,Accessories,Helmets,Sport-100,244.93
2019 Dec,Accessories,Helmets,Sport-100,279.92
2020 Jan,Accessories,Helmets,Sport-100,279.92
2020 Feb,Accessories,Helmets,Sport-100,209.94
2020 Mar,Accessories,Helmets,Sport-100,489.86
2020 Apr,Accessories,Helmets,Sport-100,349.9
2020 May,Accessories,Helmets,Sport-100,279.92
2020 Jun,Accessories,Helmets,Sport-100,
2019 Jul,Accessories,Hydration Packs,Hydration Pack,
2019 Aug,Accessories,Hydration Packs,Hydration Pack,
2019 Sep,Accessories,Hydration Packs,Hydration Pack,54.99
2019 Oct,Accessories,Hydration Packs,Hydration Pack,
2019 Nov,Accessories,Hydration Packs,Hydration Pack,
2019 Dec,Accessories,Hydration Packs,Hydration Pack,109.98
2020 Jan,Accessories,Hydration Packs,Hydration Pack,
2020 Feb,Accessories,Hydration Packs,Hydration Pack,54.99
2020 Mar,Accessories,Hydration Packs,Hydration Pack,
2020 Apr,Accessories,Hydration Packs,Hydration Pack,54.99
2020 May,Accessories,Hydration Packs,Hydration Pack,54.99
2020 Jun,Accessories,Hydration Packs,Hydration Pack,
2019 Jul,Accessories,Tires and Tubes,HL Mountain Tire,
2019 Aug,Accessories,Tires and Tubes,HL Mountain Tire,
2019 Sep,Accessories,Tires and Tubes,HL Mountain Tire,70
2019 Oct,Accessories,Tires and Tubes,HL Mountain Tire,35
2019 Nov,Accessories,Tires and Tubes,HL Mountain Tire,
2019 Dec,Accessories,Tires and Tubes,HL Mountain Tire,35
2020 Jan,Accessories,Tires and Tubes,HL Mountain Tire,
2020 Feb,Accessories,Tires and Tubes,HL Mountain Tire,35
2020 Mar,Accessories,Tires and Tubes,HL Mountain Tire,35
2020 Apr,Accessories,Tires and Tubes,HL Mountain Tire,35
2020 May,Accessories,Tires and Tubes,HL Mountain Tire,35
2020 Jun,Accessories,Tires and Tubes,HL Mountain Tire,
2019 Jul,Accessories,Tires and Tubes,HL Road Tire,
2019 Aug,Accessories,Tires and Tubes,HL Road Tire,
2019 Sep,Accessories,Tires and Tubes,HL Road Tire,32.6
2019 Oct,Accessories,Tires and Tubes,HL Road Tire,
2019 Nov,Accessories,Tires and Tubes,HL Road Tire,65.2
2019 Dec,Accessories,Tires and Tubes,HL Road Tire,
2020 Jan,Accessories,Tires and Tubes,HL Road Tire,
2020 Feb,Accessories,Tires and Tubes,HL Road Tire,
2020 Mar,Accessories,Tires and Tubes,HL Road Tire,32.6
2020 Apr,Accessories,Tires and Tubes,HL Road Tire,32.6
2020 May,Accessories,Tires and Tubes,HL Road Tire,
2020 Jun,Accessories,Tires and Tubes,HL Road Tire,
2019 Jul,Accessories,Tires and Tubes,LL Mountain Tire,
2019 Aug,Accessories,Tires and Tubes,LL Mountain Tire,24.99
2019 Sep,Accessories,Tires and Tubes,LL Mountain Tire,
2019 Oct,Accessories,Tires and Tubes,LL Mountain Tire,
2019 Nov,Accessories,Tires and Tubes,LL Mountain Tire,24.99
2019 Dec,Accessories,Tires and Tubes,LL Mountain Tire,24.99
2020 Jan,Accessories,Tires and Tubes,LL Mountain Tire,
2020 Feb,Accessories,Tires and Tubes,LL Mountain Tire,
2020 Mar,Accessories,Tires and Tubes,LL Mountain Tire,99.96
2020 Apr,Accessories,Tires and Tubes,LL Mountain Tire,
2020 May,Accessories,Tires and Tubes,LL Mountain Tire,
2020 Jun,Accessories,Tires and Tubes,LL Mountain Tire,49.98
2019 Jul,Accessories,Tires and Tubes,LL Road Tire,42.98
2019 Aug,Accessories,Tires and Tubes,LL Road Tire,42.98
