Measures as Rows,Case Calendar.Date,CountNonNull(Cases.Agent),
Count of Agent,Mon Nov 30 2020 00:00:00 GMT+0530 (India Standard Time),4,4
Count of Is Escalated,Mon Nov 30 2020 00:00:00 GMT+0530 (India Standard Time),4,4
Count of Agent,Tue Dec 01 2020 00:00:00 GMT+0530 (India Standard Time),73,73
Count of Is Escalated,Tue Dec 01 2020 00:00:00 GMT+0530 (India Standard Time),73,73
Count of Agent,Wed Dec 02 2020 00:00:00 GMT+0530 (India Standard Time),77,77
Count of Is Escalated,Wed Dec 02 2020 00:00:00 GMT+0530 (India Standard Time),77,77
Count of Agent,Thu Dec 03 2020 00:00:00 GMT+0530 (India Standard Time),76,76
Count of Is Escalated,Thu Dec 03 2020 00:00:00 GMT+0530 (India Standard Time),76,76
Count of Agent,Fri Dec 04 2020 00:00:00 GMT+0530 (India Standard Time),72,72
Count of Is Escalated,Fri Dec 04 2020 00:00:00 GMT+0530 (India Standard Time),72,72
Count of Agent,Sat Dec 05 2020 00:00:00 GMT+0530 (India Standard Time),9,9
Count of Is Escalated,Sat Dec 05 2020 00:00:00 GMT+0530 (India Standard Time),9,9
Count of Agent,Sun Dec 06 2020 00:00:00 GMT+0530 (India Standard Time),9,9
Count of Is Escalated,Sun Dec 06 2020 00:00:00 GMT+0530 (India Standard Time),9,9
Count of Agent,Mon Dec 07 2020 00:00:00 GMT+0530 (India Standard Time),76,76
Count of Is Escalated,Mon Dec 07 2020 00:00:00 GMT+0530 (India Standard Time),76,76
Count of Agent,Tue Dec 08 2020 00:00:00 GMT+0530 (India Standard Time),75,75
Count of Is Escalated,Tue Dec 08 2020 00:00:00 GMT+0530 (India Standard Time),75,75
Count of Agent,Wed Dec 09 2020 00:00:00 GMT+0530 (India Standard Time),74,74
Count of Is Escalated,Wed Dec 09 2020 00:00:00 GMT+0530 (India Standard Time),74,74
Count of Agent,Thu Dec 10 2020 00:00:00 GMT+0530 (India Standard Time),74,74
Count of Is Escalated,Thu Dec 10 2020 00:00:00 GMT+0530 (India Standard Time),74,74
Count of Agent,Fri Dec 11 2020 00:00:00 GMT+0530 (India Standard Time),79,79
Count of Is Escalated,Fri Dec 11 2020 00:00:00 GMT+0530 (India Standard Time),79,79
Count of Agent,Sat Dec 12 2020 00:00:00 GMT+0530 (India Standard Time),9,9
Count of Is Escalated,Sat Dec 12 2020 00:00:00 GMT+0530 (India Standard Time),9,9
Count of Agent,Sun Dec 13 2020 00:00:00 GMT+0530 (India Standard Time),9,9
Count of Is Escalated,Sun Dec 13 2020 00:00:00 GMT+0530 (India Standard Time),9,9
Count of Agent,Mon Dec 14 2020 00:00:00 GMT+0530 (India Standard Time),77,77
Count of Is Escalated,Mon Dec 14 2020 00:00:00 GMT+0530 (India Standard Time),77,77
Count of Agent,Tue Dec 15 2020 00:00:00 GMT+0530 (India Standard Time),73,73
Count of Is Escalated,Tue Dec 15 2020 00:00:00 GMT+0530 (India Standard Time),73,73
Count of Agent,Wed Dec 16 2020 00:00:00 GMT+0530 (India Standard Time),74,74
Count of Is Escalated,Wed Dec 16 2020 00:00:00 GMT+0530 (India Standard Time),74,74
Count of Agent,Thu Dec 17 2020 00:00:00 GMT+0530 (India Standard Time),74,74
Count of Is Escalated,Thu Dec 17 2020 00:00:00 GMT+0530 (India Standard Time),74,74
Count of Agent,Fri Dec 18 2020 00:00:00 GMT+0530 (India Standard Time),73,73
Count of Is Escalated,Fri Dec 18 2020 00:00:00 GMT+0530 (India Standard Time),73,73
Count of Agent,Sat Dec 19 2020 00:00:00 GMT+0530 (India Standard Time),10,10
Count of Is Escalated,Sat Dec 19 2020 00:00:00 GMT+0530 (India Standard Time),10,10
Count of Agent,Sun Dec 20 2020 00:00:00 GMT+0530 (India Standard Time),10,10
Count of Is Escalated,Sun Dec 20 2020 00:00:00 GMT+0530 (India Standard Time),10,10
Count of Agent,Mon Dec 21 2020 00:00:00 GMT+0530 (India Standard Time),73,73
