Region,Country,Value Column Name,Value
"Americas","USA","Sum of PY","920000"
"Americas","USA","Sum of PL","742000"
"Americas","USA","Sum of FC","1038000"
"Americas","USA","Sum of AC","955000"
"Americas","USA","Sum of AC - Sum of PY","35000"
"Americas","USA","(Sum of AC - Sum of PY)%","0.03804347826086957"
"Americas","USA","Sum of AC - Sum of PL","213000"
"Americas","USA","(Sum of AC - Sum of PL)%","0.28706199460916443"
"Americas","USA","Sum of AC - Sum of FC","-83000"
"Americas","USA","(Sum of AC - Sum of FC)%","-0.07996146435452794"
"Americas","USA","Sum of PL - Sum of PY","-178000"
"Americas","USA","(Sum of PL - Sum of PY)%","-0.1934782608695652"
"Americas","USA","Sum of FC - Sum of PY","118000"
"Americas","USA","(Sum of FC - Sum of PY)%","0.1282608695652174"
"Americas","USA","Sum of FC - Sum of PL","296000"
"Americas","USA","(Sum of FC - Sum of PL)%","0.39892183288409705"
"Americas","Brazil","Sum of PY","491000"
"Americas","Brazil","Sum of PL","963000"
"Americas","Brazil","Sum of FC","682000"
"Americas","Brazil","Sum of AC","880000"
"Americas","Brazil","Sum of AC - Sum of PY","389000"
"Americas","Brazil","(Sum of AC - Sum of PY)%","0.7922606924643586"
"Americas","Brazil","Sum of AC - Sum of PL","-83000"
"Americas","Brazil","(Sum of AC - Sum of PL)%","-0.08618899273104881"
"Americas","Brazil","Sum of AC - Sum of FC","198000"
"Americas","Brazil","(Sum of AC - Sum of FC)%","0.2903225806451613"
"Americas","Brazil","Sum of PL - Sum of PY","472000"
"Americas","Brazil","(Sum of PL - Sum of PY)%","0.9613034623217923"
"Americas","Brazil","Sum of FC - Sum of PY","191000"
"Americas","Brazil","(Sum of FC - Sum of PY)%","0.3890020366598778"
"Americas","Brazil","Sum of FC - Sum of PL","-281000"
"Americas","Brazil","(Sum of FC - Sum of PL)%","-0.29179646936656284"
"Americas","Canada","Sum of PY","422000"
"Americas","Canada","Sum of PL","644000"
"Americas","Canada","Sum of FC","856000"
"Americas","Canada","Sum of AC","754000"
"Americas","Canada","Sum of AC - Sum of PY","332000"
"Americas","Canada","(Sum of AC - Sum of PY)%","0.7867298578199052"
"Americas","Canada","Sum of AC - Sum of PL","110000"
"Americas","Canada","(Sum of AC - Sum of PL)%","0.17080745341614909"
"Americas","Canada","Sum of AC - Sum of FC","-102000"
"Americas","Canada","(Sum of AC - Sum of FC)%","-0.1191588785046729"
"Americas","Canada","Sum of PL - Sum of PY","222000"
"Americas","Canada","(Sum of PL - Sum of PY)%","0.5260663507109005"
"Americas","Canada","Sum of FC - Sum of PY","434000"
"Americas","Canada","(Sum of FC - Sum of PY)%","1.028436018957346"
"Americas","Canada","Sum of FC - Sum of PL","212000"
"Americas","Canada","(Sum of FC - Sum of PL)%","0.32919254658385094"
"Americas","Other","Sum of PY","289000"
"Americas","Other","Sum of PL","75000"
"Americas","Other","Sum of FC","339000"
"Americas","Other","Sum of AC","289000"
"Americas","Other","Sum of AC - Sum of PY","0"
"Americas","Other","(Sum of AC - Sum of PY)%","0"
"Americas","Other","Sum of AC - Sum of PL","214000"
"Americas","Other","(Sum of AC - Sum of PL)%","2.8533333333333335"
"Americas","Other","Sum of AC - Sum of FC","-50000"
"Americas","Other","(Sum of AC - Sum of FC)%","-0.14749262536873156"
"Americas","Other","Sum of PL - Sum of PY","-214000"
"Americas","Other","(Sum of PL - Sum of PY)%","-0.740484429065744"
"Americas","Other","Sum of FC - Sum of PY","50000"
"Americas","Other","(Sum of FC - Sum of PY)%","0.17301038062283738"
"Americas","Other","Sum of FC - Sum of PL","264000"
"Americas","Other","(Sum of FC - Sum of PL)%","3.52"
"Europe","Poland","Sum of PY","454000"
"Europe","Poland","Sum of PL","518000"
"Europe","Poland","Sum of FC","600000"
"Europe","Poland","Sum of AC","522000"
"Europe","Poland","Sum of AC - Sum of PY","68000"
"Europe","Poland","(Sum of AC - Sum of PY)%","0.14977973568281938"
"Europe","Poland","Sum of AC - Sum of PL","4000"
"Europe","Poland","(Sum of AC - Sum of PL)%","0.007722007722007722"
"Europe","Poland","Sum of AC - Sum of FC","-78000"
"Europe","Poland","(Sum of AC - Sum of FC)%","-0.13"
"Europe","Poland","Sum of PL - Sum of PY","64000"
"Europe","Poland","(Sum of PL - Sum of PY)%","0.14096916299559473"
"Europe","Poland","Sum of FC - Sum of PY","146000"
"Europe","Poland","(Sum of FC - Sum of PY)%","0.32158590308370044"
"Europe","Poland","Sum of FC - Sum of PL","82000"
"Europe","Poland","(Sum of FC - Sum of PL)%","0.1583011583011583"
"Europe","Sweden","Sum of PY","940000"
"Europe","Sweden","Sum of PL","898000"
"Europe","Sweden","Sum of FC","677000"
"Europe","Sweden","Sum of AC","516000"
"Europe","Sweden","Sum of AC - Sum of PY","-424000"
"Europe","Sweden","(Sum of AC - Sum of PY)%","-0.451063829787234"
"Europe","Sweden","Sum of AC - Sum of PL","-382000"
"Europe","Sweden","(Sum of AC - Sum of PL)%","-0.42538975501113585"
"Europe","Sweden","Sum of AC - Sum of FC","-161000"
"Europe","Sweden","(Sum of AC - Sum of FC)%","-0.2378138847858198"
"Europe","Sweden","Sum of PL - Sum of PY","-42000"
"Europe","Sweden","(Sum of PL - Sum of PY)%","-0.04468085106382979"
"Europe","Sweden","Sum of FC - Sum of PY","-263000"
"Europe","Sweden","(Sum of FC - Sum of PY)%","-0.2797872340425532"
"Europe","Sweden","Sum of FC - Sum of PL","-221000"
