Empty Columns.Year,Empty Columns.Level 1,Empty Columns.Level 2,Empty Columns.State,Sum(Empty Columns.PY Sales),Sum(Empty Columns.CY Sales)
2018,Country,Region,Texas,2547896,23125145
2019,Country,Region,Texas,,
2020,Country,Region,Texas,,
2018,Country,Region,Washington,2354785,7453926
2019,Country,Region,Washington,,
2020,Country,Region,Washington,,
2018,Country,Region,Houston,1253644,1598745
2019,Country,Region,Houston,,
2020,Country,Region,Houston,,
2018,Country,Region,California,154792,1254789
2019,Country,Region,California,,
2020,Country,Region,California,,
2018,Country,Region,Wales,,
2019,Country,Region,Wales,254789,1253654
2020,Country,Region,Wales,,
2018,Country,Region,New York,1536723,954764
2019,Country,Region,New York,,
2020,Country,Region,New York,,
2018,Country,Region,LA,1254792,446822
2019,Country,Region,LA,,
2020,Country,Region,LA,,
2018,Country,Region,England,,
2019,Country,Region,England,45879,235896
2020,Country,Region,England,,
2018,Country,Region,Florida,362547,125489
2019,Country,Region,Florida,,
2020,Country,Region,Florida,,
2018,Country,Region,Scotland,,
2019,Country,Region,Scotland,659825,125475
2020,Country,Region,Scotland,,
2018,Country,Region,Dallas,6587489,66712
2019,Country,Region,Dallas,,
2020,Country,Region,Dallas,,
2018,Country,Region,Manitoba,,
2019,Country,Region,Manitoba,,
2020,Country,Region,Manitoba,1587596,
2018,Country,Region,Quebec,,
2019,Country,Region,Quebec,,
2020,Country,Region,Quebec,2548759,
2018,Country,Region,Yuka,,
2019,Country,Region,Yuka,,
2020,Country,Region,Yuka,125486,
2018,Country,Region1,Texas,2547896,23125145
2019,Country,Region1,Texas,,
2020,Country,Region1,Texas,,
2018,Country,Region1,Washington,2354785,7453926
2019,Country,Region1,Washington,,
2020,Country,Region1,Washington,,
2018,Country,Region1,Houston,1253644,1598745
2019,Country,Region1,Houston,,
2020,Country,Region1,Houston,,
2018,Country,Region1,California,154792,1254789
2019,Country,Region1,California,,
2020,Country,Region1,California,,
2018,Country,Region1,Wales,,
2019,Country,Region1,Wales,254789,1253654
2020,Country,Region1,Wales,,
2018,Country,Region1,New York,1536723,954764
2019,Country,Region1,New York,,
2020,Country,Region1,New York,,
2018,Country,Region1,LA,1254792,446822
2019,Country,Region1,LA,,
2020,Country,Region1,LA,,
2018,Country,Region1,England,,
2019,Country,Region1,England,45879,235896
2020,Country,Region1,England,,
2018,Country,Region1,Florida,362547,125489
2019,Country,Region1,Florida,,
2020,Country,Region1,Florida,,
2018,Country,Region1,Scotland,,
2019,Country,Region1,Scotland,659825,125475
2020,Country,Region1,Scotland,,
2018,Country,Region1,Dallas,6587489,66712
2019,Country,Region1,Dallas,,
2020,Country,Region1,Dallas,,
2018,Country,Region1,Manitoba,,
2019,Country,Region1,Manitoba,,
2020,Country,Region1,Manitoba,1587596,
2018,Country,Region1,Quebec,,
2019,Country,Region1,Quebec,,
2020,Country,Region1,Quebec,2548759,
2018,Country,Region1,Yuka,,
2019,Country,Region1,Yuka,,
2020,Country,Region1,Yuka,125486,
2018,Country,Region2,Texas,2547896,23125145
2019,Country,Region2,Texas,,
2020,Country,Region2,Texas,,
2018,Country,Region2,Washington,2354785,7453926
2019,Country,Region2,Washington,,
2020,Country,Region2,Washington,,
2018,Country,Region2,Houston,1253644,1598745
2019,Country,Region2,Houston,,
2020,Country,Region2,Houston,,
2018,Country,Region2,California,154792,1254789
2019,Country,Region2,California,,
2020,Country,Region2,California,,
2018,Country,Region2,Wales,,
2019,Country,Region2,Wales,254789,1253654
2020,Country,Region2,Wales,,
2018,Country,Region2,New York,1536723,954764
2019,Country,Region2,New York,,
2020,Country,Region2,New York,,
2018,Country,Region2,LA,1254792,446822
2019,Country,Region2,LA,,
2020,Country,Region2,LA,,
2018,Country,Region2,England,,
2019,Country,Region2,England,45879,235896
2020,Country,Region2,England,,
2018,Country,Region2,Florida,362547,125489
2019,Country,Region2,Florida,,
2020,Country,Region2,Florida,,
2018,Country,Region2,Scotland,,
2019,Country,Region2,Scotland,659825,125475
2020,Country,Region2,Scotland,,
2018,Country,Region2,Dallas,6587489,66712
2019,Country,Region2,Dallas,,
2020,Country,Region2,Dallas,,
2018,Country,Region2,Manitoba,,
2019,Country,Region2,Manitoba,,
2020,Country,Region2,Manitoba,1587596,
2018,Country,Region2,Quebec,,
2019,Country,Region2,Quebec,,
2020,Country,Region2,Quebec,2548759,
2018,Country,Region2,Yuka,,
2019,Country,Region2,Yuka,,
2020,Country,Region2,Yuka,125486,
