Orders.Region,Orders.Order Date.Variation.Date Hierarchy.Year,Orders.Category,Orders.Sub-Category,Sum(Orders.Quantity),Sum(Orders.Profit),Sum(Orders.Discount),Sum(Orders.Sales),CountNonNull(Orders.Postal Code),CountNonNull(Orders.Row ID)
Central,2014,Furniture,Bookcases,23,-133.64569999999998,1.56,1834.0375999999997,7,7
East,2014,Furniture,Bookcases,60,-425.58550000000065,3.2,10863.451000000001,13,13
South,2014,Furniture,Bookcases,13,164.70860000000002,0.2,794.2760000000001,2,2
West,2014,Furniture,Bookcases,57,48.351899999999915,2.6499999999999995,6544.9130000000005,15,15
Central,2015,Furniture,Bookcases,58,-885.1924000000004,3.4399999999999995,8297.722,15,15
East,2015,Furniture,Bookcases,81,-987.4247000000008,4.6,19653.440000000002,20,20
South,2015,Furniture,Bookcases,21,107.61759999999998,0.6000000000000001,1238.5960000000002,5,5
West,2015,Furniture,Bookcases,82,-990.2307000000004,5.300000000000001,9353.8145,21,21
Central,2016,Furniture,Bookcases,58,-468.0408,2.52,8384.939999999999,12,12
East,2016,Furniture,Bookcases,59,-198.08580000000018,4.1,5964.221000000001,19,19
South,2016,Furniture,Bookcases,32,552.7233999999999,0.6000000000000001,3709.224,8,8
West,2016,Furniture,Bookcases,48,325.8741999999997,3.0499999999999994,8217.0815,15,15
Central,2017,Furniture,Bookcases,53,-511.0254000000002,4.119999999999999,5640.4772,16,16
East,2017,Furniture,Bookcases,52,443.4641999999997,3.5,7338.222,18,18
South,2017,Furniture,Bookcases,52,514.4422000000001,1.4,5157.266,13,13
West,2017,Furniture,Bookcases,119,-1030.5071000000003,7.3000000000000025,11888.314499999997,29,29
Central,2014,Furniture,Chairs,136,699.2616999999998,7.1999999999999975,20754.052,32,32
East,2014,Furniture,Chairs,144,2719.3840000000014,4.500000000000001,22008.267999999993,32,32
South,2014,Furniture,Chairs,102,2304.7139999999995,1.5999999999999999,13072.28,19,19
West,2014,Furniture,Chairs,158,1231.6872999999996,9.2,21406.97599999999,46,46
Central,2015,Furniture,Chairs,145,1676.9477999999992,5.999999999999998,17908.505,34,34
East,2015,Furniture,Chairs,156,2478.8016,5,20009.271999999997,39,39
South,2015,Furniture,Chairs,78,1100.2275999999997,1.9999999999999998,10116.736,19,19
West,2015,Furniture,Chairs,149,972.4390999999996,8.200000000000003,23700.016000000003,41,41
Central,2016,Furniture,Chairs,166,1504.2379999999998,8.399999999999999,23349.623999999996,42,42
East,2016,Furniture,Chairs,175,1782.8010999999997,7.299999999999995,23010.482999999993,44,44
South,2016,Furniture,Chairs,52,1276.07,1.4,6331.122,17,17
West,2016,Furniture,Chairs,221,1200.0447999999983,12.399999999999988,31227.415999999987,62,62
Central,2017,Furniture,Chairs,168,2712.274599999999,8.099999999999998,23218.465000000004,46,46
East,2017,Furniture,Chairs,201,2376.783899999999,8.5,31232.659999999996,53,53
South,2017,Furniture,Chairs,99,1931.0776999999998,3.600000000000001,15656.308,33,33
West,2017,Furniture,Chairs,206,623.4130999999986,11.59999999999999,25446.919999999984,58,58
Central,2014,Furniture,Furnishings,147,-246.5090999999999,18,2536.096,40,40
East,2014,Furniture,Furnishings,182,744.3808999999995,4.600000000000001,3757.3160000000003,52,52
South,2014,Furniture,Furnishings,108,423.1665999999998,3.400000000000001,3160.502000000001,33,33
West,2014,Furniture,Furnishings,223,1051.8535000000002,1.5999999999999999,4372.319999999999,59,59
Central,2015,Furniture,Furnishings,157,-757.6987999999999,15.599999999999994,2528.5600000000013,39,39
East,2015,Furniture,Furnishings,171,737.0739999999997,4.400000000000001,5269.913999999999,52,52
South,2015,Furniture,Furnishings,164,1172.1376999999998,4.600000000000001,5377.807999999999,41,41
West,2015,Furniture,Furnishings,278,1900.3060000000003,2.8000000000000003,7913.43,68,68
Central,2016,Furniture,Furnishings,258,-1582.3255000000001,25.80000000000002,5115.692000000001,65,65
East,2016,Furniture,Furnishings,298,2135.1757,4.800000000000002,9587.140000000001,76,76
South,2016,Furniture,Furnishings,186,1278.3998999999994,3.400000000000001,5382.784000000001,45,45
West,2016,Furniture,Furnishings,294,2104.0199,2.6,7788.5080000000025,71,71
Central,2017,Furniture,Furnishings,196,-1319.6834,23.400000000000013,5074.022000000001,61,61
East,2017,Furniture,Furnishings,364,2264.7764999999995,8.200000000000003,10457.01,103,103
South,2017,Furniture,Furnishings,157,568.9786999999999,6.200000000000003,3385.590000000001,46,46
West,2017,Furniture,Furnishings,380,2585.0909999999994,3.0000000000000004,9998.471999999998,106,106
Central,2014,Furniture,Tables,53,-1424.3310000000004,4.899999999999999,7785.477999999999,15,15
East,2014,Furniture,Tables,64,-3537.8375000000005,7.600000000000002,10603.704,20,20
South,2014,Furniture,Tables,50,1107.9901999999997,1.25,9940.9445,11,11
West,2014,Furniture,Tables,103,730.1355999999994,5.200000000000001,17758.239000000005,25,25
Central,2015,Furniture,Tables,51,-265.09390000000053,2.8999999999999995,6857.26,14,14
East,2015,Furniture,Tables,67,-2275.8641000000007,5.6000000000000005,8884.806,15,15
South,2015,Furniture,Tables,29,-2171.3765000000003,1.75,7370.6745,8,8
West,2015,Furniture,Tables,88,1202.5326,3.5,16037.683,21,21
Central,2016,Furniture,Tables,74,292.6210999999996,3.499999999999999,13922.926,17,17
East,2016,Furniture,Tables,60,-2306.7783,8.100000000000003,7825.328,22,22
South,2016,Furniture,Tables,79,39.22299999999967,3.75,12498.3115,15,15
West,2016,Furniture,Tables,133,-976.0075999999999,7.700000000000001,26586.635000000006,32,32
Central,2017,Furniture,Tables,84,-2162.8466000000008,7.599999999999998,10589.307000000003,26,26
East,2017,Furniture,Tables,80,-2904.9002,8.600000000000003,11825.968999999997,23,23
South,2017,Furniture,Tables,69,-3598.8946,4.6000000000000005,14106.261499999999,17,17
West,2017,Furniture,Tables,157,525.9466999999997,6.800000000000002,24372.004999999994,38,38
Central,2014,Office Supplies,Appliances,82,-509.17240000000027,10.700000000000001,3659.204999999999,23,23
East,2014,Office Supplies,Appliances,101,1411.9621999999997,2.1999999999999997,5779.202,31,31
South,2014,Office Supplies,Appliances,56,489.78529999999995,1.7999999999999998,2119.7219999999998,13,13
West,2014,Office Supplies,Appliances,75,1066.9247999999998,0.6000000000000001,3755.495999999999,26,26
Central,2015,Office Supplies,Appliances,106,-2194.756100000001,12.700000000000003,4974.508999999999,26,26
East,2015,Office Supplies,Appliances,98,1850.6004999999998,1.5999999999999999,6691.2519999999995,26,26
South,2015,Office Supplies,Appliances,47,962.6974000000001,0.8,3850.3399999999992,15,15
West,2015,Office Supplies,Appliances,114,1893.353899999999,1.7999999999999998,7725.188,27,27
Central,2016,Office Supplies,Appliances,100,378.69469999999967,10.100000000000001,6015.011000000001,28,28
East,2016,Office Supplies,Appliances,119,2302.6057999999994,3.0000000000000004,9426.582000000002,35,35
South,2016,Office Supplies,Appliances,53,1159.3742999999997,1.9999999999999998,5607.47,16,16
West,2016,Office Supplies,Appliances,124,1460.6666999999998,1.2,5001.252000000002,35,35
Central,2017,Office Supplies,Appliances,182,-313.3837000000003,21.70000000000001,8933.308,46,46
East,2017,Office Supplies,Appliances,156,2826.2448999999992,2.4,12291.429999999998,34,34
South,2017,Office Supplies,Appliances,137,1512.0825999999995,4.400000000000001,7947.794,37,37
West,2017,Office Supplies,Appliances,179,3840.3244999999997,0.6000000000000001,13754.399999999996,48,48
Central,2014,Office Supplies,Art,106,187.84199999999996,3.2000000000000006,821.9540000000002,28,28
East,2014,Office Supplies,Art,165,332.91319999999996,3.600000000000001,1290.202,45,45
South,2014,Office Supplies,Art,109,133.75329999999994,2.8000000000000003,566.1320000000001,30,30
West,2014,Office Supplies,Art,233,752.2946,2.4,3379.694,61,61
Central,2015,Office Supplies,Art,116,248.07010000000005,3.0000000000000004,1132.16,33,33
East,2015,Office Supplies,Art,187,400.3931,3.800000000000001,1707.3659999999995,54,54
South,2015,Office Supplies,Art,124,293.35029999999995,3.400000000000001,1362.318,32,32
West,2015,Office Supplies,Art,181,543.2447000000002,2.6,2034.9899999999998,48,48
Central,2016,Office Supplies,Art,171,261.41529999999995,5.400000000000002,1519.9500000000003,46,46
East,2016,Office Supplies,Art,215,476.9198000000001,3.400000000000001,1882.5659999999996,58,58
South,2016,Office Supplies,Art,132,352.6363999999999,2.8000000000000003,1438.2699999999995,34,34
West,2016,Office Supplies,Art,160,322.99109999999985,1,1120.1220000000003,45,45
Central,2017,Office Supplies,Art,285,497.83169999999996,9.999999999999996,2291.276,69,69
East,2017,Office Supplies,Art,282,689.7181999999999,5.000000000000002,2605.63,71,71
South,2017,Office Supplies,Art,182,278.8466000000001,5.400000000000002,1288.9019999999998,46,46
West,2017,Office Supplies,Art,352,755.5665999999999,1.7999999999999998,2677.259999999999,96,96
Central,2014,Office Supplies,Binders,300,-1375.9358000000036,43.199999999999974,15870.937999999996,79,79
East,2014,Office Supplies,Binders,334,1160.9685999999997,30.499999999999982,6346.627000000002,88,88
South,2014,Office Supplies,Binders,161,2420.1017,13.999999999999995,8307.446,44,44
