Orders.Order Date.Variation.Date Hierarchy.Quarter,Orders.Order Date.Variation.Date Hierarchy.Year,Orders.Category,Orders.Sub-Category,Min(Orders.Order Date),Sum(Orders.Profit)
Qtr 1,2014,Furniture,Bookcases,2014-01-12T18:30:00.000Z,-468.0098
Qtr 2,2014,Furniture,Bookcases,2014-04-11T18:30:00.000Z,-214.3451
Qtr 3,2014,Furniture,Bookcases,2014-07-08T18:30:00.000Z,310.71799999999985
Qtr 4,2014,Furniture,Bookcases,2014-10-27T18:30:00.000Z,25.466199999999446
Qtr 1,2015,Furniture,Bookcases,2015-01-01T18:30:00.000Z,-602.0130000000004
Qtr 2,2015,Furniture,Bookcases,2015-04-04T18:30:00.000Z,-279.89830000000006
Qtr 3,2015,Furniture,Bookcases,2015-07-05T18:30:00.000Z,-1705.2543999999998
Qtr 4,2015,Furniture,Bookcases,2015-10-02T18:30:00.000Z,-168.0645000000007
Qtr 1,2016,Furniture,Bookcases,2016-01-01T18:30:00.000Z,-105.96419999999998
Qtr 2,2016,Furniture,Bookcases,2016-04-07T18:30:00.000Z,416.30459999999994
Qtr 3,2016,Furniture,Bookcases,2016-07-03T18:30:00.000Z,-115.84420000000027
Qtr 4,2016,Furniture,Bookcases,2016-10-09T18:30:00.000Z,17.974799999999732
Qtr 1,2017,Furniture,Bookcases,2017-01-12T18:30:00.000Z,193.1323999999998
Qtr 2,2017,Furniture,Bookcases,2017-03-31T18:30:00.000Z,109.38829999999993
Qtr 3,2017,Furniture,Bookcases,2017-07-06T18:30:00.000Z,7.617999999999853
Qtr 4,2017,Furniture,Bookcases,2017-10-01T18:30:00.000Z,-893.7647999999999
Qtr 1,2014,Furniture,Chairs,2014-01-05T18:30:00.000Z,1403.0951999999995
Qtr 2,2014,Furniture,Chairs,2014-04-17T18:30:00.000Z,1072.0673000000002
Qtr 3,2014,Furniture,Chairs,2014-07-05T18:30:00.000Z,1871.8918000000003
Qtr 4,2014,Furniture,Chairs,2014-10-02T18:30:00.000Z,2607.9927
Qtr 1,2015,Furniture,Chairs,2015-01-04T18:30:00.000Z,570.4531999999997
Qtr 2,2015,Furniture,Chairs,2015-04-04T18:30:00.000Z,968.0627999999997
Qtr 3,2015,Furniture,Chairs,2015-07-01T18:30:00.000Z,2130.7211999999986
Qtr 4,2015,Furniture,Chairs,2015-10-03T18:30:00.000Z,2559.1788999999994
Qtr 1,2016,Furniture,Chairs,2016-01-20T18:30:00.000Z,365.3858
Qtr 2,2016,Furniture,Chairs,2016-03-31T18:30:00.000Z,1601.4947999999993
Qtr 3,2016,Furniture,Chairs,2016-07-01T18:30:00.000Z,914.7576999999997
Qtr 4,2016,Furniture,Chairs,2016-09-30T18:30:00.000Z,2881.5155999999984
