Region,Country,Value Column Name,Value
"Americas","Brazil","January AC In  millions","593000"
"Americas","Brazil","November PY in millions","119000"
"Americas","Brazil","November AC In  millions","121000"
"Americas","Brazil","January PY in millions","686000"
"Americas","Brazil","January PY in millions - January AC In  millions","93000"
"Americas","Brazil","(January PY in millions - January AC In  millions)%","0.15682967959527824"
"Americas","Brazil","January PY in millions - November PY in millions","567000"
"Americas","Brazil","(January PY in millions - November PY in millions)%","4.764705882352941"
"Americas","Brazil","January PY in millions - November AC In  millions","565000"
"Americas","Brazil","(January PY in millions - November AC In  millions)%","4.669421487603306"
"Americas","Brazil","November PY in millions - January AC In  millions","-474000"
"Americas","Brazil","(November PY in millions - January AC In  millions)%","-0.7993254637436762"
"Americas","Brazil","November AC In  millions - January AC In  millions","-472000"
"Americas","Brazil","(November AC In  millions - January AC In  millions)%","-0.7959527824620574"
"Americas","Brazil","November AC In  millions - November PY in millions","2000"
"Americas","Brazil","(November AC In  millions - November PY in millions)%","0.01680672268907563"
"Americas","Canada","January AC In  millions","359000"
"Americas","Canada","November PY in millions","65000"
"Americas","Canada","November AC In  millions","59000"
"Americas","Canada","January PY in millions","200000"
"Americas","Canada","January PY in millions - January AC In  millions","-159000"
"Americas","Canada","(January PY in millions - January AC In  millions)%","-0.4428969359331476"
"Americas","Canada","January PY in millions - November PY in millions","135000"
"Americas","Canada","(January PY in millions - November PY in millions)%","2.076923076923077"
"Americas","Canada","January PY in millions - November AC In  millions","141000"
"Americas","Canada","(January PY in millions - November AC In  millions)%","2.389830508474576"
"Americas","Canada","November PY in millions - January AC In  millions","-294000"
"Americas","Canada","(November PY in millions - January AC In  millions)%","-0.8189415041782729"
"Americas","Canada","November AC In  millions - January AC In  millions","-300000"
"Americas","Canada","(November AC In  millions - January AC In  millions)%","-0.8356545961002786"
"Americas","Canada","November AC In  millions - November PY in millions","-6000"
"Americas","Canada","(November AC In  millions - November PY in millions)%","-0.09230769230769231"
"Americas","Other","January AC In  millions","2009000"
"Americas","Other","November PY in millions","438000"
"Americas","Other","November AC In  millions","399000"
"Americas","Other","January PY in millions","1293000"
"Americas","Other","January PY in millions - January AC In  millions","-716000"
"Americas","Other","(January PY in millions - January AC In  millions)%","-0.35639621702339475"
"Americas","Other","January PY in millions - November PY in millions","855000"
"Americas","Other","(January PY in millions - November PY in millions)%","1.952054794520548"
"Americas","Other","January PY in millions - November AC In  millions","894000"
"Americas","Other","(January PY in millions - November AC In  millions)%","2.2406015037593985"
"Americas","Other","November PY in millions - January AC In  millions","-1571000"
"Americas","Other","(November PY in millions - January AC In  millions)%","-0.7819810851169735"
"Americas","Other","November AC In  millions - January AC In  millions","-1610000"
"Americas","Other","(November AC In  millions - January AC In  millions)%","-0.8013937282229965"
"Americas","Other","November AC In  millions - November PY in millions","-39000"
"Americas","Other","(November AC In  millions - November PY in millions)%","-0.08904109589041095"
"Americas","USA","January AC In  millions","1928000"
"Americas","USA","November PY in millions","346000"
"Americas","USA","November AC In  millions","311000"
"Americas","USA","January PY in millions","1500000"
"Americas","USA","January PY in millions - January AC In  millions","-428000"
"Americas","USA","(January PY in millions - January AC In  millions)%","-0.22199170124481327"
"Americas","USA","January PY in millions - November PY in millions","1154000"
"Americas","USA","(January PY in millions - November PY in millions)%","3.3352601156069364"
"Americas","USA","January PY in millions - November AC In  millions","1189000"
"Americas","USA","(January PY in millions - November AC In  millions)%","3.8231511254019295"
"Americas","USA","November PY in millions - January AC In  millions","-1582000"
"Americas","USA","(November PY in millions - January AC In  millions)%","-0.820539419087137"
"Americas","USA","November AC In  millions - January AC In  millions","-1617000"
"Americas","USA","(November AC In  millions - January AC In  millions)%","-0.8386929460580913"
"Americas","USA","November AC In  millions - November PY in millions","-35000"
"Americas","USA","(November AC In  millions - November PY in millions)%","-0.10115606936416185"
"Europe","Austria","January AC In  millions","2964000"
"Europe","Austria","November PY in millions","560000"
"Europe","Austria","November AC In  millions","559000"
"Europe","Austria","January PY in millions","1600000"
"Europe","Austria","January PY in millions - January AC In  millions","-1364000"
"Europe","Austria","(January PY in millions - January AC In  millions)%","-0.4601889338731444"
"Europe","Austria","January PY in millions - November PY in millions","1040000"
"Europe","Austria","(January PY in millions - November PY in millions)%","1.8571428571428572"
"Europe","Austria","January PY in millions - November AC In  millions","1041000"
"Europe","Austria","(January PY in millions - November AC In  millions)%","1.8622540250447228"
"Europe","Austria","November PY in millions - January AC In  millions","-2404000"
"Europe","Austria","(November PY in millions - January AC In  millions)%","-0.8110661268556005"
"Europe","Austria","November AC In  millions - January AC In  millions","-2405000"
"Europe","Austria","(November AC In  millions - January AC In  millions)%","-0.8114035087719299"
"Europe","Austria","November AC In  millions - November PY in millions","-1000"
"Europe","Austria","(November AC In  millions - November PY in millions)%","-0.0017857142857142857"
"Europe","Belgium","January AC In  millions","136000"
"Europe","Belgium","November PY in millions","56000"
"Europe","Belgium","November AC In  millions","58000"
"Europe","Belgium","January PY in millions","375000"
"Europe","Belgium","January PY in millions - January AC In  millions","239000"
"Europe","Belgium","(January PY in millions - January AC In  millions)%","1.7573529411764703"
"Europe","Belgium","January PY in millions - November PY in millions","319000"
"Europe","Belgium","(January PY in millions - November PY in millions)%","5.696428571428571"
"Europe","Belgium","January PY in millions - November AC In  millions","317000"
"Europe","Belgium","(January PY in millions - November AC In  millions)%","5.4655172413793105"
"Europe","Belgium","November PY in millions - January AC In  millions","-80000"
"Europe","Belgium","(November PY in millions - January AC In  millions)%","-0.5882352941176471"
"Europe","Belgium","November AC In  millions - January AC In  millions","-78000"
"Europe","Belgium","(November AC In  millions - January AC In  millions)%","-0.5735294117647058"
"Europe","Belgium","November AC In  millions - November PY in millions","2000"
"Europe","Belgium","(November AC In  millions - November PY in millions)%","0.03571428571428571"
"Europe","France","January AC In  millions","134000"
"Europe","France","November PY in millions","140000"
"Europe","France","November AC In  millions","134000"
"Europe","France","January PY in millions","350000"
"Europe","France","January PY in millions - January AC In  millions","216000"
"Europe","France","(January PY in millions - January AC In  millions)%","1.6119402985074627"
"Europe","France","January PY in millions - November PY in millions","210000"
"Europe","France","(January PY in millions - November PY in millions)%","1.5"
"Europe","France","January PY in millions - November AC In  millions","216000"
"Europe","France","(January PY in millions - November AC In  millions)%","1.6119402985074627"
"Europe","France","November PY in millions - January AC In  millions","6000"
"Europe","France","(November PY in millions - January AC In  millions)%","0.04477611940298507"
"Europe","France","November AC In  millions - January AC In  millions","0"
"Europe","France","(November AC In  millions - January AC In  millions)%","0"
"Europe","France","November AC In  millions - November PY in millions","-6000"
"Europe","France","(November AC In  millions - November PY in millions)%","-0.04285714285714286"
"Europe","Germany","January AC In  millions","1000000"
"Europe","Germany","November PY in millions","345000"
"Europe","Germany","November AC In  millions","260000"
"Europe","Germany","January PY in millions","1500000"
"Europe","Germany","January PY in millions - January AC In  millions","500000"
"Europe","Germany","(January PY in millions - January AC In  millions)%","0.5"
"Europe","Germany","January PY in millions - November PY in millions","1155000"
"Europe","Germany","(January PY in millions - November PY in millions)%","3.347826086956522"
"Europe","Germany","January PY in millions - November AC In  millions","1240000"
"Europe","Germany","(January PY in millions - November AC In  millions)%","4.769230769230769"
"Europe","Germany","November PY in millions - January AC In  millions","-655000"
"Europe","Germany","(November PY in millions - January AC In  millions)%","-0.655"
"Europe","Germany","November AC In  millions - January AC In  millions","-740000"
"Europe","Germany","(November AC In  millions - January AC In  millions)%","-0.74"
"Europe","Germany","November AC In  millions - November PY in millions","-85000"
"Europe","Germany","(November AC In  millions - November PY in millions)%","-0.24637681159420294"
"Europe","Other","January AC In  millions","1500000"
"Europe","Other","November PY in millions","502000"
"Europe","Other","November AC In  millions","545000"
"Europe","Other","January PY in millions","3235000"
"Europe","Other","January PY in millions - January AC In  millions","1735000"
"Europe","Other","(January PY in millions - January AC In  millions)%","1.1566666666666667"
"Europe","Other","January PY in millions - November PY in millions","2733000"
"Europe","Other","(January PY in millions - November PY in millions)%","5.444223107569721"
"Europe","Other","January PY in millions - November AC In  millions","2690000"
"Europe","Other","(January PY in millions - November AC In  millions)%","4.935779816513762"
"Europe","Other","November PY in millions - January AC In  millions","-998000"
"Europe","Other","(November PY in millions - January AC In  millions)%","-0.6653333333333333"
"Europe","Other","November AC In  millions - January AC In  millions","-955000"
"Europe","Other","(November AC In  millions - January AC In  millions)%","-0.6366666666666667"
"Europe","Other","November AC In  millions - November PY in millions","43000"
"Europe","Other","(November AC In  millions - November PY in millions)%","0.08565737051792828"
"Europe","Poland","January AC In  millions","200000"
"Europe","Poland","November PY in millions","78000"
"Europe","Poland","November AC In  millions","86000"
"Europe","Poland","January PY in millions","438000"
"Europe","Poland","January PY in millions - January AC In  millions","238000"
"Europe","Poland","(January PY in millions - January AC In  millions)%","1.19"
"Europe","Poland","January PY in millions - November PY in millions","360000"
"Europe","Poland","(January PY in millions - November PY in millions)%","4.615384615384615"
"Europe","Poland","January PY in millions - November AC In  millions","352000"
"Europe","Poland","(January PY in millions - November AC In  millions)%","4.093023255813954"
"Europe","Poland","November PY in millions - January AC In  millions","-122000"
"Europe","Poland","(November PY in millions - January AC In  millions)%","-0.61"
"Europe","Poland","November AC In  millions - January AC In  millions","-114000"
"Europe","Poland","(November AC In  millions - January AC In  millions)%","-0.57"
"Europe","Poland","November AC In  millions - November PY in millions","8000"
"Europe","Poland","(November AC In  millions - November PY in millions)%","0.10256410256410256"
"Europe","Sweden","January AC In  millions","428000"
"Europe","Sweden","November PY in millions","77000"
"Europe","Sweden","November AC In  millions","86000"
"Europe","Sweden","January PY in millions","332000"
"Europe","Sweden","January PY in millions - January AC In  millions","-96000"
"Europe","Sweden","(January PY in millions - January AC In  millions)%","-0.22429906542056074"
"Europe","Sweden","January PY in millions - November PY in millions","255000"
"Europe","Sweden","(January PY in millions - November PY in millions)%","3.311688311688312"
"Europe","Sweden","January PY in millions - November AC In  millions","246000"
"Europe","Sweden","(January PY in millions - November AC In  millions)%","2.8604651162790704"
"Europe","Sweden","November PY in millions - January AC In  millions","-351000"
"Europe","Sweden","(November PY in millions - January AC In  millions)%","-0.8200934579439252"
"Europe","Sweden","November AC In  millions - January AC In  millions","-342000"
"Europe","Sweden","(November AC In  millions - January AC In  millions)%","-0.7990654205607477"
"Europe","Sweden","November AC In  millions - November PY in millions","9000"
"Europe","Sweden","(November AC In  millions - November PY in millions)%","0.11688311688311687"
"Europe","Switzerland","January AC In  millions","432000"
"Europe","Switzerland","November PY in millions","61000"
"Europe","Switzerland","November AC In  millions","66000"
"Europe","Switzerland","January PY in millions","243000"
"Europe","Switzerland","January PY in millions - January AC In  millions","-189000"
"Europe","Switzerland","(January PY in millions - January AC In  millions)%","-0.4375"
"Europe","Switzerland","January PY in millions - November PY in millions","182000"
"Europe","Switzerland","(January PY in millions - November PY in millions)%","2.9836065573770494"
"Europe","Switzerland","January PY in millions - November AC In  millions","177000"
"Europe","Switzerland","(January PY in millions - November AC In  millions)%","2.6818181818181817"
"Europe","Switzerland","November PY in millions - January AC In  millions","-371000"
"Europe","Switzerland","(November PY in millions - January AC In  millions)%","-0.8587962962962963"
"Europe","Switzerland","November AC In  millions - January AC In  millions","-366000"
"Europe","Switzerland","(November AC In  millions - January AC In  millions)%","-0.8472222222222221"
"Europe","Switzerland","November AC In  millions - November PY in millions","5000"
"Europe","Switzerland","(November AC In  millions - November PY in millions)%","0.08196721311475409"
"Rest of the world","Australia","January AC In  millions","226000"
"Rest of the world","Australia","November PY in millions","54000"
"Rest of the world","Australia","November AC In  millions","62000"
"Rest of the world","Australia","January PY in millions","313000"
"Rest of the world","Australia","January PY in millions - January AC In  millions","87000"
"Rest of the world","Australia","(January PY in millions - January AC In  millions)%","0.38495575221238937"
"Rest of the world","Australia","January PY in millions - November PY in millions","259000"
"Rest of the world","Australia","(January PY in millions - November PY in millions)%","4.796296296296297"
"Rest of the world","Australia","January PY in millions - November AC In  millions","251000"
"Rest of the world","Australia","(January PY in millions - November AC In  millions)%","4.048387096774194"
"Rest of the world","Australia","November PY in millions - January AC In  millions","-172000"
"Rest of the world","Australia","(November PY in millions - January AC In  millions)%","-0.7610619469026548"
"Rest of the world","Australia","November AC In  millions - January AC In  millions","-164000"
"Rest of the world","Australia","(November AC In  millions - January AC In  millions)%","-0.7256637168141593"
"Rest of the world","Australia","November AC In  millions - November PY in millions","8000"
"Rest of the world","Australia","(November AC In  millions - November PY in millions)%","0.14814814814814814"
"Rest of the world","China","January AC In  millions","268000"
