Orders.Order Date.Variation.Date Hierarchy.Year,Orders.Order Date.Variation.Date Hierarchy.Quarter,Orders.Category,Orders.Sub-Category,Sum(Orders.Quantity)
2014,Qtr 1,Furniture,Bookcases,33
2014,Qtr 2,Furniture,Bookcases,21
2014,Qtr 3,Furniture,Bookcases,37
2014,Qtr 4,Furniture,Bookcases,62
2015,Qtr 1,Furniture,Bookcases,36
2015,Qtr 2,Furniture,Bookcases,32
2015,Qtr 3,Furniture,Bookcases,89
2015,Qtr 4,Furniture,Bookcases,85
2016,Qtr 1,Furniture,Bookcases,31
2016,Qtr 2,Furniture,Bookcases,36
2016,Qtr 3,Furniture,Bookcases,67
2016,Qtr 4,Furniture,Bookcases,63
2017,Qtr 1,Furniture,Bookcases,27
2017,Qtr 2,Furniture,Bookcases,113
2017,Qtr 3,Furniture,Bookcases,43
2017,Qtr 4,Furniture,Bookcases,93
2014,Qtr 1,Furniture,Chairs,75
2014,Qtr 2,Furniture,Chairs,90
2014,Qtr 3,Furniture,Chairs,136
2014,Qtr 4,Furniture,Chairs,239
2015,Qtr 1,Furniture,Chairs,71
2015,Qtr 2,Furniture,Chairs,101
2015,Qtr 3,Furniture,Chairs,133
2015,Qtr 4,Furniture,Chairs,223
2016,Qtr 1,Furniture,Chairs,79
2016,Qtr 2,Furniture,Chairs,128
2016,Qtr 3,Furniture,Chairs,155
2016,Qtr 4,Furniture,Chairs,252
2017,Qtr 1,Furniture,Chairs,67
2017,Qtr 2,Furniture,Chairs,143
2017,Qtr 3,Furniture,Chairs,196
2017,Qtr 4,Furniture,Chairs,268
2014,Qtr 1,Furniture,Furnishings,79
2014,Qtr 2,Furniture,Furnishings,112
2014,Qtr 3,Furniture,Furnishings,192
2014,Qtr 4,Furniture,Furnishings,277
2015,Qtr 1,Furniture,Furnishings,98
2015,Qtr 2,Furniture,Furnishings,188
2015,Qtr 3,Furniture,Furnishings,188
2015,Qtr 4,Furniture,Furnishings,296
2016,Qtr 1,Furniture,Furnishings,172
