Category,Sub-Category,Region,Segment,Value Column Name,Value
"Technology","Copiers","Central","Consumer","Quantity","14"
"Technology","Copiers","Central","Consumer","PL","2786"
"Technology","Copiers","Central","Consumer","FC","1535"
"Technology","Copiers","Central","Consumer","Profit","1482.9616"
"Technology","Copiers","Central","Consumer","Profit - Quantity","1468.9616"
"Technology","Copiers","Central","Consumer","(Profit - Quantity)%","104.92582857142857"
"Technology","Copiers","Central","Consumer","Profit - PL","-1303.0384"
"Technology","Copiers","Central","Consumer","(Profit - PL)%","-0.4677094041636755"
"Technology","Copiers","Central","Consumer","Profit - FC","-52.03839999999991"
"Technology","Copiers","Central","Consumer","(Profit - FC)%","-0.033901237785016226"
"Technology","Copiers","Central","Consumer","PL - Quantity","2772"
"Technology","Copiers","Central","Consumer","(PL - Quantity)%","198"
"Technology","Copiers","Central","Consumer","FC - Quantity","1521"
"Technology","Copiers","Central","Consumer","(FC - Quantity)%","108.64285714285714"
"Technology","Copiers","Central","Consumer","FC - PL","-1251"
"Technology","Copiers","Central","Consumer","(FC - PL)%","-0.44903086862885855"
"Technology","Copiers","Central","Corporate","Quantity","29"
"Technology","Copiers","Central","Corporate","PL","2786"
"Technology","Copiers","Central","Corporate","FC","1535"
"Technology","Copiers","Central","Corporate","Profit","12789.9043"
"Technology","Copiers","Central","Corporate","Profit - Quantity","12760.9043"
"Technology","Copiers","Central","Corporate","(Profit - Quantity)%","440.03118275862073"
"Technology","Copiers","Central","Corporate","Profit - PL","10003.9043"
"Technology","Copiers","Central","Corporate","(Profit - PL)%","3.590776848528356"
"Technology","Copiers","Central","Corporate","Profit - FC","11254.9043"
"Technology","Copiers","Central","Corporate","(Profit - FC)%","7.332185211726385"
"Technology","Copiers","Central","Corporate","PL - Quantity","2757"
"Technology","Copiers","Central","Corporate","(PL - Quantity)%","95.06896551724138"
"Technology","Copiers","Central","Corporate","FC - Quantity","1506"
"Technology","Copiers","Central","Corporate","(FC - Quantity)%","51.931034482758626"
"Technology","Copiers","Central","Corporate","FC - PL","-1251"
"Technology","Copiers","Central","Corporate","(FC - PL)%","-0.44903086862885855"
"Technology","Copiers","Central","Home Office","Quantity","6"
"Technology","Copiers","Central","Home Office","PL","2786"
"Technology","Copiers","Central","Home Office","FC","1535"
"Technology","Copiers","Central","Home Office","Profit","1335.9754"
"Technology","Copiers","Central","Home Office","Profit - Quantity","1329.9754"
"Technology","Copiers","Central","Home Office","(Profit - Quantity)%","221.6625666666667"
"Technology","Copiers","Central","Home Office","Profit - PL","-1450.0246"
"Technology","Copiers","Central","Home Office","(Profit - PL)%","-0.5204682699210337"
"Technology","Copiers","Central","Home Office","Profit - FC","-199.02459999999996"
"Technology","Copiers","Central","Home Office","(Profit - FC)%","-0.1296577198697068"
"Technology","Copiers","Central","Home Office","PL - Quantity","2780"
"Technology","Copiers","Central","Home Office","(PL - Quantity)%","463.33333333333326"
"Technology","Copiers","Central","Home Office","FC - Quantity","1529"
"Technology","Copiers","Central","Home Office","(FC - Quantity)%","254.83333333333337"
"Technology","Copiers","Central","Home Office","FC - PL","-1251"
"Technology","Copiers","Central","Home Office","(FC - PL)%","-0.44903086862885855"
"Technology","Copiers","East","Consumer","Quantity","43"
"Technology","Copiers","East","Consumer","PL","2786"
"Technology","Copiers","East","Consumer","FC","1535"
"Technology","Copiers","East","Consumer","Profit","8657.9325"
"Technology","Copiers","East","Consumer","Profit - Quantity","8614.9325"
"Technology","Copiers","East","Consumer","(Profit - Quantity)%","200.34726744186048"
"Technology","Copiers","East","Consumer","Profit - PL","5871.932500000001"
"Technology","Copiers","East","Consumer","(Profit - PL)%","2.1076570351758797"
"Technology","Copiers","East","Consumer","Profit - FC","7122.932500000001"
"Technology","Copiers","East","Consumer","(Profit - FC)%","4.64034690553746"
"Technology","Copiers","East","Consumer","PL - Quantity","2743"
"Technology","Copiers","East","Consumer","(PL - Quantity)%","63.79069767441861"
"Technology","Copiers","East","Consumer","FC - Quantity","1492"
"Technology","Copiers","East","Consumer","(FC - Quantity)%","34.69767441860465"
"Technology","Copiers","East","Consumer","FC - PL","-1251"
"Technology","Copiers","East","Consumer","(FC - PL)%","-0.44903086862885855"
"Technology","Copiers","East","Corporate","Quantity","11"
"Technology","Copiers","East","Corporate","PL","2786"
"Technology","Copiers","East","Corporate","FC","1535"
"Technology","Copiers","East","Corporate","Profit","1134.9765"
"Technology","Copiers","East","Corporate","Profit - Quantity","1123.9765"
"Technology","Copiers","East","Corporate","(Profit - Quantity)%","102.17968181818182"
"Technology","Copiers","East","Corporate","Profit - PL","-1651.0235"
"Technology","Copiers","East","Corporate","(Profit - PL)%","-0.5926143216080402"
"Technology","Copiers","East","Corporate","Profit - FC","-400.0235"
"Technology","Copiers","East","Corporate","(Profit - FC)%","-0.2606016286644951"
"Technology","Copiers","East","Corporate","PL - Quantity","2775"
"Technology","Copiers","East","Corporate","(PL - Quantity)%","252.27272727272728"
"Technology","Copiers","East","Corporate","FC - Quantity","1524"
"Technology","Copiers","East","Corporate","(FC - Quantity)%","138.54545454545453"
"Technology","Copiers","East","Corporate","FC - PL","-1251"
"Technology","Copiers","East","Corporate","(FC - PL)%","-0.44903086862885855"
"Technology","Copiers","East","Home Office","Quantity","17"
"Technology","Copiers","East","Home Office","PL","2786"
"Technology","Copiers","East","Home Office","FC","1535"
"Technology","Copiers","East","Home Office","Profit","7229.9328"
"Technology","Copiers","East","Home Office","Profit - Quantity","7212.9328"
"Technology","Copiers","East","Home Office","(Profit - Quantity)%","424.2901647058823"
"Technology","Copiers","East","Home Office","Profit - PL","4443.9328"
"Technology","Copiers","East","Home Office","(Profit - PL)%","1.595094328786791"
"Technology","Copiers","East","Home Office","Profit - FC","5694.9328"
"Technology","Copiers","East","Home Office","(Profit - FC)%","3.710053941368078"
"Technology","Copiers","East","Home Office","PL - Quantity","2769"
"Technology","Copiers","East","Home Office","(PL - Quantity)%","162.88235294117646"
"Technology","Copiers","East","Home Office","FC - Quantity","1518"
"Technology","Copiers","East","Home Office","(FC - Quantity)%","89.29411764705883"
"Technology","Copiers","East","Home Office","FC - PL","-1251"
"Technology","Copiers","East","Home Office","(FC - PL)%","-0.44903086862885855"
"Technology","Copiers","South","Consumer","Quantity","14"
"Technology","Copiers","South","Consumer","PL","2786"
"Technology","Copiers","South","Consumer","FC","1535"
"Technology","Copiers","South","Consumer","Profit","1783.9452"
"Technology","Copiers","South","Consumer","Profit - Quantity","1769.9452"
"Technology","Copiers","South","Consumer","(Profit - Quantity)%","126.42465714285716"
"Technology","Copiers","South","Consumer","Profit - PL","-1002.0547999999999"
