Orders.Order Date.Variation.Date Hierarchy.Year,Orders.Country,Orders.Order Date.Variation.Date Hierarchy.Quarter,Orders.Region,Sum(Orders.Sales)
2014,United States,Qtr 1,Central,8600.681999999999
2015,United States,Qtr 1,Central,11768.365600000003
2016,United States,Qtr 1,Central,20211.696999999996
2017,United States,Qtr 1,Central,40530.057199999974
2014,United States,Qtr 1,East,6579.338000000001
2015,United States,Qtr 1,East,17145.868000000002
2016,United States,Qtr 1,East,24774.764999999996
2017,United States,Qtr 1,East,18051.76199999999
2014,United States,Qtr 1,South,44262.19899999999
2015,United States,Qtr 1,South,16444.443
2016,United States,Qtr 1,South,23933.704
2017,United States,Qtr 1,South,13642.182000000004
2014,United States,Qtr 1,West,15005.576999999997
2015,United States,Qtr 1,West,23493.062000000005
2016,United States,Qtr 1,West,24317.014999999996
2017,United States,Qtr 1,West,50920.85899999998
2014,United States,Qtr 2,Central,17407.144599999996
2015,United States,Qtr 2,Central,23979.14500000001
2016,United States,Qtr 2,Central,25759.464999999986
2017,United States,Qtr 2,Central,27938.73899999998
2014,United States,Qtr 2,East,21064.16499999999
2015,United States,Qtr 2,East,22703.208000000006
2016,United States,Qtr 2,East,52166.65700000001
2017,United States,Qtr 2,East,31511.499999999978
2014,United States,Qtr 2,South,22524.102999999985
2015,United States,Qtr 2,South,16254.204500000007
2016,United States,Qtr 2,South,18381.82799999999
2017,United States,Qtr 2,South,29325.41450000001
2014,United States,Qtr 2,West,25543.347000000005
2015,United States,Qtr 2,West,26187.62949999999
2016,United States,Qtr 2,West,39774.351
2017,United States,Qtr 2,West,44988.71849999997
2014,United States,Qtr 3,Central,44171.44680000001
2015,United States,Qtr 3,Central,24485.538200000006
2016,United States,Qtr 3,Central,33380.2242
2017,United States,Qtr 3,Central,32468.946999999993
2014,United States,Qtr 3,East,33443.38299999999
2015,United States,Qtr 3,East,50777.42300000003
2016,United States,Qtr 3,East,38051.64599999999
2017,United States,Qtr 3,East,65496.38700000001
2014,United States,Qtr 3,South,16061.061499999996
2015,United States,Qtr 3,South,21459.504999999997
2016,United States,Qtr 3,South,21635.88050000001
2017,United States,Qtr 3,South,23874.15199999998
2014,United States,Qtr 3,West,49957.321
2015,United States,Qtr 3,West,33537.10899999998
2016,United States,Qtr 3,West,50719.61149999994
2017,United States,Qtr 3,West,74412.46999999993
2014,United States,Qtr 4,Central,33658.8912
2015,United States,Qtr 4,Central,42641.173199999976
2016,United States,Qtr 4,Central,68077.98980000002
2017,United States,Qtr 4,Central,46160.38499999996
2014,United States,Qtr 4,East,67593.57099999994
2015,United States,Qtr 4,East,65705.55799999998
2016,United States,Qtr 4,East,65692.754
2017,United States,Qtr 4,East,98023.25499999999
2014,United States,Qtr 4,South,20998.479999999996
2015,United States,Qtr 4,South,17201.828
2016,United States,Qtr 4,South,29658.81099999999
2017,United States,Qtr 4,South,56064.10899999995
2014,United States,Qtr 4,West,57376.78799999995
2015,United States,Qtr 4,West,56748.44899999995
2016,United States,Qtr 4,West,72669.19899999996
2017,United States,Qtr 4,West,79806.31799999998
