Date.Fiscal Year,Sales Territory.Country,Product.Products.Category,Product.Products.Subcategory,Product.Products.Model,Sum(Sales.Order Quantity),Sum(Sales.Sales Amount)
FY2019,Germany,Clothing,Socks,Racing Socks,1,8.99
FY2020,Germany,Clothing,Socks,Racing Socks,124,777.1855
FY2019,Germany,Clothing,Caps,Cycling Cap,6,53.94
FY2020,Germany,Clothing,Caps,Cycling Cap,549,3866.029
FY2019,Germany,Clothing,Shorts,Women's Mountain Shorts,,
FY2020,Germany,Clothing,Shorts,Women's Mountain Shorts,182,7657.368
FY2019,Germany,Clothing,Gloves,Half-Finger Gloves,3,73.47
FY2020,Germany,Clothing,Gloves,Half-Finger Gloves,464,7622.2872
FY2019,Germany,Clothing,Vests,Classic Vest,3,190.5
FY2020,Germany,Clothing,Vests,Classic Vest,615,22859.924
FY2019,Germany,Clothing,Jerseys,Long-Sleeve Logo Jersey,9,449.91
FY2020,Germany,Clothing,Jerseys,Long-Sleeve Logo Jersey,722,24809.9421
FY2019,Germany,Clothing,Jerseys,Short-Sleeve Classic Jersey,6,323.94
FY2020,Germany,Clothing,Jerseys,Short-Sleeve Classic Jersey,768,26491.349
FY2019,Germany,Accessories,Cleaners,Bike Wash,,
FY2020,Germany,Accessories,Cleaners,Bike Wash,249,1378.689
FY2019,Germany,Accessories,Bike Stands,All-Purpose Bike Stand,,
FY2020,Germany,Accessories,Bike Stands,All-Purpose Bike Stand,20,3180
FY2019,Germany,Accessories,Fenders,Fender Set - Mountain,3,65.94
FY2020,Germany,Accessories,Fenders,Fender Set - Mountain,158,3472.84
FY2019,Germany,Accessories,Bottles and Cages,Road Bottle Cage,12,107.88
FY2020,Germany,Accessories,Bottles and Cages,Road Bottle Cage,164,1474.36
FY2019,Germany,Accessories,Bottles and Cages,Mountain Bottle Cage,9,89.91
FY2020,Germany,Accessories,Bottles and Cages,Mountain Bottle Cage,178,1778.22
FY2019,Germany,Accessories,Bottles and Cages,Water Bottle,18,89.82
FY2020,Germany,Accessories,Bottles and Cages,Water Bottle,659,2675.9644
FY2019,Germany,Accessories,Hydration Packs,Hydration Pack,2,109.98
FY2020,Germany,Accessories,Hydration Packs,Hydration Pack,257,9030.5127
FY2019,Germany,Accessories,Bike Racks,Hitch Rack - 4-Bike,1,120
FY2020,Germany,Accessories,Bike Racks,Hitch Rack - 4-Bike,245,17985.984
FY2019,Germany,Accessories,Tires and Tubes,Patch kit,5,11.45
FY2020,Germany,Accessories,Tires and Tubes,Patch kit,306,638.4996
FY2019,Germany,Accessories,Tires and Tubes,Touring Tire Tube,2,9.98
FY2020,Germany,Accessories,Tires and Tubes,Touring Tire Tube,183,913.17
FY2019,Germany,Accessories,Tires and Tubes,Mountain Tire Tube,,
FY2020,Germany,Accessories,Tires and Tubes,Mountain Tire Tube,188,938.12
FY2019,Germany,Accessories,Tires and Tubes,Road Tire Tube,7,27.93
FY2020,Germany,Accessories,Tires and Tubes,Road Tire Tube,270,1077.3
FY2019,Germany,Accessories,Tires and Tubes,HL Road Tire,7,228.2
FY2020,Germany,Accessories,Tires and Tubes,HL Road Tire,30,978
FY2019,Germany,Accessories,Tires and Tubes,LL Mountain Tire,,
FY2020,Germany,Accessories,Tires and Tubes,LL Mountain Tire,72,1799.28
FY2019,Germany,Accessories,Tires and Tubes,ML Road Tire,,
FY2020,Germany,Accessories,Tires and Tubes,ML Road Tire,89,2224.11
FY2019,Germany,Accessories,Tires and Tubes,ML Mountain Tire,,
FY2020,Germany,Accessories,Tires and Tubes,ML Mountain Tire,87,2609.13
FY2019,Germany,Accessories,Tires and Tubes,HL Mountain Tire,1,35
FY2020,Germany,Accessories,Tires and Tubes,HL Mountain Tire,77,2695
FY2019,Germany,Accessories,Tires and Tubes,LL Road Tire,3,64.47
FY2020,Germany,Accessories,Tires and Tubes,LL Road Tire,150,3223.5
FY2019,Germany,Accessories,Tires and Tubes,Touring Tire,2,57.98
FY2020,Germany,Accessories,Tires and Tubes,Touring Tire,118,3420.82
FY2019,Germany,Accessories,Helmets,Sport-100,23,804.77
FY2020,Germany,Accessories,Helmets,Sport-100,1214,33998.8454
FY2019,Germany,Components,Chains,Chain,,
FY2020,Germany,Components,Chains,Chain,43,522.192
FY2019,Germany,Components,Bottom Brackets,LL Bottom Bracket,,
FY2020,Germany,Components,Bottom Brackets,LL Bottom Bracket,17,550.698
FY2019,Germany,Components,Bottom Brackets,HL Bottom Bracket,,
FY2020,Germany,Components,Bottom Brackets,HL Bottom Bracket,28,2041.032
FY2019,Germany,Components,Brakes,Rear Brakes,,
FY2020,Germany,Components,Brakes,Rear Brakes,18,1150.2
FY2019,Germany,Components,Brakes,Front Brakes,,
FY2020,Germany,Components,Brakes,Front Brakes,28,1789.2
FY2019,Germany,Components,Saddles,HL Road Seat/Saddle 2,,
FY2020,Germany,Components,Saddles,HL Road Seat/Saddle 2,2,63.168
FY2019,Germany,Components,Saddles,LL Mountain Seat/Saddle 2,,
FY2020,Germany,Components,Saddles,LL Mountain Seat/Saddle 2,9,146.448
FY2019,Germany,Components,Saddles,LL Touring Seat/Saddle,,
FY2020,Germany,Components,Saddles,LL Touring Seat/Saddle,9,146.448
FY2019,Germany,Components,Saddles,ML Mountain Seat/Saddle 2,,
FY2020,Germany,Components,Saddles,ML Mountain Seat/Saddle 2,11,258.324
FY2019,Germany,Components,Saddles,ML Touring Seat/Saddle,,
FY2020,Germany,Components,Saddles,ML Touring Seat/Saddle,13,305.292
FY2019,Germany,Components,Saddles,HL Mountain Seat/Saddle 2,,
FY2020,Germany,Components,Saddles,HL Mountain Seat/Saddle 2,13,410.592
FY2019,Germany,Components,Saddles,HL Touring Seat/Saddle,,
FY2020,Germany,Components,Saddles,HL Touring Seat/Saddle,61,1926.624
FY2019,Germany,Components,Derailleurs,Rear Derailleur,,
FY2020,Germany,Components,Derailleurs,Rear Derailleur,12,874.512
FY2019,Germany,Components,Derailleurs,Front Derailleur,,
FY2020,Germany,Components,Derailleurs,Front Derailleur,45,2470.23
FY2019,Germany,Components,Pedals,LL Road Pedal,,
FY2020,Germany,Components,Pedals,LL Road Pedal,9,218.646
FY2019,Germany,Components,Pedals,LL Mountain Pedal,,
FY2020,Germany,Components,Pedals,LL Mountain Pedal,10,242.94
FY2019,Germany,Components,Pedals,ML Mountain Pedal,,
FY2020,Germany,Components,Pedals,ML Mountain Pedal,8,298.032
FY2019,Germany,Components,Pedals,HL Road Pedal,,
FY2020,Germany,Components,Pedals,HL Road Pedal,9,437.346
FY2019,Germany,Components,Pedals,ML Road Pedal,,
FY2020,Germany,Components,Pedals,ML Road Pedal,12,447.048
FY2019,Germany,Components,Pedals,Touring Pedal,,
FY2020,Germany,Components,Pedals,Touring Pedal,25,1214.85
FY2019,Germany,Components,Pedals,HL Mountain Pedal,,
FY2020,Germany,Components,Pedals,HL Mountain Pedal,30,1457.82
FY2019,Germany,Components,Handlebars,LL Touring Handlebars,,
FY2020,Germany,Components,Handlebars,LL Touring Handlebars,6,165.924
FY2019,Germany,Components,Handlebars,LL Road Handlebars,,
FY2020,Germany,Components,Handlebars,LL Road Handlebars,7,187.068
FY2019,Germany,Components,Handlebars,HL Mountain Handlebars,,
FY2020,Germany,Components,Handlebars,HL Mountain Handlebars,5,360.81
