Region,Country,Year,Value Column Name,Value
"Americas","USA","2017","PY","293000"
"Americas","USA","2017","BU","362000"
"Americas","USA","2017","AC","359000"
"Americas","USA","2017","AC - PY","66000"
"Americas","USA","2017","(AC - PY)%","0.22525597269624573"
"Americas","USA","2017","AC - BU","-3000"
"Americas","USA","2017","(AC - BU)%","-0.008287292817679558"
"Americas","USA","2017","BU - PY","69000"
"Americas","USA","2017","(BU - PY)%","0.2354948805460751"
"Americas","USA","2017","Running Total of AC - PY","66000"
"Americas","USA","2017","% Cont. of AC","0.38685344827586204"
"Americas","USA","2018","PY","341000"
"Americas","USA","2018","BU","317000"
"Americas","USA","2018","AC","275000"
"Americas","USA","2018","AC - PY","-66000"
"Americas","USA","2018","(AC - PY)%","-0.1935483870967742"
"Americas","USA","2018","AC - BU","-42000"
"Americas","USA","2018","(AC - BU)%","-0.13249211356466878"
"Americas","USA","2018","BU - PY","-24000"
"Americas","USA","2018","(BU - PY)%","-0.07038123167155426"
"Americas","USA","2018","Running Total of AC - PY","-66000"
"Americas","USA","2018","% Cont. of AC","0.3052164261931188"
"Americas","USA","2019","PY","286000"
"Americas","USA","2019","BU","208000"
"Americas","USA","2019","AC","321000"
"Americas","USA","2019","AC - PY","35000"
"Americas","USA","2019","(AC - PY)%","0.12237762237762238"
"Americas","USA","2019","AC - BU","113000"
"Americas","USA","2019","(AC - BU)%","0.5432692307692307"
"Americas","USA","2019","BU - PY","-78000"
"Americas","USA","2019","(BU - PY)%","-0.2727272727272727"
"Americas","USA","2019","Running Total of AC - PY","35000"
"Americas","USA","2019","% Cont. of AC","0.3060057197330791"
"Americas","Brazil","2017","PY","297000"
"Americas","Brazil","2017","BU","379000"
"Americas","Brazil","2017","AC","233000"
"Americas","Brazil","2017","AC - PY","-64000"
"Americas","Brazil","2017","(AC - PY)%","-0.21548821548821548"
"Americas","Brazil","2017","AC - BU","-146000"
"Americas","Brazil","2017","(AC - BU)%","-0.38522427440633245"
"Americas","Brazil","2017","BU - PY","82000"
"Americas","Brazil","2017","(BU - PY)%","0.2760942760942761"
"Americas","Brazil","2017","Running Total of AC - PY","2000"
"Americas","Brazil","2017","% Cont. of AC","0.2510775862068966"
"Americas","Brazil","2018","PY","-44000"
"Americas","Brazil","2018","BU","323000"
"Americas","Brazil","2018","AC","280000"
"Americas","Brazil","2018","AC - PY","324000"
"Americas","Brazil","2018","(AC - PY)%","7.363636363636363"
"Americas","Brazil","2018","AC - BU","-43000"
"Americas","Brazil","2018","(AC - BU)%","-0.13312693498452013"
"Americas","Brazil","2018","BU - PY","367000"
"Americas","Brazil","2018","(BU - PY)%","8.340909090909092"
"Americas","Brazil","2018","Running Total of AC - PY","258000"
"Americas","Brazil","2018","% Cont. of AC","0.31076581576026635"
"Americas","Brazil","2019","PY","238000"
"Americas","Brazil","2019","BU","276000"
"Americas","Brazil","2019","AC","367000"
"Americas","Brazil","2019","AC - PY","129000"
"Americas","Brazil","2019","(AC - PY)%","0.542016806722689"
"Americas","Brazil","2019","AC - BU","91000"
"Americas","Brazil","2019","(AC - BU)%","0.32971014492753625"
"Americas","Brazil","2019","BU - PY","38000"
"Americas","Brazil","2019","(BU - PY)%","0.15966386554621848"
"Americas","Brazil","2019","Running Total of AC - PY","164000"
"Americas","Brazil","2019","% Cont. of AC","0.349857006673022"
"Americas","Canada","2017","PY","208000"
"Americas","Canada","2017","BU","242000"
"Americas","Canada","2017","AC","239000"
"Americas","Canada","2017","AC - PY","31000"
"Americas","Canada","2017","(AC - PY)%","0.14903846153846154"
"Americas","Canada","2017","AC - BU","-3000"
"Americas","Canada","2017","(AC - BU)%","-0.012396694214876033"
"Americas","Canada","2017","BU - PY","34000"
"Americas","Canada","2017","(BU - PY)%","0.16346153846153846"
"Americas","Canada","2017","Running Total of AC - PY","33000"
"Americas","Canada","2017","% Cont. of AC","0.25754310344827586"
"Americas","Canada","2018","PY","-18000"
"Americas","Canada","2018","BU","237000"
"Americas","Canada","2018","AC","279000"
"Americas","Canada","2018","AC - PY","297000"
"Americas","Canada","2018","(AC - PY)%","16.5"
"Americas","Canada","2018","AC - BU","42000"
"Americas","Canada","2018","(AC - BU)%","0.1772151898734177"
"Americas","Canada","2018","BU - PY","255000"
"Americas","Canada","2018","(BU - PY)%","14.166666666666664"
"Americas","Canada","2018","Running Total of AC - PY","555000"
"Americas","Canada","2018","% Cont. of AC","0.30965593784683687"
"Americas","Canada","2019","PY","232000"
"Americas","Canada","2019","BU","277000"
"Americas","Canada","2019","AC","236000"
"Americas","Canada","2019","AC - PY","4000"
"Americas","Canada","2019","(AC - PY)%","0.017241379310344827"
"Americas","Canada","2019","AC - BU","-41000"
"Americas","Canada","2019","(AC - BU)%","-0.148014440433213"
"Americas","Canada","2019","BU - PY","45000"
"Americas","Canada","2019","(BU - PY)%","0.19396551724137934"
"Americas","Canada","2019","Running Total of AC - PY","168000"
"Americas","Canada","2019","% Cont. of AC","0.224976167778837"
"Americas","Other","2017","PY","111000"
"Americas","Other","2017","BU","133000"
"Americas","Other","2017","AC","97000"
"Americas","Other","2017","AC - PY","-14000"
"Americas","Other","2017","(AC - PY)%","-0.12612612612612611"
"Americas","Other","2017","AC - BU","-36000"
"Americas","Other","2017","(AC - BU)%","-0.2706766917293233"
"Americas","Other","2017","BU - PY","22000"
"Americas","Other","2017","(BU - PY)%","0.1981981981981982"
"Americas","Other","2017","Running Total of AC - PY","19000"
"Americas","Other","2017","% Cont. of AC","0.10452586206896551"
"Americas","Other","2018","PY","93000"
