Orders.Order Date	Orders.Category	Orders.Sub-Category	Sum(Orders.Profit)	Sum(Orders.Sales)
Friday, January 03, 2014	Furniture	Bookcases		
Saturday, January 04, 2014	Furniture	Bookcases		
Sunday, January 05, 2014	Furniture	Bookcases		
Monday, January 06, 2014	Furniture	Bookcases		
Tuesday, January 07, 2014	Furniture	Bookcases		
Thursday, January 09, 2014	Furniture	Bookcases		
Friday, January 10, 2014	Furniture	Bookcases		
Saturday, January 11, 2014	Furniture	Bookcases		
Monday, January 13, 2014	Furniture	Bookcases	3.9294	333.999
Tuesday, January 14, 2014	Furniture	Bookcases	-53.2856	61.96
Wednesday, January 15, 2014	Furniture	Bookcases		
Thursday, January 16, 2014	Furniture	Bookcases		
Saturday, January 18, 2014	Furniture	Bookcases		
Sunday, January 19, 2014	Furniture	Bookcases	-320.597	181.47
Monday, January 20, 2014	Furniture	Bookcases		
Tuesday, January 21, 2014	Furniture	Bookcases		
Thursday, January 23, 2014	Furniture	Bookcases		
Sunday, January 26, 2014	Furniture	Bookcases	39.7488	141.96
Monday, January 27, 2014	Furniture	Bookcases		
Tuesday, January 28, 2014	Furniture	Bookcases		
Thursday, January 30, 2014	Furniture	Bookcases		
Friday, January 31, 2014	Furniture	Bookcases	3.4196	290.666
Saturday, February 01, 2014	Furniture	Bookcases		
Sunday, February 02, 2014	Furniture	Bookcases		
Monday, February 03, 2014	Furniture	Bookcases		
Tuesday, February 04, 2014	Furniture	Bookcases		
Thursday, February 06, 2014	Furniture	Bookcases		
Friday, February 07, 2014	Furniture	Bookcases		
Saturday, February 08, 2014	Furniture	Bookcases		
Tuesday, February 11, 2014	Furniture	Bookcases		
Wednesday, February 12, 2014	Furniture	Bookcases		
Friday, February 14, 2014	Furniture	Bookcases		
Saturday, February 15, 2014	Furniture	Bookcases		
Sunday, February 16, 2014	Furniture	Bookcases		
Monday, February 17, 2014	Furniture	Bookcases		
Tuesday, February 18, 2014	Furniture	Bookcases		
Thursday, February 20, 2014	Furniture	Bookcases		
Friday, February 21, 2014	Furniture	Bookcases		
Saturday, February 22, 2014	Furniture	Bookcases		
Sunday, February 23, 2014	Furniture	Bookcases		
Monday, February 24, 2014	Furniture	Bookcases		
Thursday, February 27, 2014	Furniture	Bookcases		
Saturday, March 01, 2014	Furniture	Bookcases		
Sunday, March 02, 2014	Furniture	Bookcases		
Monday, March 03, 2014	Furniture	Bookcases	-199.617	302.45
Tuesday, March 04, 2014	Furniture	Bookcases		
Wednesday, March 05, 2014	Furniture	Bookcases		
Friday, March 07, 2014	Furniture	Bookcases		
Monday, March 10, 2014	Furniture	Bookcases		
Tuesday, March 11, 2014	Furniture	Bookcases		
Friday, March 14, 2014	Furniture	Bookcases		
Saturday, March 15, 2014	Furniture	Bookcases		
Sunday, March 16, 2014	Furniture	Bookcases		
Monday, March 17, 2014	Furniture	Bookcases		
Tuesday, March 18, 2014	Furniture	Bookcases	70.49	1198.33
Wednesday, March 19, 2014	Furniture	Bookcases		
Friday, March 21, 2014	Furniture	Bookcases		
Saturday, March 22, 2014	Furniture	Bookcases		
Sunday, March 23, 2014	Furniture	Bookcases		
Monday, March 24, 2014	Furniture	Bookcases		
Friday, January 03, 2014	Furniture	Chairs		
Saturday, January 04, 2014	Furniture	Chairs		
Sunday, January 05, 2014	Furniture	Chairs		
Monday, January 06, 2014	Furniture	Chairs	746.4078	2573.82
Tuesday, January 07, 2014	Furniture	Chairs		
Thursday, January 09, 2014	Furniture	Chairs		
Friday, January 10, 2014	Furniture	Chairs		
Saturday, January 11, 2014	Furniture	Chairs		
Monday, January 13, 2014	Furniture	Chairs	87.3504	545.94
Tuesday, January 14, 2014	Furniture	Chairs		
Wednesday, January 15, 2014	Furniture	Chairs		
Thursday, January 16, 2014	Furniture	Chairs		
Saturday, January 18, 2014	Furniture	Chairs		
Sunday, January 19, 2014	Furniture	Chairs		
Monday, January 20, 2014	Furniture	Chairs	224.2674	1067.94
Tuesday, January 21, 2014	Furniture	Chairs		
Thursday, January 23, 2014	Furniture	Chairs		
Sunday, January 26, 2014	Furniture	Chairs		
Monday, January 27, 2014	Furniture	Chairs		
Tuesday, January 28, 2014	Furniture	Chairs		
Thursday, January 30, 2014	Furniture	Chairs		
Friday, January 31, 2014	Furniture	Chairs		
Saturday, February 01, 2014	Furniture	Chairs		
Sunday, February 02, 2014	Furniture	Chairs		
Monday, February 03, 2014	Furniture	Chairs		
Tuesday, February 04, 2014	Furniture	Chairs		
Thursday, February 06, 2014	Furniture	Chairs		
Friday, February 07, 2014	Furniture	Chairs		
Saturday, February 08, 2014	Furniture	Chairs		
Tuesday, February 11, 2014	Furniture	Chairs	15.2225	60.89
Wednesday, February 12, 2014	Furniture	Chairs	-24.294	129.568
Friday, February 14, 2014	Furniture	Chairs		
Saturday, February 15, 2014	Furniture	Chairs		
Sunday, February 16, 2014	Furniture	Chairs		
Monday, February 17, 2014	Furniture	Chairs		
Tuesday, February 18, 2014	Furniture	Chairs		
Thursday, February 20, 2014	Furniture	Chairs		
Friday, February 21, 2014	Furniture	Chairs		
Saturday, February 22, 2014	Furniture	Chairs		
Sunday, February 23, 2014	Furniture	Chairs		
Monday, February 24, 2014	Furniture	Chairs		
Thursday, February 27, 2014	Furniture	Chairs		
Saturday, March 01, 2014	Furniture	Chairs	-120.6408	1453.934
Sunday, March 02, 2014	Furniture	Chairs		
Monday, March 03, 2014	Furniture	Chairs		
Tuesday, March 04, 2014	Furniture	Chairs		
Wednesday, March 05, 2014	Furniture	Chairs		
Friday, March 07, 2014	Furniture	Chairs	81.4917	966.984
Monday, March 10, 2014	Furniture	Chairs		
Tuesday, March 11, 2014	Furniture	Chairs		
Friday, March 14, 2014	Furniture	Chairs	284.98	1139.92
Saturday, March 15, 2014	Furniture	Chairs		
Sunday, March 16, 2014	Furniture	Chairs		
Monday, March 17, 2014	Furniture	Chairs		
Tuesday, March 18, 2014	Furniture	Chairs		
Wednesday, March 19, 2014	Furniture	Chairs		
Friday, March 21, 2014	Furniture	Chairs	-10.9188	218.376
Saturday, March 22, 2014	Furniture	Chairs	-35.3646	314.352
Sunday, March 23, 2014	Furniture	Chairs		
Monday, March 24, 2014	Furniture	Chairs		
Friday, January 03, 2014	Furniture	Furnishings		
Saturday, January 04, 2014	Furniture	Furnishings		
Sunday, January 05, 2014	Furniture	Furnishings		
Monday, January 06, 2014	Furniture	Furnishings		
Tuesday, January 07, 2014	Furniture	Furnishings	-53.7096	76.728
Thursday, January 09, 2014	Furniture	Furnishings		
Friday, January 10, 2014	Furniture	Furnishings	21.2954	51.94
Saturday, January 11, 2014	Furniture	Furnishings	3.0814	9.94
Monday, January 13, 2014	Furniture	Furnishings		
Tuesday, January 14, 2014	Furniture	Furnishings		
Wednesday, January 15, 2014	Furniture	Furnishings		
Thursday, January 16, 2014	Furniture	Furnishings	28.5984	127.104
Saturday, January 18, 2014	Furniture	Furnishings		
Sunday, January 19, 2014	Furniture	Furnishings		
Monday, January 20, 2014	Furniture	Furnishings	52.2543	345.57
Tuesday, January 21, 2014	Furniture	Furnishings	4.1028	25.248
Thursday, January 23, 2014	Furniture	Furnishings		
Sunday, January 26, 2014	Furniture	Furnishings	35.253	75.24
Monday, January 27, 2014	Furniture	Furnishings		
Tuesday, January 28, 2014	Furniture	Furnishings		
