financials.Discount Band,financials.Country,Sum(financials. Sales),
High,United States of America,11140926.280000001,6257457.541250001
Low,United States of America,6273404.135000001,6257457.541250001
Medium,United States of America,7168350.749999999,6257457.541250001
None,United States of America,447149,6257457.541250001
High,Canada,8657237.659999998,6221913.7212499995
Low,Canada,6537899.370000001,6221913.7212499995
Medium,Canada,7865428.355,6221913.7212499995
None,Canada,1827089.5,6221913.7212499995
High,France,5865834.735,6088543.07
Low,France,5913163.185,6088543.07
Medium,France,10057889.36,6088543.07
None,France,2517285,6088543.07
High,Germany,4878794.360000001,5876335.205
Low,Germany,10316608.08,5876335.205
Medium,Germany,5824029.879999998,5876335.205
None,Germany,2485908.5,5876335.205
High,Mexico,6829693.690000001,5237338.0275
Low,Mexico,5588703.93,5237338.0275
Medium,Mexico,7864732.489999999,5237338.0275
None,Mexico,666222,5237338.0275
