15000.Date.Variation.Date Hierarchy.Year,15000.Date.Variation.Date Hierarchy.Quarter,15000.Date.Variation.Date Hierarchy.Month,Sum(15000.State Bottle Retail)
2014,Qtr 1,January,3953.12
2014,Qtr 2,January,
2014,Qtr 3,January,
2014,Qtr 4,January,
2014,Qtr 1,February,3520.6
2014,Qtr 2,February,
2014,Qtr 3,February,
2014,Qtr 4,February,
2014,Qtr 1,March,4590.33
2014,Qtr 2,March,
2014,Qtr 3,March,
2014,Qtr 4,March,
2014,Qtr 1,April,
2014,Qtr 2,April,4232.91
2014,Qtr 3,April,
2014,Qtr 4,April,
2014,Qtr 1,May,
2014,Qtr 2,May,5083.65
2014,Qtr 3,May,
2014,Qtr 4,May,
2014,Qtr 1,June,
2014,Qtr 2,June,4260.16
2014,Qtr 3,June,
2014,Qtr 4,June,
2014,Qtr 1,July,
2014,Qtr 2,July,
2014,Qtr 3,July,5557.06
2014,Qtr 4,July,
2014,Qtr 1,August,
2014,Qtr 2,August,
2014,Qtr 3,August,4490.65
2014,Qtr 4,August,
2014,Qtr 1,September,
2014,Qtr 2,September,
2014,Qtr 3,September,4959.24
2014,Qtr 4,September,
2014,Qtr 1,October,
2014,Qtr 2,October,
2014,Qtr 3,October,
2014,Qtr 4,October,5588.62
2014,Qtr 1,November,
2014,Qtr 2,November,
2014,Qtr 3,November,
2014,Qtr 4,November,4068.45
2014,Qtr 1,December,
2014,Qtr 2,December,
2014,Qtr 3,December,
2014,Qtr 4,December,6457.14
