Orders.Order Date.Variation.Date Hierarchy.Year,Orders.Category,Orders.Sub-Category,Orders.City,Orders.Country,Orders.Segment,Sum(Orders.Profit),Sum(Orders.Sales)
2014,Furniture,Bookcases,Amarillo,United States,Corporate,,
2015,Furniture,Bookcases,Amarillo,United States,Corporate,,
2016,Furniture,Bookcases,Amarillo,United States,Corporate,,
2017,Furniture,Bookcases,Amarillo,United States,Corporate,-36.235200000000006,205.33279999999996
2014,Furniture,Bookcases,Apple Valley,United States,Corporate,,
2015,Furniture,Bookcases,Apple Valley,United States,Corporate,,
2016,Furniture,Bookcases,Apple Valley,United States,Corporate,,
2017,Furniture,Bookcases,Apple Valley,United States,Corporate,210.73499999999993,1194.165
2014,Furniture,Bookcases,Arlington,United States,Consumer,,
2015,Furniture,Bookcases,Arlington,United States,Consumer,,
2016,Furniture,Bookcases,Arlington,United States,Consumer,,
2017,Furniture,Bookcases,Arlington,United States,Consumer,79.19339999999997,359.96999999999997
2014,Furniture,Bookcases,Arlington,United States,Home Office,,
2015,Furniture,Bookcases,Arlington,United States,Home Office,4.337199999999996,61.96
2016,Furniture,Bookcases,Arlington,United States,Home Office,,
2017,Furniture,Bookcases,Arlington,United States,Home Office,,
2014,Furniture,Bookcases,Atlanta,United States,Consumer,,
2015,Furniture,Bookcases,Atlanta,United States,Consumer,,
2016,Furniture,Bookcases,Atlanta,United States,Consumer,,
2017,Furniture,Bookcases,Atlanta,United States,Consumer,374.6285999999999,1628.82
2014,Furniture,Bookcases,Aurora,United States,Consumer,,
2015,Furniture,Bookcases,Aurora,United States,Consumer,-247.79879999999997,145.764
2016,Furniture,Bookcases,Aurora,United States,Consumer,,
2017,Furniture,Bookcases,Aurora,United States,Consumer,,
2014,Furniture,Bookcases,Bakersfield,United States,Consumer,,
2015,Furniture,Bookcases,Bakersfield,United States,Consumer,-13.797600000000017,195.466
2016,Furniture,Bookcases,Bakersfield,United States,Consumer,,
2017,Furniture,Bookcases,Bakersfield,United States,Consumer,,
2014,Furniture,Bookcases,Baltimore,United States,Consumer,,
2015,Furniture,Bookcases,Baltimore,United States,Consumer,,
2016,Furniture,Bookcases,Baltimore,United States,Consumer,31.044599999999974,344.94
2017,Furniture,Bookcases,Baltimore,United States,Consumer,,
2014,Furniture,Bookcases,Bethlehem,United States,Consumer,,
2015,Furniture,Bookcases,Bethlehem,United States,Consumer,,
2016,Furniture,Bookcases,Bethlehem,United States,Consumer,-78.078,177.45000000000002
2017,Furniture,Bookcases,Bethlehem,United States,Consumer,,
2014,Furniture,Bookcases,Brownsville,United States,Consumer,,
2015,Furniture,Bookcases,Brownsville,United States,Consumer,,
2016,Furniture,Bookcases,Brownsville,United States,Consumer,,
2017,Furniture,Bookcases,Brownsville,United States,Consumer,-14.458800000000025,327.73279999999994
