Orders.Order Date.Variation.Date Hierarchy.Year,Orders.Region,Orders.Sub-Category,Orders.Segment,Sum(Orders.Quantity)
2014,Central,Accessories,Consumer,80
2015,Central,Accessories,Consumer,84
2016,Central,Accessories,Consumer,106
2017,Central,Accessories,Consumer,122
2014,Central,Accessories,Corporate,42
2015,Central,Accessories,Corporate,29
2016,Central,Accessories,Corporate,62
2017,Central,Accessories,Corporate,62
2014,Central,Accessories,Home Office,17
2015,Central,Accessories,Home Office,35
2016,Central,Accessories,Home Office,37
2017,Central,Accessories,Home Office,40
2014,Central,Appliances,Consumer,54
2015,Central,Appliances,Consumer,67
2016,Central,Appliances,Consumer,24
2017,Central,Appliances,Consumer,102
2014,Central,Appliances,Corporate,20
2015,Central,Appliances,Corporate,15
2016,Central,Appliances,Corporate,46
2017,Central,Appliances,Corporate,53
2014,Central,Appliances,Home Office,8
2015,Central,Appliances,Home Office,24
2016,Central,Appliances,Home Office,30
2017,Central,Appliances,Home Office,27
2014,Central,Art,Consumer,69
2015,Central,Art,Consumer,59
2016,Central,Art,Consumer,79
2017,Central,Art,Consumer,167
2014,Central,Art,Corporate,22
2015,Central,Art,Corporate,36
2016,Central,Art,Corporate,56
2017,Central,Art,Corporate,63
2014,Central,Art,Home Office,15
2015,Central,Art,Home Office,21
2016,Central,Art,Home Office,36
2017,Central,Art,Home Office,55
2014,Central,Binders,Consumer,208
2015,Central,Binders,Consumer,153
2016,Central,Binders,Consumer,148
2017,Central,Binders,Consumer,260
2014,Central,Binders,Corporate,40
2015,Central,Binders,Corporate,69
2016,Central,Binders,Corporate,106
2017,Central,Binders,Corporate,212
2014,Central,Binders,Home Office,52
2015,Central,Binders,Home Office,66
2016,Central,Binders,Home Office,54
2017,Central,Binders,Home Office,105
2014,Central,Bookcases,Consumer,15
2015,Central,Bookcases,Consumer,27
2016,Central,Bookcases,Consumer,31
2017,Central,Bookcases,Consumer,22
2014,Central,Bookcases,Corporate,3
2015,Central,Bookcases,Corporate,16
2016,Central,Bookcases,Corporate,27
2017,Central,Bookcases,Corporate,28
2014,Central,Bookcases,Home Office,5
2015,Central,Bookcases,Home Office,15
2016,Central,Bookcases,Home Office,
2017,Central,Bookcases,Home Office,3
2014,Central,Chairs,Consumer,70
2015,Central,Chairs,Consumer,99
2016,Central,Chairs,Consumer,56
2017,Central,Chairs,Consumer,82
2014,Central,Chairs,Corporate,25
2015,Central,Chairs,Corporate,15
2016,Central,Chairs,Corporate,91
2017,Central,Chairs,Corporate,47
2014,Central,Chairs,Home Office,41
2015,Central,Chairs,Home Office,31
2016,Central,Chairs,Home Office,19
2017,Central,Chairs,Home Office,39
2014,Central,Copiers,Consumer,5
2015,Central,Copiers,Consumer,9
2016,Central,Copiers,Consumer,
2017,Central,Copiers,Consumer,
2014,Central,Copiers,Corporate,3
2015,Central,Copiers,Corporate,14
2016,Central,Copiers,Corporate,5
2017,Central,Copiers,Corporate,7
2014,Central,Copiers,Home Office,1
2015,Central,Copiers,Home Office,3
2016,Central,Copiers,Home Office,
2017,Central,Copiers,Home Office,2
2014,Central,Envelopes,Consumer,26
2015,Central,Envelopes,Consumer,18
2016,Central,Envelopes,Consumer,26
2017,Central,Envelopes,Consumer,29
2014,Central,Envelopes,Corporate,20
2015,Central,Envelopes,Corporate,16
2016,Central,Envelopes,Corporate,11
2017,Central,Envelopes,Corporate,10
2014,Central,Envelopes,Home Office,17
2015,Central,Envelopes,Home Office,16
2016,Central,Envelopes,Home Office,4
2017,Central,Envelopes,Home Office,13
2014,Central,Fasteners,Consumer,28
2015,Central,Fasteners,Consumer,28
