Table5.Year,Table5.Region,Table5.Country,Table5.City,Sum(Table5.PY),Sum(Table5.AC)
2017,Americas,USA,California,90000,131000
2018,Americas,USA,California,81000,131000
2019,Americas,USA,California,139000,113000
2017,Americas,USA,New York,92000,116000
2018,Americas,USA,New York,119000,99000
2019,Americas,USA,New York,96000,91000
2017,Americas,USA,Texas,111000,112000
2018,Americas,USA,Texas,141000,45000
2019,Americas,USA,Texas,51000,117000
2017,Americas,Brazil,Rio,104000,138000
2018,Americas,Brazil,Rio,78000,105000
2019,Americas,Brazil,Rio,131000,99000
2017,Americas,Brazil,Manaus,72000,56000
2018,Americas,Brazil,Manaus,-122000,129000
2019,Americas,Brazil,Manaus,55000,147000
2017,Americas,Brazil,Salvador,121000,39000
2018,Americas,Brazil,Salvador,0,46000
2019,Americas,Brazil,Salvador,52000,121000
2017,Americas,Canada,Vancouver,42000,110000
2018,Americas,Canada,Vancouver,102000,134000
2019,Americas,Canada,Vancouver,111000,150000
2017,Americas,Canada,Toronto,59000,78000
2018,Americas,Canada,Toronto,0,96000
2019,Americas,Canada,Toronto,35000,47000
2017,Americas,Canada,Montreal,107000,51000
2018,Americas,Canada,Montreal,-120000,49000
2019,Americas,Canada,Montreal,86000,39000
2017,Americas,Other,Chicago,111000,97000
2018,Americas,Other,Chicago,93000,67000
2019,Americas,Other,Chicago,85000,125000
2017,Europe,Poland,Warsaw,0,103000
2018,Europe,Poland,Warsaw,103000,99000
2019,Europe,Poland,Warsaw,144000,118000
2017,Europe,Poland,Lublin,0,0
2018,Europe,Poland,Lublin,79000,81000
2019,Europe,Poland,Lublin,128000,121000
2017,Europe,Sweden,Stockholm,84000,115000
2018,Europe,Sweden,Stockholm,131000,
2019,Europe,Sweden,Stockholm,117000,139000
2017,Europe,Sweden,Gothenburg,112000,0
2018,Europe,Sweden,Gothenburg,130000,
2019,Europe,Sweden,Gothenburg,101000,141000
2017,Europe,Sweden,Malmo,80000,61000
2018,Europe,Sweden,Malmo,84000,
2019,Europe,Sweden,Malmo,101000,60000
2017,Europe,Belgium,Flanders,118000,88000
2018,Europe,Belgium,Flanders,95000,134000
2019,Europe,Belgium,Flanders,128000,108000
2017,Europe,Belgium,Brussels,0,0
2018,Europe,Belgium,Brussels,78000,64000
2019,Europe,Belgium,Brussels,112000,119000
2017,Europe,Germany,Frankfurt,0,107000
2018,Europe,Germany,Frankfurt,100000,91000
2019,Europe,Germany,Frankfurt,142000,91000
2017,Europe,Germany,Berlin,0,0
2018,Europe,Germany,Berlin,,
2019,Europe,Germany,Berlin,48000,128000
2017,Europe,France,Marseille,107000,118000
2018,Europe,France,Marseille,0,0
2019,Europe,France,Marseille,101000,44000
2017,Europe,France,Paris,89000,0
2018,Europe,France,Paris,0,0
2019,Europe,France,Paris,51000,131000
2017,Europe,Other,Finland,77000,142000
2018,Europe,Other,Finland,0,41000
2019,Europe,Other,Finland,50000,83000
2017,Asia-Pacific,Australia,Brisbane,266000,231000
2018,Asia-Pacific,Australia,Brisbane,46000,149000
2019,Asia-Pacific,Australia,Brisbane,70000,38000
2017,Asia-Pacific,Australia,Sydney,54000,62000
2018,Asia-Pacific,Australia,Sydney,38000,117000
2019,Asia-Pacific,Australia,Sydney,147000,42000
2017,Asia-Pacific,Australia,Melbourne,9000,11000
2018,Asia-Pacific,Australia,Melbourne,96000,69000
2019,Asia-Pacific,Australia,Melbourne,,
2017,Asia-Pacific,Japan,Tokyo,112000,119000
2018,Asia-Pacific,Japan,Tokyo,59000,89000
2019,Asia-Pacific,Japan,Tokyo,139000,91000
2017,Asia-Pacific,Japan,Hiroshima,117000,40000
2018,Asia-Pacific,Japan,Hiroshima,62000,92000
2019,Asia-Pacific,Japan,Hiroshima,67000,102000
2017,Asia-Pacific,Japan,Yokohoma,35000,47000
2018,Asia-Pacific,Japan,Yokohoma,66000,68000
2019,Asia-Pacific,Japan,Yokohoma,73000,36000
2017,Asia-Pacific,China,Shangai,108000,134000
2018,Asia-Pacific,China,Shangai,109000,124000
2019,Asia-Pacific,China,Shangai,96000,68000
2017,Asia-Pacific,China,Beijing,104000,48000
2018,Asia-Pacific,China,Beijing,92000,115000
2019,Asia-Pacific,China,Beijing,145000,39000
2017,Asia-Pacific,China,Chengdu,96000,62000
2018,Asia-Pacific,China,Chengdu,117000,48000
2019,Asia-Pacific,China,Chengdu,80000,38000
2017,Asia-Pacific,Other,Seoul,134000,50000
2018,Asia-Pacific,Other,Seoul,78000,78000
2019,Asia-Pacific,Other,Seoul,66000,69000
