Orders.Region,Orders.Category,Orders.Sub-Category,Orders.Ship Mode,Sum(Orders.Profit)
Central,Technology,Copiers,Standard Class,14339.871299999999
East,Technology,Copiers,Standard Class,10985.892299999996
South,Technology,Copiers,Standard Class,1498.9426999999998
West,Technology,Copiers,Standard Class,4529.9141
Central,Technology,Copiers,First Class,107.99459999999999
East,Technology,Copiers,First Class,4596.978099999999
South,Technology,Copiers,First Class,
West,Technology,Copiers,First Class,10093.4066
Central,Technology,Copiers,Second Class,614.988
East,Technology,Copiers,Second Class,1189.9764
South,Technology,Copiers,Second Class,2159.964
West,Technology,Copiers,Second Class,2918.9419
Central,Technology,Copiers,Same Day,545.9874
East,Technology,Copiers,Same Day,249.99499999999998
South,Technology,Copiers,Same Day,
West,Technology,Copiers,Same Day,1784.9724999999999
Central,Technology,Phones,Standard Class,7661.5239
East,Technology,Phones,Standard Class,5801.157400000002
South,Technology,Phones,Standard Class,6909.0850999999975
West,Technology,Phones,Standard Class,5581.584200000005
Central,Technology,Phones,First Class,1587.7695999999992
East,Technology,Phones,First Class,4481.680799999998
South,Technology,Phones,First Class,761.7654999999997
West,Technology,Phones,First Class,1569.0541000000007
Central,Technology,Phones,Second Class,2706.497
East,Technology,Phones,Second Class,1498.4037999999991
South,Technology,Phones,Second Class,2607.6603999999998
West,Technology,Phones,Second Class,1565.074199999999
Central,Technology,Phones,Same Day,367.23620000000005
East,Technology,Phones,Same Day,533.4439999999998
South,Technology,Phones,Same Day,488.76430000000005
West,Technology,Phones,Same Day,395.03009999999995
Central,Technology,Phones,Third Class,
East,Technology,Phones,Third Class,
South,Technology,Phones,Third Class,
West,Technology,Phones,Third Class,68.35680000000002
Central,Technology,Accessories,Standard Class,4071.971899999999
East,Technology,Accessories,Standard Class,5975.047000000001
South,Technology,Accessories,Standard Class,3479.6949000000004
West,Technology,Accessories,Standard Class,9902.146999999997
Central,Technology,Accessories,Second Class,1863.0186999999999
East,Technology,Accessories,Second Class,2339.0010999999995
South,Technology,Accessories,Second Class,2372.7349000000004
West,Technology,Accessories,Second Class,2158.9160999999995
Central,Technology,Accessories,First Class,906.2976999999998
East,Technology,Accessories,First Class,1674.8675999999996
South,Technology,Accessories,First Class,856.1868
West,Technology,Accessories,First Class,2470.0609999999997
Central,Technology,Accessories,Same Day,410.3422999999999
East,Technology,Accessories,Same Day,1206.9486999999997
South,Technology,Accessories,Same Day,295.9258
West,Technology,Accessories,Same Day,1953.4742
Central,Technology,Machines,Standard Class,-1742.0853000000025
East,Technology,Machines,Standard Class,7242.624599999998
South,Technology,Machines,Standard Class,-1791.4220000000032
West,Technology,Machines,Standard Class,-1316.6621000000018
Central,Technology,Machines,Second Class,-589.0237000000006
East,Technology,Machines,Second Class,-643.7099999999998
South,Technology,Machines,Second Class,2798.1544999999996
West,Technology,Machines,Second Class,591.6090999999997
Central,Technology,Machines,Same Day,8.99939999999998
East,Technology,Machines,Same Day,3844.1845
