Category,Sub-Category,Region,Year,Quarter,Value Column Name,Value
"Furniture","Bookcases","Central","2014","Qtr 1","Sum of Sales","141.96"
"Furniture","Bookcases","Central","2014","Qtr 1","Sum of Quantity","2"
"Furniture","Bookcases","Central","2014","Qtr 1","Sum of Profit","39.7488"
"Furniture","Bookcases","Central","2014","Qtr 1","Sum of Profit - Sum of Sales","-102.2112"
"Furniture","Bookcases","Central","2014","Qtr 1","(Sum of Profit - Sum of Sales)%","-0.72"
"Furniture","Bookcases","Central","2014","Qtr 1","Sum of Profit - Sum of Quantity","37.7488"
"Furniture","Bookcases","Central","2014","Qtr 1","(Sum of Profit - Sum of Quantity)%","18.8744"
"Furniture","Bookcases","Central","2014","Qtr 1","Sum of Quantity - Sum of Sales","-139.96"
"Furniture","Bookcases","Central","2014","Qtr 1","(Sum of Quantity - Sum of Sales)%","-0.9859115243730627"
"Furniture","Bookcases","Central","2014","Qtr 2","Sum of Sales","406.00559999999996"
"Furniture","Bookcases","Central","2014","Qtr 2","Sum of Quantity","7"
"Furniture","Bookcases","Central","2014","Qtr 2","Sum of Profit","37.619400000000006"
"Furniture","Bookcases","Central","2014","Qtr 2","Sum of Profit - Sum of Sales","-368.3862"
"Furniture","Bookcases","Central","2014","Qtr 2","(Sum of Profit - Sum of Sales)%","-0.9073426573426573"
"Furniture","Bookcases","Central","2014","Qtr 2","Sum of Profit - Sum of Quantity","30.619400000000006"
"Furniture","Bookcases","Central","2014","Qtr 2","(Sum of Profit - Sum of Quantity)%","4.374200000000001"
"Furniture","Bookcases","Central","2014","Qtr 2","Sum of Quantity - Sum of Sales","-399.00559999999996"
"Furniture","Bookcases","Central","2014","Qtr 2","(Sum of Quantity - Sum of Sales)%","-0.9827588584985034"
"Furniture","Bookcases","Central","2014","Qtr 3","Sum of Sales","793.9627999999999"
"Furniture","Bookcases","Central","2014","Qtr 3","Sum of Quantity","7"
"Furniture","Bookcases","Central","2014","Qtr 3","Sum of Profit","-167.7212"
"Furniture","Bookcases","Central","2014","Qtr 3","Sum of Profit - Sum of Sales","-961.684"
"Furniture","Bookcases","Central","2014","Qtr 3","(Sum of Profit - Sum of Sales)%","-1.2112456654140473"
"Furniture","Bookcases","Central","2014","Qtr 3","Sum of Profit - Sum of Quantity","-174.7212"
"Furniture","Bookcases","Central","2014","Qtr 3","(Sum of Profit - Sum of Quantity)%","-24.960171428571428"
"Furniture","Bookcases","Central","2014","Qtr 3","Sum of Quantity - Sum of Sales","-786.9627999999999"
"Furniture","Bookcases","Central","2014","Qtr 3","(Sum of Quantity - Sum of Sales)%","-0.9911834660263679"
"Furniture","Bookcases","Central","2014","Qtr 4","Sum of Sales","492.1092"
"Furniture","Bookcases","Central","2014","Qtr 4","Sum of Quantity","7"
"Furniture","Bookcases","Central","2014","Qtr 4","Sum of Profit","-43.29269999999999"
"Furniture","Bookcases","Central","2014","Qtr 4","Sum of Profit - Sum of Sales","-535.4019"
"Furniture","Bookcases","Central","2014","Qtr 4","(Sum of Profit - Sum of Sales)%","-1.0879737667981009"
"Furniture","Bookcases","Central","2014","Qtr 4","Sum of Profit - Sum of Quantity","-50.29269999999999"
"Furniture","Bookcases","Central","2014","Qtr 4","(Sum of Profit - Sum of Quantity)%","-7.184671428571427"
"Furniture","Bookcases","Central","2014","Qtr 4","Sum of Quantity - Sum of Sales","-485.1092"
"Furniture","Bookcases","Central","2014","Qtr 4","(Sum of Quantity - Sum of Sales)%","-0.9857755148653999"
"Furniture","Bookcases","Central","2015","Qtr 1","Sum of Sales","3835.8596"
"Furniture","Bookcases","Central","2015","Qtr 1","Sum of Quantity","25"
"Furniture","Bookcases","Central","2015","Qtr 1","Sum of Profit","-479.7756000000004"
"Furniture","Bookcases","Central","2015","Qtr 1","Sum of Profit - Sum of Sales","-4315.635200000001"
"Furniture","Bookcases","Central","2015","Qtr 1","(Sum of Profit - Sum of Sales)%","-1.125076423547932"
"Furniture","Bookcases","Central","2015","Qtr 1","Sum of Profit - Sum of Quantity","-504.7756000000004"
"Furniture","Bookcases","Central","2015","Qtr 1","(Sum of Profit - Sum of Quantity)%","-20.191024000000017"
"Furniture","Bookcases","Central","2015","Qtr 1","Sum of Quantity - Sum of Sales","-3810.8596"
"Furniture","Bookcases","Central","2015","Qtr 1","(Sum of Quantity - Sum of Sales)%","-0.9934825560351583"
"Furniture","Bookcases","Central","2015","Qtr 2","Sum of Sales",
"Furniture","Bookcases","Central","2015","Qtr 2","Sum of Quantity",
"Furniture","Bookcases","Central","2015","Qtr 2","Sum of Profit",
"Furniture","Bookcases","Central","2015","Qtr 2","Sum of Profit - Sum of Sales",
"Furniture","Bookcases","Central","2015","Qtr 2","(Sum of Profit - Sum of Sales)%",
"Furniture","Bookcases","Central","2015","Qtr 2","Sum of Profit - Sum of Quantity",
"Furniture","Bookcases","Central","2015","Qtr 2","(Sum of Profit - Sum of Quantity)%",
"Furniture","Bookcases","Central","2015","Qtr 2","Sum of Quantity - Sum of Sales",
"Furniture","Bookcases","Central","2015","Qtr 2","(Sum of Quantity - Sum of Sales)%",
"Furniture","Bookcases","Central","2015","Qtr 3","Sum of Sales","2549.2932"
"Furniture","Bookcases","Central","2015","Qtr 3","Sum of Quantity","21"
"Furniture","Bookcases","Central","2015","Qtr 3","Sum of Profit","-213.48579999999987"
"Furniture","Bookcases","Central","2015","Qtr 3","Sum of Profit - Sum of Sales","-2762.779"
"Furniture","Bookcases","Central","2015","Qtr 3","(Sum of Profit - Sum of Sales)%","-1.0837431331947223"
"Furniture","Bookcases","Central","2015","Qtr 3","Sum of Profit - Sum of Quantity","-234.48579999999987"
"Furniture","Bookcases","Central","2015","Qtr 3","(Sum of Profit - Sum of Quantity)%","-11.165990476190467"
"Furniture","Bookcases","Central","2015","Qtr 3","Sum of Quantity - Sum of Sales","-2528.2932"
"Furniture","Bookcases","Central","2015","Qtr 3","(Sum of Quantity - Sum of Sales)%","-0.9917624226197285"
"Furniture","Bookcases","Central","2015","Qtr 4","Sum of Sales","1912.5692"
"Furniture","Bookcases","Central","2015","Qtr 4","Sum of Quantity","12"
"Furniture","Bookcases","Central","2015","Qtr 4","Sum of Profit","-191.9310000000001"
"Furniture","Bookcases","Central","2015","Qtr 4","Sum of Profit - Sum of Sales","-2104.5002"
"Furniture","Bookcases","Central","2015","Qtr 4","(Sum of Profit - Sum of Sales)%","-1.1003524473781132"
"Furniture","Bookcases","Central","2015","Qtr 4","Sum of Profit - Sum of Quantity","-203.9310000000001"
"Furniture","Bookcases","Central","2015","Qtr 4","(Sum of Profit - Sum of Quantity)%","-16.994250000000008"
"Furniture","Bookcases","Central","2015","Qtr 4","Sum of Quantity - Sum of Sales","-1900.5692"
"Furniture","Bookcases","Central","2015","Qtr 4","(Sum of Quantity - Sum of Sales)%","-0.9937257172184935"
"Furniture","Bookcases","Central","2016","Qtr 1","Sum of Sales","1807.212"
"Furniture","Bookcases","Central","2016","Qtr 1","Sum of Quantity","11"
