Category,Sub-Category,Region,Segment,Value Column Name,Value
"Technology","Copiers","Central","Consumer","Sum of Sales","4519.884"
"Technology","Copiers","Central","Consumer","Sum of Profit","1482.9615999999999"
"Technology","Copiers","Central","Consumer","Sum of Profit - Sum of Sales","-3036.9224000000004"
"Technology","Copiers","Central","Consumer","(Sum of Profit - Sum of Sales)%","-0.6719027302470595"
"Technology","Copiers","Central","Corporate","Sum of Sales","29679.741999999995"
"Technology","Copiers","Central","Corporate","Sum of Profit","12789.904299999998"
"Technology","Copiers","Central","Corporate","Sum of Profit - Sum of Sales","-16889.837699999996"
"Technology","Copiers","Central","Corporate","(Sum of Profit - Sum of Sales)%","-0.569069559297382"
"Technology","Copiers","Central","Home Office","Sum of Sales","3059.944"
"Technology","Copiers","Central","Home Office","Sum of Profit","1335.9754"
"Technology","Copiers","Central","Home Office","Sum of Profit - Sum of Sales","-1723.9686"
"Technology","Copiers","Central","Home Office","(Sum of Profit - Sum of Sales)%","-0.563398741937761"
"Technology","Copiers","East","Consumer","Sum of Sales","30399.706"
"Technology","Copiers","East","Consumer","Sum of Profit","8657.932499999995"
"Technology","Copiers","East","Consumer","Sum of Profit - Sum of Sales","-21741.773500000003"
"Technology","Copiers","East","Consumer","(Sum of Profit - Sum of Sales)%","-0.7151968344693862"
"Technology","Copiers","East","Corporate","Sum of Sales","4219.914"
"Technology","Copiers","East","Corporate","Sum of Profit","1134.9764999999998"
"Technology","Copiers","East","Corporate","Sum of Profit - Sum of Sales","-3084.9375"
"Technology","Copiers","East","Corporate","(Sum of Profit - Sum of Sales)%","-0.7310427416293318"
"Technology","Copiers","East","Home Office","Sum of Sales","18599.842"
"Technology","Copiers","East","Home Office","Sum of Profit","7229.9328"
"Technology","Copiers","East","Home Office","Sum of Profit - Sum of Sales","-11369.909200000002"
"Technology","Copiers","East","Home Office","(Sum of Profit - Sum of Sales)%","-0.6112906335440915"
"Technology","Copiers","South","Consumer","Sum of Sales","4439.868"
"Technology","Copiers","South","Consumer","Sum of Profit","1783.9451999999999"
"Technology","Copiers","South","Consumer","Sum of Profit - Sum of Sales","-2655.9228000000003"
"Technology","Copiers","South","Consumer","(Sum of Profit - Sum of Sales)%","-0.5981985950933677"
"Technology","Copiers","South","Corporate","Sum of Sales","4859.888"
"Technology","Copiers","South","Corporate","Sum of Profit","1874.9615000000001"
"Technology","Copiers","South","Corporate","Sum of Profit - Sum of Sales","-2984.9264999999996"
"Technology","Copiers","South","Corporate","(Sum of Profit - Sum of Sales)%","-0.6141965617314636"
"Technology","Copiers","South","Home Office","Sum of Sales",
"Technology","Copiers","South","Home Office","Sum of Profit",
"Technology","Copiers","South","Home Office","Sum of Profit - Sum of Sales",
"Technology","Copiers","South","Home Office","(Sum of Profit - Sum of Sales)%",
"Technology","Copiers","West","Consumer","Sum of Sales","30459.611999999997"
"Technology","Copiers","West","Consumer","Sum of Profit","12158.871299999995"
