With Actual budget.Period_MON,Sum(With Actual budget.Budget),Sum(Sheet1.Sales Forecast)
APR,694686817.3400003,152740078.1200368
AUG,851904313.1099995,152740078.1200368
DEC,843926684.1800003,152740078.1200368
FEB,851904313.1099995,152740078.1200368
JAN,624918101.0699998,152740078.1200368
JUL,624918101.0699998,152740078.1200368
JUN,843926684.1800003,152740078.1200368
MAR,888058981.1000001,152740078.1200368
MAY,775559855.75,152740078.1200368
NOV,775559855.75,152740078.1200368
OCT,694686817.3400003,152740078.1200368
SEP,888058981.1000001,152740078.1200368
