Retail Orders.Order Date.Variation.Date Hierarchy.Month,Retail Orders.Order Date.Variation.Date Hierarchy.Quarter,Retail Orders.Order Date.Variation.Date Hierarchy.Year,Retail Orders.Category,Sum(Retail Orders.Sales),CountNonNull(Retail Orders.Segment)
January,Qtr 1,2021,Furniture,9203.494,32
February,Qtr 1,2021,Furniture,7469.447,30
March,Qtr 1,2021,Furniture,18334.219,53
April,Qtr 2,2021,Furniture,11713.163,46
May,Qtr 2,2021,Furniture,22573.3568,53
June,Qtr 2,2021,Furniture,10508.763,33
July,Qtr 3,2021,Furniture,12629.456,38
August,Qtr 3,2021,Furniture,22341.8874,47
September,Qtr 3,2021,Furniture,19236.1933,56
October,Qtr 4,2021,Furniture,13617.351,49
November,Qtr 4,2021,Furniture,20656.933,57
December,Qtr 4,2021,Furniture,30617.1725,68
January,Qtr 1,2022,Furniture,17590.714,42
February,Qtr 1,2022,Furniture,16798.9664,48
March,Qtr 1,2022,Furniture,15541.3878,60
April,Qtr 2,2022,Furniture,11702.1636,47
May,Qtr 2,2022,Furniture,10252.8464,46
June,Qtr 2,2022,Furniture,16963.8415,50
July,Qtr 3,2022,Furniture,14045.9405,56
August,Qtr 3,2022,Furniture,21234.752,54
September,Qtr 3,2022,Furniture,21929.737,69
October,Qtr 4,2022,Furniture,18086.3712,59
November,Qtr 4,2022,Furniture,29817.705,84
December,Qtr 4,2022,Furniture,21422.8438,71
January,Qtr 1,2023,Furniture,12106.27,33
February,Qtr 1,2023,Furniture,1739.33,11
March,Qtr 1,2023,Furniture,14412.058,33
April,Qtr 2,2023,Furniture,6827.18,25
May,Qtr 2,2023,Furniture,5856.862,23
June,Qtr 2,2023,Furniture,10401.0066,26
July,Qtr 3,2023,Furniture,12026.57,38
August,Qtr 3,2023,Furniture,12400.0945,32
September,Qtr 3,2023,Furniture,16038.8908,45
October,Qtr 4,2023,Furniture,13919.121,32
November,Qtr 4,2023,Furniture,21062.4575,56
December,Qtr 4,2023,Furniture,30403.0127,67
January,Qtr 1,2024,Furniture,19024.6324,24
February,Qtr 1,2024,Furniture,8049.983,17
March,Qtr 1,2024,Furniture,13655.3802,33
April,Qtr 2,2024,Furniture,10119.2445,38
May,Qtr 2,2024,Furniture,12533.9905,41
June,Qtr 2,2024,Furniture,8322.2182,32
July,Qtr 3,2024,Furniture,12467.739,31
