Retail Orders.Order Date.Variation.Date Hierarchy.Quarter,Retail Orders.Order Date.Variation.Date Hierarchy.Year,Retail Orders.Category,Retail Orders.Sub-Category,Sum(Retail Orders.Profit)
Qtr 1,2021,Furniture,Bookcases,-662.82
Qtr 2,2021,Furniture,Bookcases,490.1014
Qtr 3,2021,Furniture,Bookcases,109.0086
Qtr 4,2021,Furniture,Bookcases,276.181
Qtr 1,2022,Furniture,Bookcases,-593.1516
Qtr 2,2022,Furniture,Bookcases,259.0494
Qtr 3,2022,Furniture,Bookcases,324.0642
Qtr 4,2022,Furniture,Bookcases,-573.5881
Qtr 1,2023,Furniture,Bookcases,-578.4998
Qtr 2,2023,Furniture,Bookcases,20.7802
Qtr 3,2023,Furniture,Bookcases,321.1964
Qtr 4,2023,Furniture,Bookcases,-109.6475
Qtr 1,2024,Furniture,Bookcases,-838.722
Qtr 2,2024,Furniture,Bookcases,-380.5831
Qtr 3,2024,Furniture,Bookcases,-598.7586
Qtr 4,2024,Furniture,Bookcases,-937.1665
Qtr 1,2021,Furniture,Chairs,1247.9309
Qtr 2,2021,Furniture,Chairs,1367.4653
Qtr 3,2021,Furniture,Chairs,1421.1873
Qtr 4,2021,Furniture,Chairs,1726.5704
Qtr 1,2022,Furniture,Chairs,2620.2835
Qtr 2,2022,Furniture,Chairs,-47.1816
Qtr 3,2022,Furniture,Chairs,2151.1108
Qtr 4,2022,Furniture,Chairs,2919.3366
Qtr 1,2023,Furniture,Chairs,1775.8625
Qtr 2,2023,Furniture,Chairs,1368.9179
Qtr 3,2023,Furniture,Chairs,1180.7491
Qtr 4,2023,Furniture,Chairs,2629.5175
Qtr 1,2024,Furniture,Chairs,1129.2993
Qtr 2,2024,Furniture,Chairs,1668.8845
Qtr 3,2024,Furniture,Chairs,2890.4802
Qtr 4,2024,Furniture,Chairs,539.7521
Qtr 1,2021,Furniture,Furnishings,957.9821
Qtr 2,2021,Furniture,Furnishings,293.9984
Qtr 3,2021,Furniture,Furnishings,574.7979
Qtr 4,2021,Furniture,Furnishings,2108.4916
Qtr 1,2022,Furniture,Furnishings,1000.441
Qtr 2,2022,Furniture,Furnishings,458.516
Qtr 3,2022,Furniture,Furnishings,1623.23
Qtr 4,2022,Furniture,Furnishings,1016.9758
Qtr 1,2023,Furniture,Furnishings,209.7682
Qtr 2,2023,Furniture,Furnishings,361.2546
Qtr 3,2023,Furniture,Furnishings,917.855
Qtr 4,2023,Furniture,Furnishings,484.0141
