financials.Month Name,financials.Country,Sum(financials. Sales),
April,United States of America,1616624.475,"1616624.475,0,1616624.475"
August,United States of America,2007266.1199999999,"2007266.1199999999,0,2007266.1199999999"
December,United States of America,2394507.6799999997,"2394507.6799999997,0,2394507.6799999997"
February,United States of America,1332890.66,"1332890.66,0,1332890.66"
January,United States of America,1346026.485,"1346026.485,0,1346026.485"
July,United States of America,2308798.125,"2308798.125,0,2308798.125"
June,United States of America,1323610.8,"1323610.8,0,1323610.8"
March,United States of America,1789974.47,"1789974.47,0,1789974.47"
May,United States of America,1949249.3499999999,"1949249.3499999999,0,1949249.3499999999"
November,United States of America,3093502.6500000004,"3093502.6500000004,0,3093502.6500000004"
October,United States of America,3457102.9999999995,"3457102.9999999995,0,3457102.9999999995"
September,United States of America,2410276.35,"2410276.35,0,2410276.35"
April,Canada,1593562.95,"-23061.52500000014,25029830.165000003,25006768.640000004"
August,Canada,952043.0399999999,"-1055223.08,25006768.640000004,23951545.560000002"
December,Canada,5546988.63,"3152480.95,23951545.560000002,27104026.51"
February,Canada,1482165.98,"149275.32000000007,27104026.51,27253301.830000002"
January,Canada,1186256.49,"-159769.9950000001,27253301.830000002,27093531.835"
July,Canada,2109549.285,"-199248.83999999985,27093531.835,26894282.995"
June,Canada,2725979.4,"1402368.5999999999,26894282.995,28296651.595000003"
March,Canada,811132.5,"-978841.97,28296651.595000003,27317809.625000004"
May,Canada,783941.6699999999,"-1165307.68,27317809.625000004,26152501.945000004"
November,Canada,2372659.3600000003,"-720843.29,26152501.945000004,25431658.655000005"
October,Canada,3445532.7600000007,"-11570.239999998827,25431658.655000005,25420088.415000007"
September,Canada,1877842.8199999998,"-532433.5300000003,25420088.415000007,24887654.885000005"
April,France,1332862.6950000003,"-260700.25499999966,24887654.885,24626954.630000003"
August,France,779802.09,"-172240.94999999995,24626954.630000003,24454713.680000003"
December,France,3325070.5199999996,"-2221918.1100000003,24454713.680000003,22232795.570000004"
February,France,1537438.46,"55272.47999999998,22232795.570000004,22288068.050000004"
January,France,1544720.745,"358464.2550000001,22288068.050000004,22646532.305000003"
July,France,1148065.08,"-961484.2050000001,22646532.305000003,21685048.1"
June,France,1629183.98,"-1096795.42,21685048.1,20588252.68"
March,France,1559748.75,"748616.25,20588252.68,21336868.93"
May,France,1042776.97,"258835.30000000005,21336868.93,21595704.23"
November,France,2109571.89,"-263087.4700000002,21595704.23,21332616.76"
October,France,5770138.52,"2324605.759999999,21332616.76,23657222.52"
September,France,2574792.58,"696949.7600000002,23657222.52,24354172.28"
April,Germany,1394813.46,"61950.764999999665,24354172.28,24416123.045"
August,Germany,1046755.1699999999,"266953.07999999996,24416123.045,24683076.125"
December,Germany,3141199.29,"-183871.22999999952,24683076.125,24499204.895"
February,Germany,1347335.8699999999,"-190102.59000000008,24499204.895,24309102.305"
January,Germany,874935.11,"-669785.6350000001,24309102.305,23639316.669999998"
July,Germany,1609549.75,"461484.6699999999,23639316.669999998,24100801.339999996"
June,Germany,1630025.24,"841.2600000000093,24100801.339999996,24101642.599999998"
March,Germany,479509.59,"-1080239.16,24101642.599999998,23021403.439999998"
May,Germany,1317483,"274706.03,23021403.439999998,23296109.47"
November,Germany,2336054.4000000004,"226482.51000000024,23296109.47,23522591.98"
October,Germany,5977029.880000001,"206891.36000000127,23522591.98,23729483.340000004"
September,Germany,2350650.06,"-224142.52000000002,23729483.340000004,23505340.820000004"
April,Mexico,1026911.49,"-367901.97,23505340.82,23137438.85"
August,Mexico,1078756,"32000.830000000075,23137438.85,23169439.68"
December,Mexico,2959462.8600000003,"-181736.4299999997,23169439.68,22987703.25"
February,Mexico,1597700.42,"250364.55000000005,22987703.25,23238067.8"
January,Mexico,1655822.85,"780887.7400000001,23238067.8,24018955.54"
July,Mexico,926957.94,"-682591.81,24018955.54,23336363.73"
June,Mexico,2210094.4,"580069.1599999999,23336363.73,23916432.89"
March,Mexico,946494.56,"466984.97000000003,23916432.89,24383417.86"
May,Mexico,1116760.07,"-200722.92999999993,24383417.86,24182694.93"
November,Mexico,2739629.1999999997,"403574.79999999935,24182694.93,24586269.73"
October,Mexico,3021626.86,"-2955403.020000001,24586269.73,21630866.71"
September,Mexico,1669135.46,"-681514.6000000001,21630866.71,20949352.11"
