Retail Orders.Order Date.Variation.Date Hierarchy.Month,Retail Orders.Order Date.Variation.Date Hierarchy.Quarter,Retail Orders.Order Date.Variation.Date Hierarchy.Year,Retail Orders.Category,Sum(Retail Orders.Sales),Min(Retail Orders.Segment)
January,Qtr 1,2021,Furniture,9203.494,Consumer
February,Qtr 1,2021,Furniture,7469.447,Consumer
March,Qtr 1,2021,Furniture,18334.219,Consumer
April,Qtr 2,2021,Furniture,11713.163,Consumer
May,Qtr 2,2021,Furniture,22573.3568,Consumer
June,Qtr 2,2021,Furniture,10508.763,Consumer
July,Qtr 3,2021,Furniture,12629.456,Consumer
August,Qtr 3,2021,Furniture,22341.8874,Consumer
September,Qtr 3,2021,Furniture,19236.1933,Consumer
October,Qtr 4,2021,Furniture,13617.351,Consumer
November,Qtr 4,2021,Furniture,20656.933,Consumer
December,Qtr 4,2021,Furniture,30617.1725,Consumer
January,Qtr 1,2022,Furniture,17590.714,Consumer
February,Qtr 1,2022,Furniture,16798.9664,Consumer
March,Qtr 1,2022,Furniture,15541.3878,Consumer
April,Qtr 2,2022,Furniture,11702.1636,Consumer
May,Qtr 2,2022,Furniture,10252.8464,Consumer
June,Qtr 2,2022,Furniture,16963.8415,Consumer
July,Qtr 3,2022,Furniture,14045.9405,Consumer
August,Qtr 3,2022,Furniture,21234.752,Consumer
September,Qtr 3,2022,Furniture,21929.737,Consumer
October,Qtr 4,2022,Furniture,18086.3712,Consumer
November,Qtr 4,2022,Furniture,29817.705,Consumer
December,Qtr 4,2022,Furniture,21422.8438,Consumer
January,Qtr 1,2023,Furniture,12106.27,Consumer
February,Qtr 1,2023,Furniture,1739.33,Consumer
March,Qtr 1,2023,Furniture,14412.058,Consumer
April,Qtr 2,2023,Furniture,6827.18,Consumer
May,Qtr 2,2023,Furniture,5856.862,Consumer
June,Qtr 2,2023,Furniture,10401.0066,Consumer
July,Qtr 3,2023,Furniture,12026.57,Consumer
August,Qtr 3,2023,Furniture,12400.0945,Consumer
September,Qtr 3,2023,Furniture,16038.8908,Consumer
October,Qtr 4,2023,Furniture,13919.121,Consumer
November,Qtr 4,2023,Furniture,21062.4575,Consumer
December,Qtr 4,2023,Furniture,30403.0127,Consumer
January,Qtr 1,2024,Furniture,19024.6324,Consumer
February,Qtr 1,2024,Furniture,8049.983,Consumer
March,Qtr 1,2024,Furniture,13655.3802,Consumer
April,Qtr 2,2024,Furniture,10119.2445,Consumer
May,Qtr 2,2024,Furniture,12533.9905,Consumer
June,Qtr 2,2024,Furniture,8322.2182,Consumer
July,Qtr 3,2024,Furniture,12467.739,Consumer
August,Qtr 3,2024,Furniture,13598.349,Consumer
September,Qtr 3,2024,Furniture,27243.918,Consumer
October,Qtr 4,2024,Furniture,10975.414,Consumer
November,Qtr 4,2024,Furniture,19923.585,Consumer
December,Qtr 4,2024,Furniture,14603.7832,Consumer
January,Qtr 1,2021,Office Supplies,16285.456,Consumer
February,Qtr 1,2021,Office Supplies,8795.425,Consumer
March,Qtr 1,2021,Office Supplies,20921.712,Consumer
April,Qtr 2,2021,Office Supplies,10018.867,Consumer
May,Qtr 2,2021,Office Supplies,16503.051,Consumer
June,Qtr 2,2021,Office Supplies,11316.319,Consumer
July,Qtr 3,2021,Office Supplies,12502.166,Consumer
August,Qtr 3,2021,Office Supplies,11282.191,Consumer
September,Qtr 3,2021,Office Supplies,13569.695,Consumer
October,Qtr 4,2021,Office Supplies,20224.188,Consumer
November,Qtr 4,2021,Office Supplies,15681.744,Consumer
December,Qtr 4,2021,Office Supplies,26728.064,Consumer
January,Qtr 1,2022,Office Supplies,23972.728,Consumer
February,Qtr 1,2022,Office Supplies,14727.489,Consumer
March,Qtr 1,2022,Office Supplies,18531.484,Consumer
April,Qtr 2,2022,Office Supplies,9896.405,Consumer
May,Qtr 2,2022,Office Supplies,14440.134,Consumer
June,Qtr 2,2022,Office Supplies,15167.26,Consumer
July,Qtr 3,2022,Office Supplies,14282.151,Consumer
August,Qtr 3,2022,Office Supplies,36076.816,Consumer
September,Qtr 3,2022,Office Supplies,27957.29,Consumer
October,Qtr 4,2022,Office Supplies,22220.132,Consumer
November,Qtr 4,2022,Office Supplies,26949.732,Consumer
December,Qtr 4,2022,Office Supplies,21875.554,Consumer
January,Qtr 1,2023,Office Supplies,8446.956,Consumer
February,Qtr 1,2023,Office Supplies,4806.99,Consumer
March,Qtr 1,2023,Office Supplies,7418.046,Consumer
April,Qtr 2,2023,Office Supplies,8457.306,Consumer
May,Qtr 2,2023,Office Supplies,16187.772,Consumer
June,Qtr 2,2023,Office Supplies,10690.345,Consumer
July,Qtr 3,2023,Office Supplies,16114.482,Consumer
August,Qtr 3,2023,Office Supplies,8668.901,Consumer
September,Qtr 3,2023,Office Supplies,25701.753,Consumer
October,Qtr 4,2023,Office Supplies,7808.64,Consumer
November,Qtr 4,2023,Office Supplies,22777.807,Consumer
December,Qtr 4,2023,Office Supplies,14697.414,Consumer
January,Qtr 1,2024,Office Supplies,3332.294,Consumer
February,Qtr 1,2024,Office Supplies,5848.713,Consumer
March,Qtr 1,2024,Office Supplies,17429.365,Consumer
April,Qtr 2,2024,Office Supplies,12627.318,Consumer
May,Qtr 2,2024,Office Supplies,11071.134,Consumer
June,Qtr 2,2024,Office Supplies,10958.86,Consumer
July,Qtr 3,2024,Office Supplies,6238.447,Consumer
August,Qtr 3,2024,Office Supplies,12297.397,Consumer
September,Qtr 3,2024,Office Supplies,16803.871,Consumer
October,Qtr 4,2024,Office Supplies,11883.411,Consumer
November,Qtr 4,2024,Office Supplies,18972.351,Consumer
December,Qtr 4,2024,Office Supplies,9770.302,Consumer
January,Qtr 1,2021,Technology,12559.234,Consumer
February,Qtr 1,2021,Technology,32862.434,Consumer
March,Qtr 1,2021,Technology,10356.114,Consumer
April,Qtr 2,2021,Technology,23460.248,Consumer
May,Qtr 2,2021,Technology,25887.914,Consumer
June,Qtr 2,2021,Technology,17166.861,Consumer
July,Qtr 3,2021,Technology,17641.773,Consumer
August,Qtr 3,2021,Technology,12715.91,Consumer
September,Qtr 3,2021,Technology,9179.254,Consumer
October,Qtr 4,2021,Technology,18426.611,Consumer
November,Qtr 4,2021,Technology,30498.908,Consumer
December,Qtr 4,2021,Technology,15608.919,Consumer
January,Qtr 1,2022,Technology,23170.869,Consumer
February,Qtr 1,2022,Technology,18485.034,Consumer
March,Qtr 1,2022,Technology,40701.212,Consumer
April,Qtr 2,2022,Technology,17473.433,Consumer
May,Qtr 2,2022,Technology,16189.466,Consumer
June,Qtr 2,2022,Technology,15611.224,Consumer
July,Qtr 3,2022,Technology,26053.996,Consumer
August,Qtr 3,2022,Technology,18363.736,Consumer
September,Qtr 3,2022,Technology,24277.581,Consumer
October,Qtr 4,2022,Technology,25194.659,Consumer
November,Qtr 4,2022,Technology,32538.803,Consumer
December,Qtr 4,2022,Technology,13670.798,Consumer
January,Qtr 1,2023,Technology,8400.48,Consumer
February,Qtr 1,2023,Technology,6196.788,Consumer
March,Qtr 1,2023,Technology,32971.802,Consumer
April,Qtr 2,2023,Technology,9425.53,Consumer
May,Qtr 2,2023,Technology,7595.2,Consumer
June,Qtr 2,2023,Technology,8195.679,Consumer
July,Qtr 3,2023,Technology,7200.194,Consumer
August,Qtr 3,2023,Technology,16785.552,Consumer
