Orders.Ship Date.Variation.Date Hierarchy.Year,Orders.Category,Orders.Sub-Category,Orders.Region,Sum(Orders.Sales),Sum(Orders.Profit)
2016,Furniture,Bookcases,Central,8545.919999999998,-447.11339999999996
2017,Furniture,Bookcases,Central,5561.624400000001,-499.4294000000002
2018,Furniture,Bookcases,Central,78.85279999999999,-11.595999999999997
2016,Furniture,Bookcases,East,5964.221000000001,-198.08580000000018
2017,Furniture,Bookcases,East,7015.085999999999,431.3465999999997
2018,Furniture,Bookcases,East,323.136,12.117599999999968
2016,Furniture,Bookcases,South,3709.224,552.7233999999999
2017,Furniture,Bookcases,South,5157.266,514.4422000000001
2018,Furniture,Bookcases,South,,
2016,Furniture,Bookcases,West,8217.0815,325.8741999999997
2017,Furniture,Bookcases,West,11888.314499999997,-1030.5071000000003
2018,Furniture,Bookcases,West,,
2016,Furniture,Chairs,Central,22595.173999999995,1443.8819999999992
2017,Furniture,Chairs,Central,23859.543000000005,2775.8697999999986
2018,Furniture,Chairs,Central,113.372,-3.2391999999999896
2016,Furniture,Chairs,East,22626.756999999994,1757.2482999999993
2017,Furniture,Chairs,East,31616.386,2402.3366999999994
2018,Furniture,Chairs,East,,
2016,Furniture,Chairs,South,6331.122,1276.07
2017,Furniture,Chairs,South,13888.738000000001,1452.1300999999999
2018,Furniture,Chairs,South,1767.57,478.94759999999997
2016,Furniture,Chairs,West,31179.447999999986,1195.8475999999982
2017,Furniture,Chairs,West,25101.319999999985,671.8866999999987
2018,Furniture,Chairs,West,393.568,-44.276400000000024
2016,Furniture,Furnishings,Central,5059.892000000001,-1617.7549000000001
2017,Furniture,Furnishings,Central,5133.654000000001,-1291.8966
2018,Furniture,Furnishings,Central,10.928,-3.7963999999999993
2016,Furniture,Furnishings,East,9566.020000000002,2128.6285
2017,Furniture,Furnishings,East,10478.130000000001,2271.3236999999995
2018,Furniture,Furnishings,East,,
2016,Furniture,Furnishings,South,5382.784000000001,1278.3998999999994
2017,Furniture,Furnishings,South,3385.590000000001,568.9786999999999
2018,Furniture,Furnishings,South,,
2016,Furniture,Furnishings,West,7788.5080000000025,2104.0199
2017,Furniture,Furnishings,West,9821.492,2524.1045999999997
2018,Furniture,Furnishings,West,176.98000000000002,60.986399999999996
2016,Furniture,Tables,Central,13922.926,292.6210999999996
2017,Furniture,Tables,Central,10589.307000000003,-2162.8466000000008
2018,Furniture,Tables,Central,,
2016,Furniture,Tables,East,7825.328,-2306.7783
2017,Furniture,Tables,East,11825.968999999997,-2904.9002
2018,Furniture,Tables,East,,
2016,Furniture,Tables,South,12498.3115,39.22299999999967
2017,Furniture,Tables,South,14106.261499999999,-3598.8946
2018,Furniture,Tables,South,,
2016,Furniture,Tables,West,26551.190000000006,-951.905
2017,Furniture,Tables,West,24407.449999999993,501.8440999999998
2018,Furniture,Tables,West,,
2016,Office Supplies,Appliances,Central,5933.051000000001,355.74589999999955
2017,Office Supplies,Appliances,Central,8805.968,-346.94590000000017
2018,Office Supplies,Appliances,Central,209.3,56.510999999999996
