Orders.Order Date.Variation.Date Hierarchy.Year,Orders.Category,Orders.Sub-Category,Sum(Orders.Sales),Sum(Orders.Profit)
2014,Furniture,Bookcases,20036.677599999995,-346.17070000000064
2015,Furniture,Bookcases,38543.5725,-2755.230200000001
2016,Furniture,Bookcases,26275.466499999995,212.47099999999932
2017,Furniture,Bookcases,30024.2797,-583.6261000000015
2014,Furniture,Chairs,77241.57599999999,6955.0470000000005
2015,Furniture,Chairs,71734.52900000001,6228.4160999999995
2016,Furniture,Chairs,83918.64499999989,5763.153899999996
2017,Furniture,Chairs,95554.35299999994,7643.549299999999
2014,Furniture,Furnishings,13826.233999999995,1972.8918999999992
2015,Furniture,Furnishings,21089.711999999974,3051.818899999999
2016,Furniture,Furnishings,27874.12399999999,3935.270000000001
2017,Furniture,Furnishings,28915.093999999986,4099.162800000005
2014,Furniture,Tables,46088.36549999999,-3124.0427000000013
2015,Furniture,Tables,39150.4235,-3509.8019000000018
2016,Furniture,Tables,60833.20049999999,-2950.941800000002
2017,Furniture,Tables,60893.54250000002,-8140.694700000002
2014,Office Supplies,Appliances,15313.625,2459.499899999998
2015,Office Supplies,Appliances,23241.289000000004,2511.8956999999996
2016,Office Supplies,Appliances,26050.315,5301.341499999998
2017,Office Supplies,Appliances,42926.93200000001,7865.268299999998
2014,Office Supplies,Art,6057.981999999999,1406.8030999999999
2015,Office Supplies,Art,6236.833999999999,1485.0582
2016,Office Supplies,Art,5960.908000000002,1413.962600000001
2017,Office Supplies,Art,8863.067999999996,2221.9631
2014,Office Supplies,Binders,43488.265000000014,4739.716000000011
2015,Office Supplies,Binders,37453.09800000008,7596.6714
2016,Office Supplies,Binders,49683.32500000006,10215.634100000001
2017,Office Supplies,Binders,72788.04499999997,7669.7418
2014,Office Supplies,Envelopes,3855.7499999999995,1495.4787999999994
2015,Office Supplies,Envelopes,4512.187999999999,1960.1905999999997
2016,Office Supplies,Envelopes,4729.890000000002,2066.7482999999997
2017,Office Supplies,Envelopes,3378.574,1441.7590000000002
2014,Office Supplies,Fasteners,661.3280000000001,178.55829999999997
2015,Office Supplies,Fasteners,545.224,171.93759999999997
2016,Office Supplies,Fasteners,960.134,294.07339999999994
2017,Office Supplies,Fasteners,857.5939999999998,304.94890000000004
2014,Office Supplies,Labels,2841.3940000000007,1286.0041999999996
2015,Office Supplies,Labels,2956.4619999999995,1323.0285999999996
2016,Office Supplies,Labels,2827.2399999999993,1192.6118999999997
2017,Office Supplies,Labels,3861.2159999999994,1744.6092999999992
2014,Office Supplies,Paper,14834.956,6371.021400000002
2015,Office Supplies,Paper,15287.637999999997,6570.169999999996
2016,Office Supplies,Paper,20661.89399999996,9071.534499999994
2017,Office Supplies,Paper,27694.717999999983,12040.843399999992
2014,Office Supplies,Storage,50329.04199999996,4166.278799999997
2015,Office Supplies,Storage,45048.24799999999,3505.460099999999
2016,Office Supplies,Storage,58788.7,6204.286800000001
2017,Office Supplies,Storage,69677.61800000006,7402.800700000003
2014,Office Supplies,Supplies,14394.070000000002,490.0555999999999
2015,Office Supplies,Supplies,1952.4820000000004,-24.87840000000003
2016,Office Supplies,Supplies,14277.576000000001,-698.9639000000009
2017,Office Supplies,Supplies,16049.410000000002,-955.3127999999999
2014,Technology,Accessories,25014.27199999999,6402.715000000001
2015,Technology,Accessories,40523.96,10197.275200000002
2016,Technology,Accessories,41895.85400000002,9664.288500000002
2017,Technology,Accessories,59946.231999999996,15672.357000000007
2014,Technology,Copiers,10849.782000000001,2912.9433
2015,Technology,Copiers,26179.45,9930.298799999999
2016,Technology,Copiers,49599.41,17742.792599999993
2017,Technology,Copiers,62899.38799999996,25031.7902
2014,Technology,Machines,62023.373,369.1688999999936
2015,Technology,Machines,27763.697,2977.4856000000004
2016,Technology,Machines,55906.886000000006,2907.317999999991
2017,Technology,Machines,43544.67499999999,-2869.2156000000014
2014,Technology,Phones,77390.80600000004,11808.005300000006
2015,Technology,Phones,68313.70200000002,10398.807399999994
2016,Technology,Phones,78962.03000000006,9459.592900000001
2017,Technology,Phones,105340.51599999996,12849.325000000003
