Category,Sub-Category,Segment,Month,Value Column Name,Value
"Furniture","Bookcases","Consumer","January","Sum of Profit","-810.6860000000001"
"Furniture","Bookcases","Consumer","January","Sum of Sales","2658.2486"
"Furniture","Bookcases","Consumer","January","Sum of Sales - Sum of Profit","3468.9346"
"Furniture","Bookcases","Consumer","January","(Sum of Sales - Sum of Profit)%","4.2790113558147045"
"Furniture","Bookcases","Consumer","February","Sum of Profit","197.42619999999994"
"Furniture","Bookcases","Consumer","February","Sum of Sales","1116.594"
"Furniture","Bookcases","Consumer","February","Sum of Sales - Sum of Profit","919.1678000000002"
"Furniture","Bookcases","Consumer","February","(Sum of Sales - Sum of Profit)%","4.655753896899198"
"Furniture","Bookcases","Consumer","March","Sum of Profit","-478.2228000000001"
"Furniture","Bookcases","Consumer","March","Sum of Sales","3233.3209999999995"
"Furniture","Bookcases","Consumer","March","Sum of Sales - Sum of Profit","3711.5437999999995"
"Furniture","Bookcases","Consumer","March","(Sum of Sales - Sum of Profit)%","7.761118457756507"
"Furniture","Bookcases","Consumer","April","Sum of Profit","271.6822"
"Furniture","Bookcases","Consumer","April","Sum of Sales","2771.194"
"Furniture","Bookcases","Consumer","April","Sum of Sales - Sum of Profit","2499.5117999999998"
"Furniture","Bookcases","Consumer","April","(Sum of Sales - Sum of Profit)%","9.200130888221604"
"Furniture","Bookcases","Consumer","May","Sum of Profit","157.48879999999988"
"Furniture","Bookcases","Consumer","May","Sum of Sales","4236.6143999999995"
"Furniture","Bookcases","Consumer","May","Sum of Sales - Sum of Profit","4079.1255999999994"
"Furniture","Bookcases","Consumer","May","(Sum of Sales - Sum of Profit)%","25.901052011317645"
"Furniture","Bookcases","Consumer","June","Sum of Profit","219.5560999999997"
"Furniture","Bookcases","Consumer","June","Sum of Sales","5201.9333"
"Furniture","Bookcases","Consumer","June","Sum of Sales - Sum of Profit","4982.3772"
"Furniture","Bookcases","Consumer","June","(Sum of Sales - Sum of Profit)%","22.692957289731442"
