SanityReport.Year,SanityReport.Country,Sum(SanityReport.BU)
2017,Japan,306000
2018,Japan,408000
2019,Japan,315000
2017,Australia,316000
2018,Australia,300000
2019,Australia,390000
2017,Brazil,379000
2018,Brazil,323000
2019,Brazil,276000
2017,China,317000
2018,China,290000
2019,China,305000
2017,Other,348000
2018,Other,306000
2019,Other,246000
2017,USA,362000
2018,USA,317000
2019,USA,208000
2017,Sweden,328000
2018,Sweden,180000
2019,Sweden,298000
2017,Canada,242000
2018,Canada,237000
2019,Canada,277000
2017,France,221000
2018,France,153000
2019,France,242000
2017,Belgium,176000
2018,Belgium,147000
2019,Belgium,203000
2017,Germany,194000
2018,Germany,118000
2019,Germany,199000
2017,Poland,144000
2018,Poland,136000
2019,Poland,228000
