With Actual budget.Period_MON,With Actual budget.Product,With Actual budget.Account,Sum(With Actual budget.Additional 2),Sum(With Actual budget.Additional 3)
APR,Tea & Coffee,Gross Sales,73856259.47999999,36928129.739999995
AUG,Tea & Coffee,Gross Sales,140088486.42,70044243.21
DEC,Tea & Coffee,Gross Sales,91939350.66,45969675.33
FEB,Tea & Coffee,Gross Sales,140088486.42,70044243.21
JAN,Tea & Coffee,Gross Sales,114984359.75999999,57492179.879999995
APR,Tea & Coffee,Labor,9229599.588,4614799.794
AUG,Tea & Coffee,Labor,21721693.529999997,10860846.764999999
DEC,Tea & Coffee,Labor,22350983.981999997,11175491.990999999
FEB,Tea & Coffee,Labor,21721693.529999997,10860846.764999999
JAN,Tea & Coffee,Labor,16762612.787999999,8381306.393999999
APR,Tea & Coffee,Sale Allowances,1030303.8899999999,515151.94499999995
AUG,Tea & Coffee,Sale Allowances,470291.496,235145.748
DEC,Tea & Coffee,Sale Allowances,1437862.11,718931.055
FEB,Tea & Coffee,Sale Allowances,470291.496,235145.748
JAN,Tea & Coffee,Sale Allowances,2146079.568,1073039.784
APR,Tea & Coffee,Merchandise Returns,710905.632,355452.816
AUG,Tea & Coffee,Merchandise Returns,790950.8579999999,395475.42899999995
DEC,Tea & Coffee,Merchandise Returns,902542.338,451271.169
FEB,Tea & Coffee,Merchandise Returns,790950.8579999999,395475.42899999995
JAN,Tea & Coffee,Merchandise Returns,876678.444,438339.222
APR,Sparking Water,Gross Sales,38774166.066,19387083.033
AUG,Sparking Water,Gross Sales,72257258.75999999,36128629.379999995
DEC,Sparking Water,Gross Sales,59231550.402,29615775.201
FEB,Sparking Water,Gross Sales,72257258.75999999,36128629.379999995
JAN,Sparking Water,Gross Sales,58485686.286,29242843.143
APR,Sparking Water,Labor,4219658.172,2109829.086
AUG,Sparking Water,Labor,10073587.865999999,5036793.932999999
DEC,Sparking Water,Labor,9923640.42,4961820.21
FEB,Sparking Water,Labor,10073587.865999999,5036793.932999999
JAN,Sparking Water,Labor,8414638.806,4207319.403
APR,Sparking Water,Sale Allowances,609096.978,304548.489
AUG,Sparking Water,Sale Allowances,357974.14199999993,178987.07099999997
DEC,Sparking Water,Sale Allowances,961231.8839999998,480615.9419999999
FEB,Sparking Water,Sale Allowances,357974.14199999993,178987.07099999997
JAN,Sparking Water,Sale Allowances,1171604.43,585802.215
APR,Sparking Water,Merchandise Returns,404924.28,202462.14
AUG,Sparking Water,Merchandise Returns,468559.47599999997,234279.73799999998
DEC,Sparking Water,Merchandise Returns,434635.038,217317.519
FEB,Sparking Water,Merchandise Returns,468559.47599999997,234279.73799999998
JAN,Sparking Water,Merchandise Returns,472579.1699999999,236289.58499999996
APR,Juices,Gross Sales,62197738.85999999,31098869.429999996
AUG,Juices,Gross Sales,37225440.192,18612720.096
DEC,Juices,Gross Sales,39116852.124,19558426.062
FEB,Juices,Gross Sales,37225440.192,18612720.096
JAN,Juices,Gross Sales,15718874.556,7859437.278
APR,Juices,Labor,9179276.916,4589638.458
AUG,Juices,Labor,2744014.542,1372007.271
DEC,Juices,Labor,7697763.119999999,3848881.5599999996
FEB,Juices,Labor,2744014.542,1372007.271
JAN,Juices,Labor,3166476.3299999996,1583238.1649999998
APR,Juices,Merchandise Returns,187597.338,93798.669
AUG,Juices,Merchandise Returns,177150.39,88575.195
DEC,Juices,Merchandise Returns,209422.71,104711.355
FEB,Juices,Merchandise Returns,177150.39,88575.195
JAN,Juices,Merchandise Returns,90260.57400000001,45130.287000000004
APR,Juices,Sale Allowances,511.72799999999995,255.86399999999998
AUG,Juices,Sale Allowances,51.702,25.851
DEC,Juices,Sale Allowances,3012.828,1506.414
FEB,Juices,Sale Allowances,51.702,25.851
JAN,Juices,Sale Allowances,4542.234,2271.117
APR,Mineral Water,Gross Sales,32208741.179999996,16104370.589999998
AUG,Mineral Water,Gross Sales,19041953.478,9520976.739
DEC,Mineral Water,Gross Sales,26460009.066,13230004.533
FEB,Mineral Water,Gross Sales,19041953.478,9520976.739
JAN,Mineral Water,Gross Sales,9652232.85,4826116.425
APR,Mineral Water,Labor,4630683.575999999,2315341.7879999997
AUG,Mineral Water,Labor,1687923.162,843961.581
DEC,Mineral Water,Labor,4362836.718,2181418.359
FEB,Mineral Water,Labor,1687923.162,843961.581
JAN,Mineral Water,Labor,1825205.4,912602.7
APR,Mineral Water,Merchandise Returns,85855.692,42927.846
AUG,Mineral Water,Merchandise Returns,84322.632,42161.316
DEC,Mineral Water,Merchandise Returns,104162.382,52081.191
FEB,Mineral Water,Merchandise Returns,84322.632,42161.316
JAN,Mineral Water,Merchandise Returns,47133.18,23566.59
APR,Mineral Water,Sale Allowances,11176.967999999999,5588.4839999999995
AUG,Mineral Water,Sale Allowances,30276.408,15138.204
DEC,Mineral Water,Sale Allowances,29086.488,14543.244
FEB,Mineral Water,Sale Allowances,30276.408,15138.204
JAN,Mineral Water,Sale Allowances,15678.119999999999,7839.0599999999995
APR,Soda,Gross Sales,4002705.792,2001352.896
AUG,Soda,Gross Sales,2059868.0999999999,1029934.0499999999
DEC,Soda,Gross Sales,2763833.964,1381916.982
FEB,Soda,Gross Sales,2059868.0999999999,1029934.0499999999
JAN,Soda,Gross Sales,1360571.3639999998,680285.6819999999
APR,Soda,Labor,640574.982,320287.491
AUG,Soda,Labor,378062.20800000004,189031.10400000002
DEC,Soda,Labor,247134.444,123567.222
FEB,Soda,Labor,378062.20800000004,189031.10400000002
JAN,Soda,Labor,212382.276,106191.138
APR,Soda,Merchandise Returns,18313.242,9156.621
AUG,Soda,Merchandise Returns,20257.5,10128.75
DEC,Soda,Merchandise Returns,19785.69,9892.845
FEB,Soda,Merchandise Returns,20257.5,10128.75
JAN,Soda,Merchandise Returns,2392.092,1196.046
APR,Soda,Sale Allowances,6174.7919999999995,3087.3959999999997
AUG,Soda,Sale Allowances,15100.086,7550.043
DEC,Soda,Sale Allowances,19763.393999999997,9881.696999999998
FEB,Soda,Sale Allowances,15100.086,7550.043
JAN,Soda,Sale Allowances,16774.458,8387.229
