15000.Date.Variation.Date Hierarchy.Year,15000.Date.Variation.Date Hierarchy.Quarter,15000.County,Sum(15000.Pack)
2012,Qtr 1,,6
2012,Qtr 2,,18
2012,Qtr 3,,30
2012,Qtr 4,,30
2012,Qtr 1,Adair,18
2012,Qtr 2,Adair,
2012,Qtr 3,Adair,36
2012,Qtr 4,Adair,42
2012,Qtr 1,Adams,30
2012,Qtr 2,Adams,18
2012,Qtr 3,Adams,12
2012,Qtr 4,Adams,54
2012,Qtr 1,Allamakee,60
2012,Qtr 2,Allamakee,54
2012,Qtr 3,Allamakee,108
2012,Qtr 4,Allamakee,36
2012,Qtr 1,Appanoose,60
2012,Qtr 2,Appanoose,54
2012,Qtr 3,Appanoose,24
2012,Qtr 4,Appanoose,24
2012,Qtr 1,Audubon,12
2012,Qtr 2,Audubon,48
2012,Qtr 3,Audubon,18
2012,Qtr 4,Audubon,12
2012,Qtr 1,Benton,24
2012,Qtr 2,Benton,36
2012,Qtr 3,Benton,54
2012,Qtr 4,Benton,30
2012,Qtr 1,Black Hawk,630
2012,Qtr 2,Black Hawk,612
2012,Qtr 3,Black Hawk,340
2012,Qtr 4,Black Hawk,790
2012,Qtr 1,Boone,30
2012,Qtr 2,Boone,60
2012,Qtr 3,Boone,72
2012,Qtr 4,Boone,23
2012,Qtr 1,Bremer,90
2012,Qtr 2,Bremer,102
2012,Qtr 3,Bremer,150
2012,Qtr 4,Bremer,102
2012,Qtr 1,Buchanan,78
2012,Qtr 2,Buchanan,60
2012,Qtr 3,Buchanan,90
2012,Qtr 4,Buchanan,42
2012,Qtr 1,Buena Vista,36
2012,Qtr 2,Buena Vista,132
2012,Qtr 3,Buena Vista,120
2012,Qtr 4,Buena Vista,240
2012,Qtr 1,Butler,42
2012,Qtr 2,Butler,6
2012,Qtr 3,Butler,48
2012,Qtr 4,Butler,
2012,Qtr 1,Calhoun,
2012,Qtr 2,Calhoun,36
2012,Qtr 3,Calhoun,12
2012,Qtr 4,Calhoun,6
2012,Qtr 1,Carroll,90
2012,Qtr 2,Carroll,126
2012,Qtr 3,Carroll,150
2012,Qtr 4,Carroll,78
