Opportunities.Decision Maker Identified,Opportunities.Campaign Name,Sum(Opportunities.Budget),
false,,24359125,"24359125,0,24359125"
true,,23911250,"23911250,0,23911250"
false,Monthly Newsletter,1822750,"1822750,24359125,26181875"
true,Monthly Newsletter,2198875,"2198875,23911250,26110125"
false,New Product Releases,1234000,"1234000,26181875,27415875"
true,New Product Releases,1453125,"1453125,26110125,27563250"
false,Customer Care Campaign,1280750,"1280750,27415875,28696625"
true,Customer Care Campaign,1121250,"1121250,27563250,28684500"
false,Customer Follow-up,948250,"948250,28696625,29644875"
true,Customer Follow-up,1259375,"1259375,28684500,29943875"
false,Consumer Tradeshow,653375,"653375,29644875,30298250"
true,Consumer Tradeshow,1350000,"1350000,29943875,31293875"
false,Market Trends Newsletter,352750,"352750,30298250,30651000"
true,Market Trends Newsletter,592750,"592750,31293875,31886625"
false,Twitter,316875,"316875,30651000,30967875"
true,Twitter,380125,"380125,31886625,32266750"
