SanityReport.Year,SanityReport.City,Sum(SanityReport.AC)
2017,Brisbane,231000
2018,Brisbane,149000
2019,Brisbane,38000
2017,Vancouver,110000
2018,Vancouver,134000
2019,Vancouver,150000
2017,California,131000
2018,California,131000
2019,California,113000
2017,Rio,138000
2018,Rio,105000
2019,Rio,99000
2017,Manaus,56000
2018,Manaus,129000
2019,Manaus,147000
2017,Flanders,88000
2018,Flanders,134000
2019,Flanders,108000
2017,Shangai,134000
2018,Shangai,124000
2019,Shangai,68000
2017,Warsaw,103000
2018,Warsaw,99000
2019,Warsaw,118000
2017,New York,116000
2018,New York,99000
2019,New York,91000
2017,Tokyo,119000
2018,Tokyo,89000
2019,Tokyo,91000
2017,Chicago,97000
2018,Chicago,67000
2019,Chicago,125000
2017,Frankfurt,107000
2018,Frankfurt,91000
2019,Frankfurt,91000
2017,Texas,112000
2018,Texas,45000
2019,Texas,117000
2017,Finland,142000
2018,Finland,41000
2019,Finland,83000
2017,Stockholm,115000
2018,Stockholm,
2019,Stockholm,139000
2017,Hiroshima,40000
2018,Hiroshima,92000
2019,Hiroshima,102000
2017,Sydney,62000
2018,Sydney,117000
2019,Sydney,42000
2017,Toronto,78000
2018,Toronto,96000
2019,Toronto,47000
2017,Salvador,39000
2018,Salvador,46000
2019,Salvador,121000
2017,Beijing,48000
2018,Beijing,115000
2019,Beijing,39000
2017,Lublin,0
2018,Lublin,81000
2019,Lublin,121000
2017,Seoul,50000
2018,Seoul,78000
2019,Seoul,69000
2017,Brussels,0
2018,Brussels,64000
2019,Brussels,119000
2017,Marseille,118000
2018,Marseille,0
2019,Marseille,44000
2017,Yokohoma,47000
2018,Yokohoma,68000
2019,Yokohoma,36000
2017,Chengdu,62000
2018,Chengdu,48000
2019,Chengdu,38000
2017,Gothenburg,0
2018,Gothenburg,
2019,Gothenburg,141000
2017,Montreal,51000
2018,Montreal,49000
2019,Montreal,39000
2017,Paris,0
2018,Paris,0
2019,Paris,131000
2017,Berlin,0
2018,Berlin,
2019,Berlin,128000
2017,Malmo,61000
2018,Malmo,
2019,Malmo,60000
2017,Melbourne,11000
2018,Melbourne,69000
2019,Melbourne,
