Region,Country,Year,Value Column Name,Value
"Americas","USA","2017","PY","293000"
"Americas","USA","2017","PL","350000"
"Americas","USA","2017","FC","404000"
"Americas","USA","2017","AC","359000"
"Americas","USA","2017","AC - PY","66000"
"Americas","USA","2017","(AC - PY)%","0.22525597269624573"
"Americas","USA","2017","AC - PL","9000"
"Americas","USA","2017","(AC - PL)%","0.02571428571428571"
"Americas","USA","2017","AC - FC","-45000"
"Americas","USA","2017","(AC - FC)%","-0.11138613861386139"
"Americas","USA","2017","PL - PY","57000"
"Americas","USA","2017","(PL - PY)%","0.19453924914675766"
"Americas","USA","2017","FC - PY","111000"
"Americas","USA","2017","(FC - PY)%","0.3788395904436859"
"Americas","USA","2017","FC - PL","54000"
"Americas","USA","2017","(FC - PL)%","0.15428571428571428"
"Americas","USA","2017","First City",""
"Americas","USA","2018","PY","341000"
"Americas","USA","2018","PL","133000"
"Americas","USA","2018","FC","242000"
"Americas","USA","2018","AC","275000"
"Americas","USA","2018","AC - PY","-66000"
"Americas","USA","2018","(AC - PY)%","-0.1935483870967742"
"Americas","USA","2018","AC - PL","142000"
"Americas","USA","2018","(AC - PL)%","1.0676691729323309"
"Americas","USA","2018","AC - FC","33000"
"Americas","USA","2018","(AC - FC)%","0.13636363636363635"
"Americas","USA","2018","PL - PY","-208000"
"Americas","USA","2018","(PL - PY)%","-0.6099706744868035"
"Americas","USA","2018","FC - PY","-99000"
"Americas","USA","2018","(FC - PY)%","-0.2903225806451613"
"Americas","USA","2018","FC - PL","109000"
"Americas","USA","2018","(FC - PL)%","0.8195488721804511"
"Americas","USA","2018","First City",""
"Americas","USA","2019","PY","286000"
"Americas","USA","2019","PL","259000"
"Americas","USA","2019","FC","392000"
"Americas","USA","2019","AC","321000"
"Americas","USA","2019","AC - PY","35000"
"Americas","USA","2019","(AC - PY)%","0.12237762237762238"
"Americas","USA","2019","AC - PL","62000"
"Americas","USA","2019","(AC - PL)%","0.23938223938223938"
"Americas","USA","2019","AC - FC","-71000"
"Americas","USA","2019","(AC - FC)%","-0.18112244897959184"
"Americas","USA","2019","PL - PY","-27000"
"Americas","USA","2019","(PL - PY)%","-0.0944055944055944"
"Americas","USA","2019","FC - PY","106000"
