Orders.Region,Orders.Category,Orders.Sub-Category,Sum(Orders.Discount),Sum(Orders.Profit),Sum(Orders.Sales)
West,Office Supplies,Storage,1.6,2047.6063999999992,16313.388000000003
West,Office Supplies,Binders,21.3,2534.5815,12963.254000000003
West,Office Supplies,Supplies,0.8,404.28519999999963,9238.432000000003
West,Office Supplies,Paper,3.8000000000000003,2387.1297,5386.456
West,Office Supplies,Appliances,0.6000000000000001,1066.9247999999998,3755.495999999999
West,Office Supplies,Art,2.4000000000000004,752.2946,3379.694
West,Office Supplies,Labels,0.4,409.81209999999993,875.738
West,Office Supplies,Envelopes,0.8,292.6254,657.588
West,Office Supplies,Fasteners,1,79.20759999999999,276.808
West,Furniture,Chairs,9.2,1231.6872999999996,21406.97599999999
West,Furniture,Tables,5.200000000000001,730.1355999999994,17758.239000000005
West,Furniture,Bookcases,2.6499999999999995,48.351899999999915,6544.9130000000005
West,Furniture,Furnishings,1.6,1051.8535000000002,4372.32
West,Technology,Phones,12.999999999999996,2812.267099999998,29527.43999999999
West,Technology,Accessories,2,1937.6891000000007,8926.244
West,Technology,Machines,1.7,1142.2597999999998,3500.1010000000006
West,Technology,Copiers,0.2,1136.9796000000001,2999.946
East,Furniture,Chairs,4.500000000000001,2719.3840000000014,22008.267999999993
East,Furniture,Bookcases,3.2,-425.58550000000065,10863.451000000001
East,Furniture,Tables,7.600000000000002,-3537.8375000000005,10603.704
East,Furniture,Furnishings,4.6000000000000005,744.3808999999995,3757.3160000000003
East,Technology,Phones,7.200000000000002,3429.1019000000015,20688.649999999998
East,Technology,Machines,2.0999999999999996,4865.814899999999,14636.385000000002
East,Technology,Accessories,3,1888.0357999999999,6053.768
East,Technology,Copiers,1.4,650.9887,4099.9259999999995
East,Office Supplies,Storage,3,1312.006400000001,16207.261999999997
East,Office Supplies,Binders,30.499999999999996,1160.9685999999997,6346.627
East,Office Supplies,Appliances,2.2,1411.9621999999997,5779.202
East,Office Supplies,Paper,4.4,1748.8552,3917.1480000000015
East,Office Supplies,Envelopes,1.8000000000000003,524.5098999999999,1347.622
East,Office Supplies,Art,3.6,332.91319999999996,1290.202
East,Office Supplies,Labels,1.2000000000000002,225.02659999999995,516.142
East,Office Supplies,Supplies,0.6000000000000001,-23.298000000000002,467.87200000000007
East,Office Supplies,Fasteners,0.8,32.38219999999999,96.912
South,Technology,Machines,2,-3254.2075000000023,27594.725000000002
South,Technology,Phones,1.6,4085.707599999999,17248.963999999996
South,Technology,Accessories,1.8,1685.7286000000001,5595.290000000001
South,Technology,Copiers,0.2,89.99699999999999,479.98400000000004
South,Furniture,Chairs,1.6,2304.7139999999995,13072.28
South,Furniture,Tables,1.25,1107.9901999999997,9940.9445
South,Furniture,Furnishings,3.4000000000000004,423.1665999999998,3160.502000000001
South,Furniture,Bookcases,0.2,164.70860000000002,794.2760000000001
South,Office Supplies,Binders,13.999999999999998,2420.1017000000006,8307.445999999998
South,Office Supplies,Storage,2.2,462.2265999999996,6715.006
South,Office Supplies,Supplies,0.6000000000000001,98.60350000000005,4247.307999999999
South,Office Supplies,Paper,5.2,1338.8293999999999,3184.5760000000005
South,Office Supplies,Appliances,1.8,489.78529999999995,2119.7219999999998
South,Office Supplies,Art,2.8000000000000003,133.75329999999994,566.1320000000001
South,Office Supplies,Labels,1.4000000000000001,169.61469999999994,401.0419999999999
South,Office Supplies,Envelopes,0.6000000000000001,107.49529999999999,251.85399999999998
South,Office Supplies,Fasteners,1.4,50.90509999999999,165.79200000000003
Central,Office Supplies,Binders,43.2,-1375.9358000000057,15870.938000000002
Central,Office Supplies,Storage,6.2,344.4393999999999,11093.385999999997
Central,Office Supplies,Appliances,10.700000000000001,-509.17240000000027,3659.204999999999
Central,Office Supplies,Paper,9,896.2070999999999,2346.7760000000003
Central,Office Supplies,Envelopes,2.4000000000000004,570.8482,1598.6860000000001
Central,Office Supplies,Labels,2,481.5508,1048.472
Central,Office Supplies,Art,3.2,187.84199999999996,821.9540000000002
Central,Office Supplies,Supplies,0.8,10.464900000000004,440.458
Central,Office Supplies,Fasteners,2,16.063399999999998,121.816
Central,Technology,Machines,2.6999999999999997,-2384.6983000000023,16292.161999999998
Central,Technology,Phones,4.4,1480.9286999999995,9925.752
Central,Technology,Accessories,4.800000000000001,891.2615000000001,4438.97
Central,Technology,Copiers,0.4,1034.978,3269.926
Central,Furniture,Chairs,7.1999999999999975,699.2616999999998,20754.052
Central,Furniture,Tables,4.899999999999999,-1424.3310000000004,7785.477999999999
Central,Furniture,Furnishings,18,-246.5090999999999,2536.096
Central,Furniture,Bookcases,1.56,-133.64569999999998,1834.0375999999997
