All_xViz_DS.Product,Sum(All_xViz_DS.Profit),Sum(All_xViz_DS.Sales)
(Blank),971.979499999997,28613.158999999996
Amarilla,,
Carretera,,
Paseo,,
Velo,,
VTT,,
(Blank),,
Amarilla,,
Carretera,3.23499999999998,164.985
Paseo,-27.1656,258.72
Velo,8.47280000000003,466.004
VTT,,
(Blank),,
Amarilla,,
Carretera,,
Paseo,-13.47,75.4319999999999
Velo,,
VTT,,
(Blank),,
Amarilla,,
Carretera,49.5127999999998,780.456
Paseo,,
Velo,,
VTT,,
(Blank),,
Amarilla,,
Carretera,1.18799999999998,125.333999999999
Paseo,,
Velo,,
VTT,,
(Blank),,
Amarilla,,
Carretera,,
Paseo,,
Velo,,
VTT,-201.5128,526.612
(Blank),,
Amarilla,-102.8378,235.179999999999
Carretera,,
Paseo,,
Velo,,
VTT,,
(Blank),,
Amarilla,,
Carretera,18.4125,131.096999999999
Paseo,,
Velo,,
VTT,,
(Blank),,
Amarilla,,
Carretera,-11.8822,102.619
Paseo,,
Velo,,
VTT,,
(Blank),,
Amarilla,,
Carretera,,
Paseo,-2.1792,143.01
Velo,,
VTT,,
