Level 0 Description,Level 1 Description,Level 2 Description,Region,Sub Region,Value Column Name,Value
"Operating Profit","Gross Profit","Cost of Goods Sold","International","APAC","2020 Gross Sales",
"Operating Profit","Gross Profit","Cost of Goods Sold","International","APAC","2020 Plan","-403703130.05999994"
"Operating Profit","Gross Profit","Cost of Goods Sold","International","APAC","Actuals","-1251532501.7000017"
"Operating Profit","Gross Profit","Cost of Goods Sold","International","APAC","2020 Actuals","-435483613.0300003"
"Operating Profit","Gross Profit","Cost of Goods Sold","International","APAC","2020 Actuals - 2020 Gross Sales","-435483613.0300003"
"Operating Profit","Gross Profit","Cost of Goods Sold","International","APAC","(2020 Actuals - 2020 Gross Sales)%",
"Operating Profit","Gross Profit","Cost of Goods Sold","International","APAC","2020 Actuals - 2020 Plan","-31780482.970000386"
"Operating Profit","Gross Profit","Cost of Goods Sold","International","APAC","(2020 Actuals - 2020 Plan)%","-0.07872240912592639"
"Operating Profit","Gross Profit","Cost of Goods Sold","International","APAC","2020 Actuals - Actuals","816048888.6700014"
"Operating Profit","Gross Profit","Cost of Goods Sold","International","APAC","(2020 Actuals - Actuals)%","0.652039709365544"
"Operating Profit","Gross Profit","Cost of Goods Sold","International","APAC","2020 Plan - 2020 Gross Sales","-403703130.05999994"
"Operating Profit","Gross Profit","Cost of Goods Sold","International","APAC","(2020 Plan - 2020 Gross Sales)%",
"Operating Profit","Gross Profit","Cost of Goods Sold","International","APAC","Actuals - 2020 Gross Sales","-1251532501.7000017"
"Operating Profit","Gross Profit","Cost of Goods Sold","International","APAC","(Actuals - 2020 Gross Sales)%",
"Operating Profit","Gross Profit","Cost of Goods Sold","International","APAC","Actuals - 2020 Plan","-847829371.6400018"
"Operating Profit","Gross Profit","Cost of Goods Sold","International","APAC","(Actuals - 2020 Plan)%","-2.100130785495753"
"Operating Profit","Gross Profit","Cost of Goods Sold","International","EMEA","2020 Gross Sales",
"Operating Profit","Gross Profit","Cost of Goods Sold","International","EMEA","2020 Plan","-827892731.5599998"
"Operating Profit","Gross Profit","Cost of Goods Sold","International","EMEA","Actuals","-2550040280.9000034"
"Operating Profit","Gross Profit","Cost of Goods Sold","International","EMEA","2020 Actuals","-844821717.23"
"Operating Profit","Gross Profit","Cost of Goods Sold","International","EMEA","2020 Actuals - 2020 Gross Sales","-844821717.23"
"Operating Profit","Gross Profit","Cost of Goods Sold","International","EMEA","(2020 Actuals - 2020 Gross Sales)%",
"Operating Profit","Gross Profit","Cost of Goods Sold","International","EMEA","2020 Actuals - 2020 Plan","-16928985.670000196"
"Operating Profit","Gross Profit","Cost of Goods Sold","International","EMEA","(2020 Actuals - 2020 Plan)%","-0.020448283968021886"
"Operating Profit","Gross Profit","Cost of Goods Sold","International","EMEA","2020 Actuals - Actuals","1705218563.6700034"
"Operating Profit","Gross Profit","Cost of Goods Sold","International","EMEA","(2020 Actuals - Actuals)%","0.6687025991088142"
"Operating Profit","Gross Profit","Cost of Goods Sold","International","EMEA","2020 Plan - 2020 Gross Sales","-827892731.5599998"
"Operating Profit","Gross Profit","Cost of Goods Sold","International","EMEA","(2020 Plan - 2020 Gross Sales)%",
"Operating Profit","Gross Profit","Cost of Goods Sold","International","EMEA","Actuals - 2020 Gross Sales","-2550040280.9000034"
"Operating Profit","Gross Profit","Cost of Goods Sold","International","EMEA","(Actuals - 2020 Gross Sales)%",
"Operating Profit","Gross Profit","Cost of Goods Sold","International","EMEA","Actuals - 2020 Plan","-1722147549.3400035"
"Operating Profit","Gross Profit","Cost of Goods Sold","International","EMEA","(Actuals - 2020 Plan)%","-2.0801578316733833"
"Operating Profit","Gross Profit","Cost of Goods Sold","United States","Central","2020 Gross Sales",
"Operating Profit","Gross Profit","Cost of Goods Sold","United States","Central","2020 Plan","-430138329.35999984"
"Operating Profit","Gross Profit","Cost of Goods Sold","United States","Central","Actuals","-1273267085.8199983"
"Operating Profit","Gross Profit","Cost of Goods Sold","United States","Central","2020 Actuals","-432117201.30999935"
"Operating Profit","Gross Profit","Cost of Goods Sold","United States","Central","2020 Actuals - 2020 Gross Sales","-432117201.30999935"
"Operating Profit","Gross Profit","Cost of Goods Sold","United States","Central","(2020 Actuals - 2020 Gross Sales)%",
"Operating Profit","Gross Profit","Cost of Goods Sold","United States","Central","2020 Actuals - 2020 Plan","-1978871.9499995112"
"Operating Profit","Gross Profit","Cost of Goods Sold","United States","Central","(2020 Actuals - 2020 Plan)%","-0.0046005478120116905"
"Operating Profit","Gross Profit","Cost of Goods Sold","United States","Central","2020 Actuals - Actuals","841149884.5099989"
"Operating Profit","Gross Profit","Cost of Goods Sold","United States","Central","(2020 Actuals - Actuals)%","0.6606232846805186"
"Operating Profit","Gross Profit","Cost of Goods Sold","United States","Central","2020 Plan - 2020 Gross Sales","-430138329.35999984"
"Operating Profit","Gross Profit","Cost of Goods Sold","United States","Central","(2020 Plan - 2020 Gross Sales)%",
"Operating Profit","Gross Profit","Cost of Goods Sold","United States","Central","Actuals - 2020 Gross Sales","-1273267085.8199983"
"Operating Profit","Gross Profit","Cost of Goods Sold","United States","Central","(Actuals - 2020 Gross Sales)%",
"Operating Profit","Gross Profit","Cost of Goods Sold","United States","Central","Actuals - 2020 Plan","-843128756.4599984"
"Operating Profit","Gross Profit","Cost of Goods Sold","United States","Central","(Actuals - 2020 Plan)%","-1.9601339822807338"
"Operating Profit","Gross Profit","Cost of Goods Sold","United States","East","2020 Gross Sales",
"Operating Profit","Gross Profit","Cost of Goods Sold","United States","East","2020 Plan","-826725417.129999"
"Operating Profit","Gross Profit","Cost of Goods Sold","United States","East","Actuals","-2534559881.990001"
"Operating Profit","Gross Profit","Cost of Goods Sold","United States","East","2020 Actuals","-863599913.9099995"
"Operating Profit","Gross Profit","Cost of Goods Sold","United States","East","2020 Actuals - 2020 Gross Sales","-863599913.9099995"
"Operating Profit","Gross Profit","Cost of Goods Sold","United States","East","(2020 Actuals - 2020 Gross Sales)%",
"Operating Profit","Gross Profit","Cost of Goods Sold","United States","East","2020 Actuals - 2020 Plan","-36874496.78000045"
"Operating Profit","Gross Profit","Cost of Goods Sold","United States","East","(2020 Actuals - 2020 Plan)%","-0.04460307620396058"
"Operating Profit","Gross Profit","Cost of Goods Sold","United States","East","2020 Actuals - Actuals","1670959968.0800018"
"Operating Profit","Gross Profit","Cost of Goods Sold","United States","East","(2020 Actuals - Actuals)%","0.659270266192351"
"Operating Profit","Gross Profit","Cost of Goods Sold","United States","East","2020 Plan - 2020 Gross Sales","-826725417.129999"
"Operating Profit","Gross Profit","Cost of Goods Sold","United States","East","(2020 Plan - 2020 Gross Sales)%",
"Operating Profit","Gross Profit","Cost of Goods Sold","United States","East","Actuals - 2020 Gross Sales","-2534559881.990001"
"Operating Profit","Gross Profit","Cost of Goods Sold","United States","East","(Actuals - 2020 Gross Sales)%",
"Operating Profit","Gross Profit","Cost of Goods Sold","United States","East","Actuals - 2020 Plan","-1707834464.860002"
"Operating Profit","Gross Profit","Cost of Goods Sold","United States","East","(Actuals - 2020 Plan)%","-2.065781974853027"
"Operating Profit","Gross Profit","Cost of Goods Sold","United States","Midwest","2020 Gross Sales",
"Operating Profit","Gross Profit","Cost of Goods Sold","United States","Midwest","2020 Plan","-306952664.4000007"
"Operating Profit","Gross Profit","Cost of Goods Sold","United States","Midwest","Actuals","-933269737.4900007"
"Operating Profit","Gross Profit","Cost of Goods Sold","United States","Midwest","2020 Actuals","-314476982.63000035"
"Operating Profit","Gross Profit","Cost of Goods Sold","United States","Midwest","2020 Actuals - 2020 Gross Sales","-314476982.63000035"
"Operating Profit","Gross Profit","Cost of Goods Sold","United States","Midwest","(2020 Actuals - 2020 Gross Sales)%",
"Operating Profit","Gross Profit","Cost of Goods Sold","United States","Midwest","2020 Actuals - 2020 Plan","-7524318.229999661"
"Operating Profit","Gross Profit","Cost of Goods Sold","United States","Midwest","(2020 Actuals - 2020 Plan)%","-0.024512959497215703"
"Operating Profit","Gross Profit","Cost of Goods Sold","United States","Midwest","2020 Actuals - Actuals","618792754.8600004"
"Operating Profit","Gross Profit","Cost of Goods Sold","United States","Midwest","(2020 Actuals - Actuals)%","0.663037415661011"
