Fiscal Year,Subcategory,Group,Value Column Name,Value
"FY2020","Mountain Bikes","Europe","Sales Amount","3583004.9662"
"FY2020","Mountain Bikes","North America","Sales Amount","9913453.1557"
"FY2020","Mountain Bikes","Pacific","Sales Amount","1264914.8632"
"FY2020","Road Bikes","Europe","Sales Amount","3169316.2779"
"FY2020","Road Bikes","North America","Sales Amount","9569958.7291"
"FY2020","Road Bikes","Pacific","Sales Amount","1822387.12"
"FY2020","Touring Bikes","Europe","Sales Amount","4445834.741"
"FY2020","Touring Bikes","North America","Sales Amount","7543188.5586"
"FY2020","Touring Bikes","Pacific","Sales Amount","2172602.7102"
"FY2020","Mountain Frames","Europe","Sales Amount","457913.014"
"FY2020","Mountain Frames","North America","Sales Amount","1772060.4833"
"FY2020","Mountain Frames","Pacific","Sales Amount","35496.384"
"FY2020","Touring Frames","Europe","Sales Amount","520015.0802"
"FY2020","Touring Frames","North America","Sales Amount","996279.4687"
"FY2020","Touring Frames","Pacific","Sales Amount","126033.1373"
"FY2020","Road Frames","Europe","Sales Amount","270613.4486"
"FY2020","Road Frames","North America","Sales Amount","1126266.8184"
"FY2020","Road Frames","Pacific","Sales Amount","356.898"
"FY2020","Jerseys","Europe","Sales Amount","153897.8686"
"FY2020","Jerseys","North America","Sales Amount","346217.0735"
"FY2020","Jerseys","Pacific","Sales Amount","60047.1278"
"FY2020","Helmets","Europe","Sales Amount","106696.7709"
"FY2020","Helmets","North America","Sales Amount","190146.3889"
"FY2020","Helmets","Pacific","Sales Amount","50728.502"
"FY2020","Shorts","Europe","Sales Amount","52957.4018"
"FY2020","Shorts","North America","Sales Amount","262666.7871"
"FY2020","Shorts","Pacific","Sales Amount","15649.764"
"FY2020","Vests","Europe","Sales Amount","68445.9968"
"FY2020","Vests","North America","Sales Amount","169278.2505"
"FY2020","Vests","Pacific","Sales Amount","20811.6234"
"FY2020","Tires and Tubes","Europe","Sales Amount","69357.8876"
"FY2020","Tires and Tubes","North America","Sales Amount","127489.092"
"FY2020","Tires and Tubes","Pacific","Sales Amount","45893.338"
"FY2020","Bike Racks","Europe","Sales Amount","62633.268"
"FY2020","Bike Racks","North America","Sales Amount","155456.184"
"FY2020","Bike Racks","Pacific","Sales Amount","17926.704"
"FY2020","Cranksets","Europe","Sales Amount","51238.962"
"FY2020","Cranksets","North America","Sales Amount","135864.2842"
"FY2020","Cranksets","Pacific","Sales Amount","16839.372"
"FY2020","Pedals","Europe","Sales Amount","26013.048"
"FY2020","Pedals","North America","Sales Amount","119768.4758"
"FY2020","Pedals","Pacific","Sales Amount","1702.386"
"FY2020","Hydration Packs","Europe","Sales Amount","27546.8611"
"FY2020","Hydration Packs","North America","Sales Amount","63300.8753"
"FY2020","Hydration Packs","Pacific","Sales Amount","13933.8721"
"FY2020","Handlebars","Europe","Sales Amount","17935.122"
"FY2020","Handlebars","North America","Sales Amount","72741.1732"
"FY2020","Handlebars","Pacific","Sales Amount","2810.964"
"FY2020","Gloves","Europe","Sales Amount","23699.6148"
"FY2020","Gloves","North America","Sales Amount","53640.9908"
"FY2020","Gloves","Pacific","Sales Amount","9649.3049"
"FY2020","Derailleurs","Europe","Sales Amount","17340.4369"
"FY2020","Derailleurs","North America","Sales Amount","45540.7249"
"FY2020","Derailleurs","Pacific","Sales Amount","7328.334"
"FY2020","Brakes","Europe","Sales Amount","16250.7498"
"FY2020","Brakes","North America","Sales Amount","44208.6612"
"FY2020","Brakes","Pacific","Sales Amount","5559.3"
"FY2020","Bottles and Cages","Europe","Sales Amount","18361.2878"
"FY2020","Bottles and Cages","North America","Sales Amount","33078.6318"
"FY2020","Bottles and Cages","Pacific","Sales Amount","11068.274"
"FY2020","Saddles","Europe","Sales Amount","12609.228"
"FY2020","Saddles","North America","Sales Amount","40943.5442"
"FY2020","Saddles","Pacific","Sales Amount","2276.616"
"FY2020","Bottom Brackets","Europe","Sales Amount","11354.982"
"FY2020","Bottom Brackets","North America","Sales Amount","36073.554"
"FY2020","Bottom Brackets","Pacific","Sales Amount","4397.838"
"FY2020","Fenders","Europe","Sales Amount","8792"
"FY2020","Fenders","North America","Sales Amount","29958.74"
"FY2020","Fenders","Pacific","Sales Amount","6769.84"
"FY2020","Bike Stands","Europe","Sales Amount","10494"
"FY2020","Bike Stands","North America","Sales Amount","18285"
"FY2020","Bike Stands","Pacific","Sales Amount","10176"
"FY2020","Caps","Europe","Sales Amount","11254.6008"
"FY2020","Caps","North America","Sales Amount","17988.6675"
"FY2020","Caps","Pacific","Sales Amount","4738.8538"
"FY2020","Socks","Europe","Sales Amount","3030.0795"
"FY2020","Socks","North America","Sales Amount","19098.8202"
"FY2020","Socks","Pacific","Sales Amount","988.9"
"FY2020","Cleaners","Europe","Sales Amount","4362.6302"
"FY2020","Cleaners","North America","Sales Amount","11646.6223"
"FY2020","Cleaners","Pacific","Sales Amount","2238.72"
"FY2020","Chains","Europe","Sales Amount","2414.0896"
"FY2020","Chains","North America","Sales Amount","6113.5406"
"FY2020","Chains","Pacific","Sales Amount","850.08"
"FY2019","Road Bikes","Europe","Sales Amount","2687679.5511"
"FY2019","Road Bikes","North America","Sales Amount","12856479.4987"
"FY2019","Road Bikes","Pacific","Sales Amount","1203230.355"
"FY2019","Mountain Bikes","Europe","Sales Amount","1610919.4267"
"FY2019","Mountain Bikes","North America","Sales Amount","9061895.5569"
"FY2019","Mountain Bikes","Pacific","Sales Amount","990011.9674"
"FY2019","Road Frames","Europe","Sales Amount","226004.6247"
"FY2019","Road Frames","North America","Sales Amount","1779926.8414"
"FY2019","Road Frames","Pacific","Sales Amount",
"FY2019","Mountain Frames","Europe","Sales Amount","194099.1695"
"FY2019","Mountain Frames","North America","Sales Amount","1534022.4935"
"FY2019","Mountain Frames","Pacific","Sales Amount",
"FY2019","Wheels","Europe","Sales Amount","68420.1378"
"FY2019","Wheels","North America","Sales Amount","610649.9276"
"FY2019","Wheels","Pacific","Sales Amount",
"FY2019","Tights","Europe","Sales Amount","21737.6513"
"FY2019","Tights","North America","Sales Amount","180095.3547"
"FY2019","Tights","Pacific","Sales Amount",
"FY2019","Bib-Shorts","Europe","Sales Amount","19582.688"
"FY2019","Bib-Shorts","North America","Sales Amount","147157.0206"
"FY2019","Bib-Shorts","Pacific","Sales Amount",
"FY2019","Gloves","Europe","Sales Amount","17938.0193"
"FY2019","Gloves","North America","Sales Amount","137745.4944"
"FY2019","Gloves","Pacific","Sales Amount","122.45"
"FY2019","Jerseys","Europe","Sales Amount","17204.4938"
"FY2019","Jerseys","North America","Sales Amount","119413.8757"
"FY2019","Jerseys","Pacific","Sales Amount","805.85"
"FY2019","Touring Bikes","Europe","Sales Amount","55176.03"
"FY2019","Touring Bikes","North America","Sales Amount","56456.64"
"FY2019","Touring Bikes","Pacific","Sales Amount","23032.59"
