Orders.Order Date.Variation.Date Hierarchy.Quarter,Orders.Order Date.Variation.Date Hierarchy.Year,Orders.Category,Orders.Sub-Category,Sum(Orders.Profit),Sum(Orders.Sales)
Qtr 1,2014,Furniture,Bookcases,-468.0098,2716.5009999999997
Qtr 2,2014,Furniture,Bookcases,-214.3451,1708.7035999999998
Qtr 3,2014,Furniture,Bookcases,310.71799999999985,4676.4188
Qtr 4,2014,Furniture,Bookcases,25.466199999999446,10935.0542
Qtr 1,2015,Furniture,Bookcases,-602.0130000000004,4714.1896
Qtr 2,2015,Furniture,Bookcases,-279.89830000000006,3275.4674999999997
Qtr 3,2015,Furniture,Bookcases,-1705.2543999999998,17350.5572
Qtr 4,2015,Furniture,Bookcases,-168.0645000000007,13203.358199999997
Qtr 1,2016,Furniture,Bookcases,-105.96419999999998,3571.3709999999996
Qtr 2,2016,Furniture,Bookcases,416.30459999999994,4153.811
Qtr 3,2016,Furniture,Bookcases,-115.84420000000027,9759.859699999999
Qtr 4,2016,Furniture,Bookcases,17.974799999999732,8790.4248
Qtr 1,2017,Furniture,Bookcases,193.1323999999998,3351.8362
Qtr 2,2017,Furniture,Bookcases,109.38829999999993,11019.709499999997
Qtr 3,2017,Furniture,Bookcases,7.617999999999853,5796.223
Qtr 4,2017,Furniture,Bookcases,-893.7647999999999,9856.511
Qtr 1,2014,Furniture,Chairs,1403.0951999999995,10091.3
Qtr 2,2014,Furniture,Chairs,1072.0673000000002,13341.776
Qtr 3,2014,Furniture,Chairs,1871.8918000000003,22804.367
Qtr 4,2014,Furniture,Chairs,2607.9927,31004.132999999998
Qtr 1,2015,Furniture,Chairs,570.4531999999997,9446.913000000002
Qtr 2,2015,Furniture,Chairs,968.0627999999997,13891.441999999995
Qtr 3,2015,Furniture,Chairs,2130.7211999999986,18272.499
Qtr 4,2015,Furniture,Chairs,2559.1788999999994,30123.675
Qtr 1,2016,Furniture,Chairs,365.3858,9348.726
Qtr 2,2016,Furniture,Chairs,1601.4947999999993,18979.248999999993
Qtr 3,2016,Furniture,Chairs,914.7576999999997,21556.075999999994
Qtr 4,2016,Furniture,Chairs,2881.5155999999984,34034.594000000005
Qtr 1,2017,Furniture,Chairs,1078.7215999999996,11325.496999999998
Qtr 2,2017,Furniture,Chairs,1270.9527999999987,19731.315000000002
Qtr 3,2017,Furniture,Chairs,2422.000199999999,30300.431000000004
Qtr 4,2017,Furniture,Chairs,2871.874699999999,34197.109999999986
Qtr 1,2014,Furniture,Furnishings,183.5819,1584.8780000000004
Qtr 2,2014,Furniture,Furnishings,351.87749999999994,2196.9620000000004
Qtr 3,2014,Furniture,Furnishings,1105.4804,4861.336
Qtr 4,2014,Furniture,Furnishings,331.95209999999946,5183.057999999999
Qtr 1,2015,Furniture,Furnishings,324.25899999999996,2912.1760000000004
Qtr 2,2015,Furniture,Furnishings,1057.3146999999997,7022.307999999998
Qtr 3,2015,Furniture,Furnishings,860.5155,4457.988
Qtr 4,2015,Furniture,Furnishings,809.7296999999996,6697.24
Qtr 1,2016,Furniture,Furnishings,682.5569999999998,4198.187999999999
Qtr 2,2016,Furniture,Furnishings,359.7669000000002,5269.216000000001
Qtr 3,2016,Furniture,Furnishings,737.0448999999999,6338.937999999997
Qtr 4,2016,Furniture,Furnishings,2155.9011999999984,12067.781999999996
Qtr 1,2017,Furniture,Furnishings,349.9274,2759.1
Qtr 2,2017,Furniture,Furnishings,937.2551999999994,5866.7779999999975
Qtr 3,2017,Furniture,Furnishings,1233.814999999999,7789.294000000001
Qtr 4,2017,Furniture,Furnishings,1578.1652000000001,12499.922
Qtr 1,2014,Furniture,Tables,-1321.1641000000002,8263.460000000001
Qtr 2,2014,Furniture,Tables,-408.78190000000075,10816.307999999999
Qtr 3,2014,Furniture,Tables,-391.77420000000075,9615.756500000001
Qtr 4,2014,Furniture,Tables,-1002.3225000000003,17392.841
Qtr 1,2015,Furniture,Tables,-1456.9471000000003,10300.82
Qtr 2,2015,Furniture,Tables,-918.9040000000002,3375.6105
Qtr 3,2015,Furniture,Tables,-748.4285000000003,9504.991
Qtr 4,2015,Furniture,Tables,-385.5223000000002,15969.001999999999
Qtr 1,2016,Furniture,Tables,-816.2507,7231.101
Qtr 2,2016,Furniture,Tables,-294.52550000000053,13000.220999999998
Qtr 3,2016,Furniture,Tables,-288.59430000000026,15159.7585
Qtr 4,2016,Furniture,Tables,-1551.5713,25442.12
Qtr 1,2017,Furniture,Tables,-859.4105000000002,6287.381
Qtr 2,2017,Furniture,Tables,-1283.0212,8414.300500000001
Qtr 3,2017,Furniture,Tables,-1467.8860999999997,12397.153999999999
Qtr 4,2017,Furniture,Tables,-4530.376899999999,33794.707
Qtr 1,2014,Office Supplies,Appliances,-252.46000000000004,905.462
Qtr 2,2014,Office Supplies,Appliances,959.8454999999998,3726.4219999999996
Qtr 3,2014,Office Supplies,Appliances,320.6246,4591.7570000000005
Qtr 4,2014,Office Supplies,Appliances,1431.4897999999996,6089.983999999999
Qtr 1,2015,Office Supplies,Appliances,-39.107500000000016,2119.8039999999996
