financials.Month Name,financials.Country,Sum(financials. Sales),Sum(financials.COGS),
April,United States of America,1616624.475,1411231.5,2085819.180416667
August,United States of America,2007266.1199999999,1763703,2085819.180416667
December,United States of America,2394507.6799999997,2189794,2085819.180416667
February,United States of America,1332890.66,1165414,2085819.180416667
January,United States of America,1346026.485,1228465.5,2085819.180416667
July,United States of America,2308798.125,2000353.5,2085819.180416667
June,United States of America,1323610.8,1095922,2085819.180416667
March,United States of America,1789974.47,1593940,2085819.180416667
May,United States of America,1949249.3499999999,1714543,2085819.180416667
November,United States of America,3093502.6500000004,2786255,2085819.180416667
October,United States of America,3457102.9999999995,3042850,2085819.180416667
September,United States of America,2410276.35,2041818,2085819.180416667
April,Canada,1593562.95,1353856.5,2073971.2404166667
August,Canada,952043.0399999999,787112,2073971.2404166667
December,Canada,5546988.63,4560265,2073971.2404166667
February,Canada,1482165.98,1231691,2073971.2404166667
January,Canada,1186256.49,1047493.5,2073971.2404166667
July,Canada,2109549.285,1856538,2073971.2404166667
June,Canada,2725979.4,2393058,2073971.2404166667
March,Canada,811132.5,727234,2073971.2404166667
May,Canada,783941.6699999999,703442,2073971.2404166667
November,Canada,2372659.3600000003,2097109,2073971.2404166667
October,Canada,3445532.7600000007,2942234,2073971.2404166667
September,Canada,1877842.8199999998,1658393,2073971.2404166667
April,France,1332862.6950000003,1196365.5,2029514.3566666667
August,France,779802.09,688145,2029514.3566666667
December,France,3325070.5199999996,2786418,2029514.3566666667
February,France,1537438.46,1214280,2029514.3566666667
January,France,1544720.745,1297212,2029514.3566666667
July,France,1148065.08,1016334,2029514.3566666667
June,France,1629183.98,1295646,2029514.3566666667
March,France,1559748.75,1428256,2029514.3566666667
May,France,1042776.97,886258,2029514.3566666667
November,France,2109571.89,1844421,2029514.3566666667
October,France,5770138.52,4856786,2029514.3566666667
September,France,2574792.58,2063030,2029514.3566666667
April,Germany,1394813.46,1217414,1958778.4016666666
August,Germany,1046755.1699999999,949662,1958778.4016666666
December,Germany,3141199.29,2594033,1958778.4016666666
February,Germany,1347335.8699999999,1155588,1958778.4016666666
January,Germany,874935.11,815027,1958778.4016666666
July,Germany,1609549.75,1485031,1958778.4016666666
June,Germany,1630025.24,1322150,1958778.4016666666
March,Germany,479509.59,394658,1958778.4016666666
May,Germany,1317483,1114765,1958778.4016666666
November,Germany,2336054.4000000004,2084526,1958778.4016666666
October,Germany,5977029.880000001,4760098,1958778.4016666666
September,Germany,2350650.06,1932000,1958778.4016666666
April,Mexico,1026911.49,855923,1745779.3425000003
August,Mexico,1078756,884934,1745779.3425000003
December,Mexico,2959462.8600000003,2519389,1745779.3425000003
February,Mexico,1597700.42,1382011,1745779.3425000003
January,Mexico,1655822.85,1405535,1745779.3425000003
July,Mexico,926957.94,820798,1745779.3425000003
June,Mexico,2210094.4,1938364,1745779.3425000003
March,Mexico,946494.56,772905,1745779.3425000003
May,Mexico,1116760.07,962563,1745779.3425000003
November,Mexico,2739629.1999999997,2469004,1745779.3425000003
October,Mexico,3021626.86,2629682,1745779.3425000003
September,Mexico,1669135.46,1400721,1745779.3425000003
