Region,Year,Value Column Name,Value
"Central","2014","Sum of Profit","539.5533999999994"
"Central","2015","Sum of Profit","11716.802000000009"
"Central","2016","Sum of Profit","19899.162899999992"
"Central","2017","Sum of Profit","7550.844200000004"
"East","2014","Sum of Profit","17059.609500000002"
"East","2015","Sum of Profit","21091.013000000043"
"East","2016","Sum of Profit","20141.59610000004"
"East","2017","Sum of Profit","33230.561400000035"
"South","2014","Sum of Profit","11879.12000000002"
"South","2015","Sum of Profit","8318.594000000001"
"South","2016","Sum of Profit","17702.808400000027"
"South","2017","Sum of Profit","8848.907900000004"
"West","2014","Sum of Profit","20065.691199999987"
"West","2015","Sum of Profit","20492.19469999996"
"West","2016","Sum of Profit","24051.60689999996"
"West","2017","Sum of Profit","43808.95609999995"
