Orders.Segment,Orders.Ship Mode,Orders.Category,Orders.Sub-Category,Sum(Orders.Quantity)
Consumer,First Class,Office Supplies,Binders,427
Consumer,Same Day,Office Supplies,Binders,160
Consumer,Second Class,Office Supplies,Binders,539
Consumer,Standard Class,Office Supplies,Binders,1889
Corporate,First Class,Office Supplies,Binders,313
Corporate,Same Day,Office Supplies,Binders,49
Corporate,Second Class,Office Supplies,Binders,342
Corporate,Standard Class,Office Supplies,Binders,1144
Home Office,First Class,Office Supplies,Binders,178
Home Office,Same Day,Office Supplies,Binders,49
Home Office,Second Class,Office Supplies,Binders,140
Home Office,Standard Class,Office Supplies,Binders,744
Consumer,First Class,Office Supplies,Paper,361
Consumer,Same Day,Office Supplies,Paper,152
Consumer,Second Class,Office Supplies,Paper,587
Consumer,Standard Class,Office Supplies,Paper,1502
Corporate,First Class,Office Supplies,Paper,287
Corporate,Same Day,Office Supplies,Paper,35
Corporate,Second Class,Office Supplies,Paper,290
Corporate,Standard Class,Office Supplies,Paper,943
Home Office,First Class,Office Supplies,Paper,137
Home Office,Same Day,Office Supplies,Paper,100
Home Office,Second Class,Office Supplies,Paper,245
Home Office,Standard Class,Office Supplies,Paper,539
Consumer,First Class,Office Supplies,Storage,209
Consumer,Same Day,Office Supplies,Storage,104
Consumer,Second Class,Office Supplies,Storage,342
Consumer,Standard Class,Office Supplies,Storage,964
Corporate,First Class,Office Supplies,Storage,156
Corporate,Same Day,Office Supplies,Storage,57
Corporate,Second Class,Office Supplies,Storage,233
Corporate,Standard Class,Office Supplies,Storage,554
Home Office,First Class,Office Supplies,Storage,93
Home Office,Same Day,Office Supplies,Storage,18
Home Office,Second Class,Office Supplies,Storage,95
Home Office,Standard Class,Office Supplies,Storage,333
Consumer,First Class,Office Supplies,Art,217
Consumer,Same Day,Office Supplies,Art,79
Consumer,Second Class,Office Supplies,Art,324
Consumer,Standard Class,Office Supplies,Art,1005
Corporate,First Class,Office Supplies,Art,96
Corporate,Same Day,Office Supplies,Art,27
Corporate,Second Class,Office Supplies,Art,177
Corporate,Standard Class,Office Supplies,Art,550
Home Office,First Class,Office Supplies,Art,101
Home Office,Same Day,Office Supplies,Art,27
Home Office,Second Class,Office Supplies,Art,84
Home Office,Standard Class,Office Supplies,Art,313
Consumer,First Class,Office Supplies,Appliances,153
Consumer,Same Day,Office Supplies,Appliances,41
Consumer,Second Class,Office Supplies,Appliances,152
Consumer,Standard Class,Office Supplies,Appliances,562
Corporate,First Class,Office Supplies,Appliances,91
Corporate,Same Day,Office Supplies,Appliances,25
Corporate,Second Class,Office Supplies,Appliances,125
Corporate,Standard Class,Office Supplies,Appliances,328
Home Office,First Class,Office Supplies,Appliances,9
Home Office,Same Day,Office Supplies,Appliances,11
Home Office,Second Class,Office Supplies,Appliances,47
Home Office,Standard Class,Office Supplies,Appliances,185
Consumer,First Class,Office Supplies,Labels,133
Consumer,Same Day,Office Supplies,Labels,41
Consumer,Second Class,Office Supplies,Labels,124
Consumer,Standard Class,Office Supplies,Labels,417
Corporate,First Class,Office Supplies,Labels,69
Corporate,Same Day,Office Supplies,Labels,10
Corporate,Second Class,Office Supplies,Labels,105
Corporate,Standard Class,Office Supplies,Labels,214
Home Office,First Class,Office Supplies,Labels,48
Home Office,Same Day,Office Supplies,Labels,17
Home Office,Second Class,Office Supplies,Labels,23
Home Office,Standard Class,Office Supplies,Labels,199
Consumer,First Class,Office Supplies,Fasteners,51
Consumer,Same Day,Office Supplies,Fasteners,35
Consumer,Second Class,Office Supplies,Fasteners,85
Consumer,Standard Class,Office Supplies,Fasteners,302
Corporate,First Class,Office Supplies,Fasteners,43
Corporate,Same Day,Office Supplies,Fasteners,10
Corporate,Second Class,Office Supplies,Fasteners,60
Corporate,Standard Class,Office Supplies,Fasteners,160
Home Office,First Class,Office Supplies,Fasteners,12
Home Office,Same Day,Office Supplies,Fasteners,8
Home Office,Second Class,Office Supplies,Fasteners,23
Home Office,Standard Class,Office Supplies,Fasteners,125
